Symbol,pNK,dNK,CB_iNK,BM_iNK,pNK_iNK,iNK_all_mean,iNK_all_max
PTN,0.0,4.9105,0.0,0.0121,0.028,0.0134,0.112
OGN,0.2441,14.0052,0.3165,0.0765,0.221,0.2047,0.4747
SPP1,1.2987,29.2231,620.9787,84.2739,4.1073,236.4533,2441.5249
COL1A1,0.7275,152.4643,6.1355,2.7379,0.4537,3.109,17.3767
COL1A2,0.0743,73.8656,3.6778,1.4686,0.3488,1.8318,12.8275
COL3A1,0.2108,151.3172,7.7596,3.242,0.2131,3.7382,28.9364
COL6A2,129.228,280.886,83.1482,52.0694,26.3786,53.8654,299.7469
DCN,0.9013,436.0452,6.979,1.4473,0.3732,2.9332,15.1891
LUM,1.1237,518.1952,8.6522,3.9308,0.4685,4.3505,18.5117
PDGFRB,44.3107,87.4802,1.8046,2.9694,42.7612,15.8451,68.7432
ACTA2,5.46,31.4375,18.8473,20.2771,14.3064,17.8103,31.9154
PAEP,0.762,607.582,4.2521,2.5957,0.3071,2.385,7.5472
KRT7,0.1065,76.8205,0.1755,2.0319,2.4433,1.5503,6.7307
HLA-G,0.0352,5.8421,0.4622,0.265,0.1493,0.2922,0.7458
EPCAM,0.1294,17.579,0.1261,0.1046,0.6438,0.2915,1.2323
VIM,1129.407,1970.2624,1670.1388,1493.9075,4172.7723,2445.6062,4588.6853
PTPRC,3324.4647,2593.8371,1863.5788,1846.8168,1728.7911,1813.0622,2619.5527
NCAM1,176.9399,960.3544,958.0163,859.9662,288.7682,702.2502,1309.4651
KLRD1,810.1324,717.2445,180.9179,173.5532,362.2953,238.9222,498.3879
NKG7,1131.4405,1141.7838,570.8023,570.8189,654.5895,598.7369,851.5811
GNLY,1163.1356,16264.5473,2444.0315,1907.9438,380.8504,1577.6086,3975.1665
ITGA1,40.936,1450.0744,466.2738,380.8561,490.3844,445.8381,642.0797
CD3E,254.0475,183.5083,571.6441,385.5627,188.099,381.7686,641.0811
