Symbol,pNK1,pNK2,pNK3,pNK4,dNK1,dNK2,dNK3,dNK4,CB_iNK1,CB_iNK2,CB_iNK3,CB_iNK4,BM_iNK1,BM_iNK2,BM_iNK3,BM_iNK4,pNK_iNK1,pNK_iNK2,pNK_iNK3,pNK_iNK4
PTN,0.0,0.0,0.0,0.0,1.721,15.0798,2.2749,0.5663,0.0,0.0,0.0,0.0,0.0484,0.0,0.0,0.0,0.0,0.0,0.112,0.0
OGN,0.3222,0.3123,0.1804,0.1615,1.9455,52.0877,1.2796,0.7079,0.3522,0.2156,0.2237,0.4747,0.0968,0.14,0.0,0.0692,0.0754,0.3978,0.168,0.2427
SPP1,0.7732,0.8588,1.3829,2.1798,81.2615,8.0338,14.0757,13.5215,18.606,16.5499,7.2341,2441.5249,52.4414,3.6395,280.0466,0.9683,1.8846,11.0594,3.0809,0.4045
COL1A1,0.6443,0.8588,0.8418,0.5651,149.5781,388.3861,43.1512,28.742,0.1761,2.4798,17.3767,4.5093,3.5348,4.4794,2.8683,0.0692,0.4523,0.3978,0.5602,0.4045
COL1A2,0.0,0.1561,0.0601,0.0807,46.3176,222.9697,12.5828,13.5923,0.2935,1.2938,12.8275,0.2967,1.259,3.0096,1.3292,0.2767,0.0,1.0343,0.2801,0.0809
COL3A1,0.1289,0.3123,0.2405,0.1615,33.6719,493.9444,32.2034,45.4491,0.0587,1.5094,28.9364,0.534,3.2443,5.4592,3.9877,0.2767,0.1508,0.4774,0.2241,0.0
COL6A2,145.4256,91.6597,214.1103,65.7163,222.6835,735.8131,125.828,39.2193,22.7146,6.2534,3.8781,299.7469,72.4882,4.4794,131.0335,0.2767,44.7038,22.437,15.2362,23.1372
DCN,0.7088,0.7027,0.9019,1.2917,108.4983,1496.3202,94.9752,44.3872,0.7043,8.5176,3.5052,15.1891,1.5979,2.2397,1.3292,0.6225,0.3015,0.3978,0.6722,0.1213
LUM,0.9665,1.015,1.3829,1.1303,66.5955,1807.6612,140.8278,57.6963,0.9978,10.9974,4.1018,18.5117,9.7813,3.7795,1.6091,0.5533,0.3769,0.1591,1.1763,0.1618
PDGFRB,52.3841,19.1283,78.7657,26.9647,59.2625,231.3327,34.1939,25.1315,0.763,1.6173,0.4475,4.3906,4.9875,1.5398,2.1687,3.1817,31.8128,68.7432,25.7112,44.7777
ACTA2,1.3531,0.4684,3.307,16.7116,10.7002,66.3773,26.0187,22.6538,17.08,17.2508,18.8683,22.1903,23.5332,31.9154,12.1029,13.5567,11.534,20.5275,9.1866,15.9776
PAEP,0.6443,0.3904,0.7215,1.2917,1866.1716,59.8581,366.3229,137.9756,0.8804,7.5472,1.3424,7.2385,3.5348,5.1793,0.7696,0.8992,0.0,0.9548,0.112,0.1618
KRT7,0.1289,0.1561,0.0601,0.0807,241.9887,6.5192,54.8098,3.9644,0.0587,0.1078,0.2983,0.2373,6.7307,0.28,0.9095,0.2075,1.5077,0.8752,3.3049,4.0854
HLA-G,0.0,0.0,0.0601,0.0807,9.9519,1.0536,10.7345,1.6282,0.2348,0.2156,0.7458,0.6527,0.2905,0.14,0.6296,0.0,0.0754,0.2387,0.0,0.2831
EPCAM,0.0644,0.3123,0.0601,0.0807,46.4672,3.095,19.6917,1.0619,0.0587,0.0,0.1492,0.2967,0.0,0.07,0.2099,0.1383,0.9046,0.3978,1.2323,0.0404
VIM,493.6867,1474.9089,2025.2396,523.7929,1238.677,4414.0885,1308.824,919.4599,1813.2957,1571.5975,1053.7904,2241.8716,1299.2188,958.6533,2110.6684,1607.0896,3980.5993,3886.9321,4588.6853,4234.8725
PTPRC,2325.714,2075.5374,4171.8145,4724.7928,2375.8145,1992.3059,2195.2358,3811.9924,1829.1431,2025.8853,1901.6704,1697.6163,1837.3358,1425.9066,1504.4721,2619.5527,1721.5868,2255.6348,1427.1093,1510.8336
NCAM1,265.7222,182.4605,169.0756,90.5012,1064.481,535.3643,879.0896,1362.4827,914.0433,1100.8676,1034.0272,783.1273,514.0996,869.416,746.8842,1309.4651,369.0891,367.9032,264.1695,153.9108
KLRD1,505.1558,281.225,1222.2507,1231.8982,844.6409,384.3033,570.8466,1069.1872,193.7492,158.7069,158.6279,212.5877,322.3957,110.8642,120.9594,139.9935,366.6014,498.3879,207.2017,376.9904
NKG7,1769.9138,908.0867,1159.8395,687.9222,1108.1797,897.1468,1534.1769,1027.6317,340.8954,753.2649,562.6182,626.4306,652.0063,301.8669,477.8212,851.5811,667.3156,701.2757,566.6537,683.1131
GNLY,1855.1588,1183.378,1311.1778,302.8279,8093.378,18932.5363,25772.1962,12260.0789,523.4927,3975.1665,3393.3096,1884.1571,2882.1923,797.6062,1636.1353,2315.8414,422.8393,675.497,366.454,58.6115
ITGA1,3.415,3.7476,31.4461,125.1355,1297.0416,814.5044,1480.5046,2208.247,403.8741,568.3584,592.2258,300.6369,642.0797,237.1262,231.9846,412.2339,615.4501,406.7303,488.3439,451.0132
CD3E,560.5038,13.0385,285.3001,157.3478,169.4071,165.8773,163.0787,235.67,554.0137,641.0811,582.2323,509.2493,361.6662,615.2822,293.3388,271.9637,308.7805,237.2594,130.7964,75.5599
