Symbol,pNK1,pNK2,pNK3,pNK4,dNK1,dNK2,dNK3,dNK4,CB_iNK1,CB_iNK2,CB_iNK3,CB_iNK4,BM_iNK1,BM_iNK2,BM_iNK3,BM_iNK4,pNK_iNK1,pNK_iNK2,pNK_iNK3,pNK_iNK4
PTN,0.0,0.0,0.0,0.0,23.0,229.0,32.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
OGN,5.0,4.0,3.0,2.0,26.0,791.0,18.0,10.0,6.0,4.0,3.0,8.0,2.0,2.0,0.0,1.0,1.0,5.0,3.0,6.0
SPP1,12.0,11.0,23.0,27.0,1086.0,122.0,198.0,191.0,317.0,307.0,97.0,41150.0,1083.0,52.0,4003.0,14.0,25.0,139.0,55.0,10.0
COL1A1,10.0,11.0,14.0,7.0,1999.0,5898.0,607.0,406.0,3.0,46.0,233.0,76.0,73.0,64.0,41.0,1.0,6.0,5.0,10.0,10.0
COL1A2,0.0,2.0,1.0,1.0,619.0,3386.0,177.0,192.0,5.0,24.0,172.0,5.0,26.0,43.0,19.0,4.0,0.0,13.0,5.0,2.0
COL3A1,2.0,4.0,4.0,2.0,450.0,7501.0,453.0,642.0,1.0,28.0,388.0,9.0,67.0,78.0,57.0,4.0,2.0,6.0,4.0,0.0
DCN,11.0,9.0,15.0,16.0,1450.0,22723.0,1336.0,627.0,12.0,158.0,47.0,256.0,33.0,32.0,19.0,9.0,4.0,5.0,12.0,3.0
LUM,15.0,13.0,23.0,14.0,890.0,27451.0,1981.0,815.0,17.0,204.0,55.0,312.0,202.0,54.0,23.0,8.0,5.0,2.0,21.0,4.0
PAEP,10.0,5.0,12.0,16.0,24940.0,909.0,5153.0,1949.0,15.0,140.0,18.0,122.0,73.0,74.0,11.0,13.0,0.0,12.0,2.0,4.0
VIM,7662.0,18891.0,33683.0,6488.0,16554.0,67032.0,18411.0,12988.0,30894.0,29153.0,14130.0,37785.0,26831.0,13697.0,30170.0,23235.0,52803.0,48853.0,81918.0,104695.0
PTPRC,36095.0,26584.0,69384.0,58524.0,31751.0,30255.0,30880.0,53847.0,31164.0,37580.0,25499.0,28612.0,37944.0,20373.0,21505.0,37873.0,22837.0,28350.0,25477.0,37351.0
