,Stromal,Perivascular,Endothelial,Epithelial,Trophoblast,dNK1,dNK2,dNK3
PTN,118.3237,64.679,11.0323,16.9741,757.9121,0.79,1.1483,0.2541
OGN,90.0722,18.0667,19.6762,19.9446,12.4188,1.3694,1.446,1.6516
SPP1,3.5079,16.1878,305.7205,889.8685,61.1809,301.4232,190.7386,398.151
COL1A1,400.3962,2080.4223,155.3624,104.8152,162.5402,8.0056,4.2528,10.6716
COL1A2,283.0512,1653.1798,114.304,92.509,145.0078,5.4249,3.5298,10.2904
COL3A1,321.3487,1518.691,136.3686,93.782,133.6847,7.0576,3.5724,9.1471
DCN,5534.6706,1225.7928,752.2452,1013.7796,515.015,33.55,85.0988,39.1291
LUM,7460.2983,2247.4314,935.0178,1337.561,600.6682,40.2389,105.895,40.5265
VIM,2611.6515,3738.0827,2653.2168,544.445,473.9233,598.3169,936.3841,933.5079
PTPRC,0.6308,0.5781,1.3648,4.2435,2.1916,412.0802,489.8814,571.691
