dataset_id	compartment	subset	gene	detection_rate	n_cells
VT2018	Blood	Granulocyte	ENTPD1	0.01818181818181818	110
VT2018	Blood	Granulocyte	ITGAE	0.5454545454545454	110
VT2018	Blood	Granulocyte	ITGB2	0.5363636363636364	110
VT2018	Blood	Granulocyte	CD160	0.03636363636363636	110
VT2018	Blood	Granulocyte	KLRB1	0.38181818181818183	110
VT2018	Blood	Granulocyte	ITGA1	0.02727272727272727	110
VT2018	Blood	Granulocyte	CD9	0.12727272727272726	110
VT2018	Blood	Granulocyte	EOMES	0.00909090909090909	110
VT2018	Blood	Granulocyte	TBX21	0.05454545454545454	110
VT2018	Blood	Granulocyte	MKI67	0.02727272727272727	110
VT2018	Blood	ILC3	ENTPD1	0.0	1
VT2018	Blood	ILC3	ITGAE	0.0	1
VT2018	Blood	ILC3	ITGB2	0.0	1
VT2018	Blood	ILC3	CD160	0.0	1
VT2018	Blood	ILC3	KLRB1	1.0	1
VT2018	Blood	ILC3	ITGA1	0.0	1
VT2018	Blood	ILC3	CD9	0.0	1
VT2018	Blood	ILC3	EOMES	0.0	1
VT2018	Blood	ILC3	TBX21	0.0	1
VT2018	Blood	ILC3	MKI67	0.0	1
VT2018	Blood	Myeloid	ENTPD1	0.2825342465753425	1168
VT2018	Blood	Myeloid	ITGAE	0.3116438356164384	1168
VT2018	Blood	Myeloid	ITGB2	0.9186643835616438	1168
VT2018	Blood	Myeloid	CD160	0.019691780821917807	1168
VT2018	Blood	Myeloid	KLRB1	0.273972602739726	1168
VT2018	Blood	Myeloid	ITGA1	0.005136986301369863	1168
VT2018	Blood	Myeloid	CD9	0.08647260273972603	1168
VT2018	Blood	Myeloid	EOMES	0.009417808219178082	1168
VT2018	Blood	Myeloid	TBX21	0.023972602739726026	1168
VT2018	Blood	Myeloid	MKI67	0.0017123287671232876	1168
VT2018	Blood	Plasma	ENTPD1	0.115	200
VT2018	Blood	Plasma	ITGAE	0.535	200
VT2018	Blood	Plasma	ITGB2	0.6	200
VT2018	Blood	Plasma	CD160	0.025	200
VT2018	Blood	Plasma	KLRB1	0.305	200
VT2018	Blood	Plasma	ITGA1	0.0	200
VT2018	Blood	Plasma	CD9	0.07	200
VT2018	Blood	Plasma	EOMES	0.01	200
VT2018	Blood	Plasma	TBX21	0.02	200
VT2018	Blood	Plasma	MKI67	0.025	200
VT2018	Blood	Stromal	ENTPD1	0.0	1
VT2018	Blood	Stromal	ITGAE	1.0	1
VT2018	Blood	Stromal	ITGB2	0.0	1
VT2018	Blood	Stromal	CD160	0.0	1
VT2018	Blood	Stromal	KLRB1	0.0	1
VT2018	Blood	Stromal	ITGA1	0.0	1
VT2018	Blood	Stromal	CD9	0.0	1
VT2018	Blood	Stromal	EOMES	0.0	1
VT2018	Blood	Stromal	TBX21	1.0	1
VT2018	Blood	Stromal	MKI67	0.0	1
VT2018	Blood	T	ENTPD1	0.008666762964032933	6923
VT2018	Blood	T	ITGAE	0.1297125523616929	6923
VT2018	Blood	T	ITGB2	0.5803842264914054	6923
VT2018	Blood	T	CD160	0.03712263469594106	6923
VT2018	Blood	T	KLRB1	0.3835042611584573	6923
VT2018	Blood	T	ITGA1	0.010689007655640619	6923
VT2018	Blood	T	CD9	0.016033511483460928	6923
VT2018	Blood	T	EOMES	0.042467138523761376	6923
VT2018	Blood	T	TBX21	0.04925610284558717	6923
VT2018	Blood	T	MKI67	0.0031778130868120756	6923
VT2018	Blood	cDC1	ENTPD1	0.46153846153846156	13
VT2018	Blood	cDC1	ITGAE	0.46153846153846156	13
VT2018	Blood	cDC1	ITGB2	1.0	13
VT2018	Blood	cDC1	CD160	0.0	13
VT2018	Blood	cDC1	KLRB1	0.46153846153846156	13
VT2018	Blood	cDC1	ITGA1	0.0	13
VT2018	Blood	cDC1	CD9	0.3076923076923077	13
VT2018	Blood	cDC1	EOMES	0.15384615384615385	13
VT2018	Blood	cDC1	TBX21	0.0	13
VT2018	Blood	cDC1	MKI67	0.0	13
VT2018	Blood	dNK2	ENTPD1	0.0	2
VT2018	Blood	dNK2	ITGAE	0.0	2
VT2018	Blood	dNK2	ITGB2	0.5	2
VT2018	Blood	dNK2	CD160	0.0	2
VT2018	Blood	dNK2	KLRB1	0.0	2
VT2018	Blood	dNK2	ITGA1	0.0	2
VT2018	Blood	dNK2	CD9	0.0	2
VT2018	Blood	dNK2	EOMES	0.5	2
VT2018	Blood	dNK2	TBX21	0.0	2
VT2018	Blood	dNK2	MKI67	0.0	2
VT2018	Blood	dNKp	ENTPD1	0.0	2
VT2018	Blood	dNKp	ITGAE	0.5	2
VT2018	Blood	dNKp	ITGB2	1.0	2
VT2018	Blood	dNKp	CD160	0.0	2
VT2018	Blood	dNKp	KLRB1	1.0	2
VT2018	Blood	dNKp	ITGA1	0.0	2
VT2018	Blood	dNKp	CD9	0.0	2
VT2018	Blood	dNKp	EOMES	0.5	2
VT2018	Blood	dNKp	TBX21	0.5	2
VT2018	Blood	dNKp	MKI67	1.0	2
