gene	col	lineage	class	lineage_cpm	ambient_cpm	nk_cpm	soup_fraction	saturated	dataset_id	compartment
CCL21	7266	Endothelial	non_haematopoietic	8702.682992684775	285.64370155080144	1.1372751012640088	1.0	True	VT2018	Decidua
CLDN5	15003	Endothelial	non_haematopoietic	1817.8310999134928	58.258817316792836	0.6375633143449747	1.0	True	VT2018	Decidua
GNG11	5860	Endothelial	non_haematopoietic	1592.0665542507086	100.26305602531919	1.3440523924029197	1.0	True	VT2018	Decidua
ACKR1	17907	Endothelial	non_haematopoietic	956.9687089202358	31.633364443589116	0.27570305485188096	1.0	True	VT2018	Decidua
ECSCR	23635	Endothelial	non_haematopoietic	613.6018759953259	19.896388710430614	0.8788034873403705	1.0	True	VT2018	Decidua
VWF	3762	Endothelial	non_haematopoietic	610.1898173706994	20.839810268929956	0.7926462826991577	1.0	True	VT2018	Decidua
MMRN1	7578	Endothelial	non_haematopoietic	552.7534971894873	18.15494748237627	3.2739737763660863	0.5486401175328289	False	VT2018	Decidua
EGFL7	13073	Endothelial	non_haematopoietic	543.1997330405331	20.028264842263855	0.6203318734167321	1.0	True	VT2018	Decidua
PCAT19	28040	Endothelial	non_haematopoietic	490.4265596463106	16.132846794266563	0.17231440928242558	1.0	True	VT2018	Decidua
PECAM1	27168	Endothelial	non_haematopoietic	486.21835400927125	30.091428132923525	35.582925516820886	0.08366983423587948	False	VT2018	Decidua
CLEC14A	13690	Endothelial	non_haematopoietic	441.1791801642019	14.00592148854582	0.17231440928242558	1.0	True	VT2018	Decidua
ADGRL4	10563	Endothelial	non_haematopoietic	345.5278033871733	11.145223859547807	0.17231440928242558	1.0	True	VT2018	Decidua
GPX3	17633	Epithelial	non_haematopoietic	8112.7828737872	118.49239517180652	3.70475979957215	1.0	True	VT2018	Decidua
CXCL14	8594	Epithelial	non_haematopoietic	5931.183503866706	91.3292934534365	1.8093012974654687	1.0	True	VT2018	Decidua
