donor	group	gene	n_cells	n_detected	detection_rate
D10	gate1_CD39pos	XCL1	155	107	0.6903225806451613
D10	gate1_CD39pos	XCL2	155	112	0.7225806451612903
D10	gate1_CD39pos	CCL5	155	24	0.15483870967741936
D10	gate1_CD39pos	CXCR4	155	14	0.09032258064516129
D10	gate1_CD39pos	CCL3	155	113	0.7290322580645161
D10	gate1_CD39pos	CCL4	155	134	0.864516129032258
D10	gate1_CD39pos	CCL4L2	155	50	0.3225806451612903
D10	gate1_CD39pos	CCL3L1	155	30	0.1935483870967742
D10	gate2_CD39neg_CD103neg	XCL1	630	518	0.8222222222222222
D10	gate2_CD39neg_CD103neg	XCL2	630	544	0.8634920634920635
D10	gate2_CD39neg_CD103neg	CCL5	630	154	0.24444444444444444
D10	gate2_CD39neg_CD103neg	CXCR4	630	69	0.10952380952380952
D10	gate2_CD39neg_CD103neg	CCL3	630	443	0.7031746031746032
D10	gate2_CD39neg_CD103neg	CCL4	630	565	0.8968253968253969
D10	gate2_CD39neg_CD103neg	CCL4L2	630	210	0.3333333333333333
D10	gate2_CD39neg_CD103neg	CCL3L1	630	149	0.2365079365079365
D10	gate3_CD39neg_CD103pos	XCL1	59	51	0.864406779661017
D10	gate3_CD39neg_CD103pos	XCL2	59	57	0.9661016949152542
D10	gate3_CD39neg_CD103pos	CCL5	59	21	0.3559322033898305
D10	gate3_CD39neg_CD103pos	CXCR4	59	11	0.1864406779661017
D10	gate3_CD39neg_CD103pos	CCL3	59	44	0.7457627118644068
D10	gate3_CD39neg_CD103pos	CCL4	59	56	0.9491525423728814
D10	gate3_CD39neg_CD103pos	CCL4L2	59	17	0.288135593220339
D10	gate3_CD39neg_CD103pos	CCL3L1	59	14	0.23728813559322035
D12	gate1_CD39pos	XCL1	24	9	0.375
D12	gate1_CD39pos	XCL2	24	10	0.4166666666666667
D12	gate1_CD39pos	CCL5	24	6	0.25
D12	gate1_CD39pos	CXCR4	24	6	0.25
D12	gate1_CD39pos	CCL3	24	17	0.7083333333333334
D12	gate1_CD39pos	CCL4	24	21	0.875
D12	gate1_CD39pos	CCL4L2	24	17	0.7083333333333334
D12	gate1_CD39pos	CCL3L1	24	11	0.4583333333333333
D12	gate2_CD39neg_CD103neg	XCL1	176	142	0.8068181818181818
D12	gate2_CD39neg_CD103neg	XCL2	176	134	0.7613636363636364
D12	gate2_CD39neg_CD103neg	CCL5	176	108	0.6136363636363636
D12	gate2_CD39neg_CD103neg	CXCR4	176	52	0.29545454545454547
D12	gate2_CD39neg_CD103neg	CCL3	176	140	0.7954545454545454
D12	gate2_CD39neg_CD103neg	CCL4	176	158	0.8977272727272727
D12	gate2_CD39neg_CD103neg	CCL4L2	176	87	0.4943181818181818
D12	gate2_CD39neg_CD103neg	CCL3L1	176	78	0.4431818181818182
D12	gate3_CD39neg_CD103pos	XCL1	21	14	0.6666666666666666
D12	gate3_CD39neg_CD103pos	XCL2	21	14	0.6666666666666666
D12	gate3_CD39neg_CD103pos	CCL5	21	14	0.6666666666666666
D12	gate3_CD39neg_CD103pos	CXCR4	21	2	0.09523809523809523
D12	gate3_CD39neg_CD103pos	CCL3	21	15	0.7142857142857143
D12	gate3_CD39neg_CD103pos	CCL4	21	19	0.9047619047619048
D12	gate3_CD39neg_CD103pos	CCL4L2	21	10	0.47619047619047616
D12	gate3_CD39neg_CD103pos	CCL3L1	21	12	0.5714285714285714
D6	gate1_CD39pos	XCL1	474	237	0.5
D6	gate1_CD39pos	XCL2	474	296	0.6244725738396625
D6	gate1_CD39pos	CCL5	474	318	0.6708860759493671
D6	gate1_CD39pos	CXCR4	474	146	0.3080168776371308
D6	gate1_CD39pos	CCL3	474	395	0.8333333333333334
D6	gate1_CD39pos	CCL4	474	462	0.9746835443037974
D6	gate1_CD39pos	CCL4L2	474	214	0.45147679324894513
D6	gate1_CD39pos	CCL3L1	474	120	0.25316455696202533
D6	gate2_CD39neg_CD103neg	XCL1	2225	1629	0.7321348314606742
D6	gate2_CD39neg_CD103neg	XCL2	2225	1729	0.7770786516853933
D6	gate2_CD39neg_CD103neg	CCL5	2225	1759	0.790561797752809
D6	gate2_CD39neg_CD103neg	CXCR4	2225	1056	0.47460674157303373
D6	gate2_CD39neg_CD103neg	CCL3	2225	1939	0.8714606741573033
D6	gate2_CD39neg_CD103neg	CCL4	2225	2161	0.9712359550561798
D6	gate2_CD39neg_CD103neg	CCL4L2	2225	1125	0.5056179775280899
D6	gate2_CD39neg_CD103neg	CCL3L1	2225	522	0.2346067415730337
D6	gate3_CD39neg_CD103pos	XCL1	272	203	0.7463235294117647
D6	gate3_CD39neg_CD103pos	XCL2	272	218	0.8014705882352942
D6	gate3_CD39neg_CD103pos	CCL5	272	238	0.875
D6	gate3_CD39neg_CD103pos	CXCR4	272	165	0.6066176470588235
D6	gate3_CD39neg_CD103pos	CCL3	272	235	0.8639705882352942
D6	gate3_CD39neg_CD103pos	CCL4	272	263	0.9669117647058824
D6	gate3_CD39neg_CD103pos	CCL4L2	272	143	0.5257352941176471
D6	gate3_CD39neg_CD103pos	CCL3L1	272	75	0.2757352941176471
D7	gate1_CD39pos	XCL1	26	14	0.5384615384615384
D7	gate1_CD39pos	XCL2	26	20	0.7692307692307693
D7	gate1_CD39pos	CCL5	26	15	0.5769230769230769
D7	gate1_CD39pos	CXCR4	26	15	0.5769230769230769
D7	gate1_CD39pos	CCL3	26	22	0.8461538461538461
D7	gate1_CD39pos	CCL4	26	26	1.0
D7	gate1_CD39pos	CCL4L2	26	6	0.23076923076923078
D7	gate1_CD39pos	CCL3L1	26	5	0.19230769230769232
D7	gate2_CD39neg_CD103neg	XCL1	205	171	0.8341463414634146
D7	gate2_CD39neg_CD103neg	XCL2	205	176	0.8585365853658536
D7	gate2_CD39neg_CD103neg	CCL5	205	119	0.5804878048780487
D7	gate2_CD39neg_CD103neg	CXCR4	205	141	0.6878048780487804
D7	gate2_CD39neg_CD103neg	CCL3	205	172	0.8390243902439024
D7	gate2_CD39neg_CD103neg	CCL4	205	194	0.9463414634146341
D7	gate2_CD39neg_CD103neg	CCL4L2	205	58	0.28292682926829266
D7	gate2_CD39neg_CD103neg	CCL3L1	205	49	0.23902439024390243
D7	gate3_CD39neg_CD103pos	XCL1	38	37	0.9736842105263158
D7	gate3_CD39neg_CD103pos	XCL2	38	33	0.868421052631579
D7	gate3_CD39neg_CD103pos	CCL5	38	21	0.5526315789473685
D7	gate3_CD39neg_CD103pos	CXCR4	38	29	0.7631578947368421
D7	gate3_CD39neg_CD103pos	CCL3	38	35	0.9210526315789473
D7	gate3_CD39neg_CD103pos	CCL4	38	38	1.0
D7	gate3_CD39neg_CD103pos	CCL4L2	38	10	0.2631578947368421
D7	gate3_CD39neg_CD103pos	CCL3L1	38	10	0.2631578947368421
D8	gate1_CD39pos	XCL1	649	120	0.18489984591679506
D8	gate1_CD39pos	XCL2	649	275	0.423728813559322
D8	gate1_CD39pos	CCL5	649	191	0.2942989214175655
D8	gate1_CD39pos	CXCR4	649	84	0.12942989214175654
D8	gate1_CD39pos	CCL3	649	525	0.8089368258859785
D8	gate1_CD39pos	CCL4	649	561	0.864406779661017
D8	gate1_CD39pos	CCL4L2	649	272	0.41910631741140214
D8	gate1_CD39pos	CCL3L1	649	233	0.35901386748844377
D8	gate2_CD39neg_CD103neg	XCL1	1067	516	0.4835988753514527
D8	gate2_CD39neg_CD103neg	XCL2	1067	730	0.6841611996251171
D8	gate2_CD39neg_CD103neg	CCL5	1067	523	0.4901593252108716
D8	gate2_CD39neg_CD103neg	CXCR4	1067	190	0.1780693533270853
D8	gate2_CD39neg_CD103neg	CCL3	1067	892	0.8359887535145267
D8	gate2_CD39neg_CD103neg	CCL4	1067	980	0.9184629803186504
D8	gate2_CD39neg_CD103neg	CCL4L2	1067	485	0.45454545454545453
D8	gate2_CD39neg_CD103neg	CCL3L1	1067	371	0.3477038425492034
D8	gate3_CD39neg_CD103pos	XCL1	110	64	0.5818181818181818
D8	gate3_CD39neg_CD103pos	XCL2	110	86	0.7818181818181819
D8	gate3_CD39neg_CD103pos	CCL5	110	64	0.5818181818181818
D8	gate3_CD39neg_CD103pos	CXCR4	110	23	0.20909090909090908
D8	gate3_CD39neg_CD103pos	CCL3	110	97	0.8818181818181818
D8	gate3_CD39neg_CD103pos	CCL4	110	104	0.9454545454545454
D8	gate3_CD39neg_CD103pos	CCL4L2	110	59	0.5363636363636364
D8	gate3_CD39neg_CD103pos	CCL3L1	110	41	0.37272727272727274
D9	gate1_CD39pos	XCL1	37	24	0.6486486486486487
D9	gate1_CD39pos	XCL2	37	30	0.8108108108108109
D9	gate1_CD39pos	CCL5	37	7	0.1891891891891892
D9	gate1_CD39pos	CXCR4	37	5	0.13513513513513514
D9	gate1_CD39pos	CCL3	37	28	0.7567567567567568
D9	gate1_CD39pos	CCL4	37	36	0.972972972972973
D9	gate1_CD39pos	CCL4L2	37	7	0.1891891891891892
D9	gate1_CD39pos	CCL3L1	37	2	0.05405405405405406
D9	gate2_CD39neg_CD103neg	XCL1	3645	3490	0.9574759945130316
D9	gate2_CD39neg_CD103neg	XCL2	3645	3497	0.9593964334705075
D9	gate2_CD39neg_CD103neg	CCL5	3645	1707	0.4683127572016461
D9	gate2_CD39neg_CD103neg	CXCR4	3645	897	0.24609053497942388
D9	gate2_CD39neg_CD103neg	CCL3	3645	2669	0.7322359396433471
D9	gate2_CD39neg_CD103neg	CCL4	3645	3507	0.9621399176954732
D9	gate2_CD39neg_CD103neg	CCL4L2	3645	668	0.1832647462277092
D9	gate2_CD39neg_CD103neg	CCL3L1	3645	228	0.06255144032921811
D9	gate3_CD39neg_CD103pos	XCL1	330	310	0.9393939393939394
D9	gate3_CD39neg_CD103pos	XCL2	330	313	0.9484848484848485
D9	gate3_CD39neg_CD103pos	CCL5	330	181	0.5484848484848485
D9	gate3_CD39neg_CD103pos	CXCR4	330	120	0.36363636363636365
D9	gate3_CD39neg_CD103pos	CCL3	330	242	0.7333333333333333
D9	gate3_CD39neg_CD103pos	CCL4	330	319	0.9666666666666667
D9	gate3_CD39neg_CD103pos	CCL4L2	330	66	0.2
D9	gate3_CD39neg_CD103pos	CCL3L1	330	22	0.06666666666666667
