donor	original	group	n_cells	n_detected	detection_rate	gene
D10	dNK1	gate1_CD39pos	151	98	0.6490066225165563	XCL1
D10	dNK1	gate1_CD39pos	151	114	0.7549668874172185	XCL2
D10	dNK1	gate1_CD39pos	151	13	0.08609271523178808	CCL5
D10	dNK1	gate1_CD39pos	151	10	0.06622516556291391	CXCR4
D10	dNK1	gate1_CD39pos	151	114	0.7549668874172185	CCL3
D10	dNK1	gate1_CD39pos	151	137	0.9072847682119205	CCL4
D10	dNK1	gate1_CD39pos	151	35	0.23178807947019867	CCL4L2
D10	dNK1	gate1_CD39pos	151	38	0.25165562913907286	CCL3L1
D10	dNK1	gate2_CD39neg_CD103neg	308	209	0.6785714285714286	XCL1
D10	dNK1	gate2_CD39neg_CD103neg	308	245	0.7954545454545454	XCL2
D10	dNK1	gate2_CD39neg_CD103neg	308	36	0.11688311688311688	CCL5
D10	dNK1	gate2_CD39neg_CD103neg	308	16	0.05194805194805195	CXCR4
D10	dNK1	gate2_CD39neg_CD103neg	308	221	0.7175324675324676	CCL3
D10	dNK1	gate2_CD39neg_CD103neg	308	267	0.8668831168831169	CCL4
D10	dNK1	gate2_CD39neg_CD103neg	308	100	0.3246753246753247	CCL4L2
D10	dNK1	gate2_CD39neg_CD103neg	308	73	0.237012987012987	CCL3L1
D10	dNK2	gate2_CD39neg_CD103neg	288	283	0.9826388888888888	XCL1
D10	dNK2	gate2_CD39neg_CD103neg	288	278	0.9652777777777778	XCL2
D10	dNK2	gate2_CD39neg_CD103neg	288	87	0.3020833333333333	CCL5
D10	dNK2	gate2_CD39neg_CD103neg	288	27	0.09375	CXCR4
D10	dNK2	gate2_CD39neg_CD103neg	288	205	0.7118055555555556	CCL3
D10	dNK2	gate2_CD39neg_CD103neg	288	272	0.9444444444444444	CCL4
D10	dNK2	gate2_CD39neg_CD103neg	288	95	0.3298611111111111	CCL4L2
D10	dNK2	gate2_CD39neg_CD103neg	288	60	0.20833333333333334	CCL3L1
D12	dNK1	gate2_CD39neg_CD103neg	53	19	0.3584905660377358	XCL1
