dataset_id	donor	compartment	subset	n_cells_post_qc	stage	reason
VT2018	D10	Decidua	Endothelial	24	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Decidua	Epithelial	10	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Decidua	Hofbauer	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Decidua	ILC3	7	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Decidua	Plasma	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Decidua	pbNK_CD56dim	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Placenta	Epithelial	9	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Placenta	Granulocyte	5	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Placenta	Plasma	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Placenta	cDC1	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Placenta	dNK1	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D10	Placenta	dNK2	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D11	Placenta	Endothelial	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D11	Placenta	Granulocyte	3	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	Epithelial	18	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	Granulocyte	8	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	Perivascular	20	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	Trophoblast	12	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	dNK3	29	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	pbNK_CD56bright	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Decidua	pbNK_CD56dim	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Placenta	Granulocyte	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D12	Placenta	Plasma	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Blood	Granulocyte	17	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Blood	ILC3	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Blood	cDC1	3	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Blood	dNK2	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Blood	pbNK_CD56bright	20	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Decidua	Hofbauer	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Decidua	Plasma	4	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D6	Decidua	Trophoblast	28	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Blood	Granulocyte	5	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Blood	Plasma	6	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Blood	pbNK_CD56bright	3	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Decidua	Granulocyte	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Decidua	ILC3	17	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Decidua	Plasma	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Decidua	Trophoblast	26	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Decidua	dNKp	24	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D7	Decidua	pbNK_CD56dim	6	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Blood	cDC1	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Blood	dNKp	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	Epithelial	19	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	Granulocyte	11	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	ILC3	20	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	Plasma	16	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	Trophoblast	8	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	pbNK_CD56bright	1	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Decidua	pbNK_CD56dim	14	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Placenta	Endothelial	14	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
VT2018	D8	Placenta	Granulocyte	2	post_cell_qc	n_cells < 30 after cell QC; below the admission threshold for donor-level statistics
