dataset_id	compartment	subset	n_cells	n_triple_positive	triple_positive_frac
VT2018	Blood	Granulocyte	110	16	0.14545454545454545
VT2018	Blood	ILC3	1	0	0.0
VT2018	Blood	Myeloid	1168	57	0.0488013698630137
VT2018	Blood	Plasma	200	13	0.065
VT2018	Blood	Stromal	1	0	0.0
VT2018	Blood	T	6923	4856	0.7014300158890654
VT2018	Blood	cDC1	13	0	0.0
VT2018	Blood	dNK2	2	0	0.0
VT2018	Blood	dNKp	2	0	0.0
VT2018	Blood	pbNK_CD56bright	220	17	0.07727272727272727
VT2018	Blood	pbNK_CD56dim	1361	55	0.04041146216017634
VT2018	Decidua	Endothelial	1140	1	0.0008771929824561404
VT2018	Decidua	Epithelial	350	1	0.002857142857142857
VT2018	Decidua	Granulocyte	96	2	0.020833333333333332
VT2018	Decidua	Hofbauer	2	0	0.0
VT2018	Decidua	ILC3	184	10	0.05434782608695652
VT2018	Decidua	Myeloid	5375	133	0.02474418604651163
VT2018	Decidua	Perivascular	1838	0	0.0
VT2018	Decidua	Plasma	134	0	0.0
VT2018	Decidua	Stromal	12583	10	0.0007947230390209012
VT2018	Decidua	T	1847	1173	0.6350839198700595
VT2018	Decidua	Trophoblast	306	1	0.0032679738562091504
VT2018	Decidua	cDC1	310	9	0.02903225806451613
VT2018	Decidua	dNK1	3798	659	0.17351237493417587
VT2018	Decidua	dNK2	5408	265	0.04900147928994083
VT2018	Decidua	dNK3	1987	66	0.03321590337191746
VT2018	Decidua	dNKp	727	123	0.16918844566712518
VT2018	Decidua	pbNK_CD56bright	10	0	0.0
VT2018	Decidua	pbNK_CD56dim	91	3	0.03296703296703297
VT2018	Placenta	Endothelial	147	0	0.0
VT2018	Placenta	Epithelial	44	0	0.0
VT2018	Placenta	Granulocyte	39	0	0.0
VT2018	Placenta	Hofbauer	1300	0	0.0
VT2018	Placenta	ILC3	1	0	0.0
VT2018	Placenta	Myeloid	930	0	0.0
VT2018	Placenta	Plasma	6	0	0.0
VT2018	Placenta	Stromal	2288	1	0.00043706293706293706
VT2018	Placenta	T	4	3	0.75
VT2018	Placenta	Trophoblast	13777	2	0.00014516948537417434
VT2018	Placenta	cDC1	1	0	0.0
VT2018	Placenta	dNK1	5	1	0.2
VT2018	Placenta	dNK2	2	0	0.0
VT2018	Placenta	dNKp	1	0	0.0
VT2018	Placenta	pbNK_CD56dim	2	0	0.0
