comparison	gene	effect_pp	z_vs_matched_null	n_donors	all_donors_same_sign	baseline_det_ref	n_nulls	null_rank
dNK1_vs_dNK2	SELL	4.847046115004242	10.545881876042932	6	True	0.005392450569203115	371	1
dNK2_vs_dNK3	S1PR5	1.533748944997128	10.335858285013392	5	True	0.0	371	2
dNK2_vs_dNK3	CXCR4	52.53370462963136	10.035863447290675	5	True	0.1940598033313265	371	1
dNK1_vs_dNK3	CXCR4	57.8888515094416	7.967525698299858	5	True	0.17585380467345715	371	1
dNK1_vs_dNK2	XCL1	39.31891902402015	7.743157617493166	6	True	0.4047333732774116	371	1
dNK1_vs_dNK3	CCL5	57.284618046325406	6.724478484894951	5	True	0.4128220491312163	371	1
dNK1_vs_dNK3	S1PR5	1.51373514164593	5.812270099573982	5	True	0.0005991611743559018	371	2
dNK1_vs_dNK2	XCL2	32.8843278257557	5.749663196717954	6	True	0.5829838226482924	371	3
dNK2_vs_dNK3	CCL5	35.51825650271392	5.721209923018061	5	True	0.4830423439694963	371	1
dNK2_vs_dNK3	CCR9	1.041472204669764	5.451967632649346	5	True	0.0006020469596628537	371	2
dNK2_vs_dNK3	CXCR6	2.340804998797796	4.781072826984732	5	True	0.0016054585591009432	371	4
dNK1_vs_dNK2	CCL5	23.342572735006755	4.364258442077691	6	True	0.4128220491312163	371	3
dNK1_vs_dNK3	CXCR6	2.6318257958354776	4.331590187685296	5	True	0.0029958058717795086	371	4
dNK1_vs_dNK3	CCR9	1.134865681025364	4.1205704166561805	5	True	0.0005991611743559018	371	5
dNK1_vs_dNK3	XCL1	31.21552248717916	4.091878599151628	5	True	0.4047333732774116	371	2
dNK1_vs_dNK2	CCR1	5.121015867827022	3.8015727260910968	6	True	0.04883163571000599	371	4
dNK1_vs_dNK3	XCL2	22.95276109997729	2.7542719119515047	5	True	0.5829838226482924	371	9
dNK1_vs_dNK2	CCL20	-2.481381741594618	-2.6822539296966945	6	False	0.02756141402037148	371	6
dNK1_vs_dNK2	CCR5	0.7677355035423733	2.048595481073288	6	False	0.0038945476333133613	371	20
dNK1_vs_dNK3	SELL	2.530139977558436	1.9151400197058603	5	True	0.005392450569203115	371	13
dNK1_vs_dNK2	CCR2	0.2928835168193767	1.7908976265190353	6	False	0.0005991611743559018	371	29
dNK1_vs_dNK3	CCR2	0.3771358394124059	1.7401599950853572	5	True	0.0005991611743559018	371	23
dNK2_vs_dNK3	CCL3	10.146406564441149	1.5958252360098502	5	False	0.7553682520569938	371	40
dNK1_vs_dNK2	CXCL16	-1.09770993827602	-1.5746159281914531	6	False	0.018573996405032954	371	41
dNK1_vs_dNK2	CXCR3	6.171641556402744	1.516575549226327	6	False	0.15218693828639904	371	37
dNK2_vs_dNK3	CCR1	-4.002917415420316	-1.5158177317908992	5	True	0.08187838651414811	371	40
dNK1_vs_dNK2	CXCR4	5.996655697195744	1.4076757001873894	6	True	0.17585380467345715	371	47
dNK1_vs_dNK3	CCL4L2	11.33329221433201	1.3345333647515123	5	True	0.3957459556620731	371	53
dNK1_vs_dNK3	CCL20	-2.651833260232938	-1.3209825144552505	5	True	0.02756141402037148	371	21
dNK1_vs_dNK3	S1PR1	-0.786477396478658	-1.2824348390108755	5	False	0.0026962252846015576	371	22
dNK1_vs_dNK3	CCR5	1.24873808101189	1.207652892044644	5	True	0.0038945476333133613	371	20
dNK2_vs_dNK3	CCL3L1	5.91945712576983	1.0972145921643524	5	True	0.1378687537627935	371	63
dNK2_vs_dNK3	S1PR1	-0.5047149490845899	-1.0880369241633236	5	False	0.0028095524784266506	371	71
dNK1_vs_dNK3	CCL3L1	6.971870349478391	0.9953518689610656	5	True	0.25704014379868184	371	82
dNK1_vs_dNK3	CCL3	8.789999416142852	0.9699714046769432	5	True	0.8235470341521869	371	76
dNK2_vs_dNK3	XCL2	-5.163127610329015	-0.896641361506088	5	True	0.9610676299418022	371	91
dNK1_vs_dNK2	CCL4L2	5.8287424239820815	0.8887721829410975	6	False	0.3957459556620731	371	71
dNK1_vs_dNK3	CXCL16	-0.8054188082006719	-0.8482616110250738	5	False	0.018573996405032954	371	113
dNK2_vs_dNK3	XCL1	-4.957465887715091	-0.7726560969963621	5	False	0.9488260084286574	371	116
dNK2_vs_dNK3	SELL	-2.5111215619970424	-0.7544805789729219	5	False	0.12502508528998596	371	103
dNK1_vs_dNK3	CCL1	-0.124223602484472	-0.7125015742595422	5	False	0.0005991611743559018	371	102
dNK1_vs_dNK2	CX3CR1	-0.158019464147195	-0.6074544666045927	6	False	0.006590772917914919	371	177
dNK1_vs_dNK2	S1PR1	-0.1056030730867882	-0.5972519356105045	6	False	0.0026962252846015576	371	168
dNK1_vs_dNK3	CCR1	1.661485219338808	0.5325906993032632	5	False	0.04883163571000599	371	190
dNK1_vs_dNK3	CXCL10	-0.244101709713624	-0.5247927622151063	5	False	0.007489514679448772	371	176
dNK2_vs_dNK3	CXCR3	-2.461243504672029	-0.5210523710360696	5	False	0.22396146899458158	371	151
