dataset_id	comparison_id	gene	observed_diff_pp	null_mean_diff_pp	null_sd_diff_pp	n_null_genes	null_set_is_expression_matched	empirical_p	empirical_p_resolution_floor	empirical_p_at_resolution_floor	empirical_z	q_bh_empirical	q_bh_empirical_per_comparison
VT2018	A_decidua_dNK1_vs_dNK2	CCL2	0.3016630423718601	0.3162821240482457	3.1100118902110223	399	False	0.99	0.0025	False	-0.004700651377700569	0.99	0.99
VT2018	A_decidua_dNK1_vs_dNK2	CCL3	-2.311119717422882	0.3162821240482457	3.1100118902110223	399	False	0.1375	0.0025	False	-0.844820513304485	0.46406250000000004	0.37125
VT2018	A_decidua_dNK1_vs_dNK2	CCL4	1.3918306186241274	0.3162821240482457	3.1100118902110223	399	False	0.32	0.0025	False	0.3458342066026323	0.6821052631578948	0.6646153846153846
VT2018	A_decidua_dNK1_vs_dNK2	CCL5	23.342572735006755	0.3162821240482457	3.1100118902110223	399	False	0.005	0.0025	False	7.403923658116984	0.050625	0.045000000000000005
VT2018	A_decidua_dNK1_vs_dNK2	CCL20	-2.481381741594618	0.3162821240482457	3.1100118902110223	399	False	0.1325	0.0025	False	-0.8995669355633991	0.46406250000000004	0.37125
VT2018	A_decidua_dNK1_vs_dNK2	XCL1	39.31891902402015	0.3162821240482457	3.1100118902110223	399	False	0.0025	0.0025	True	12.540992856887591	0.03375	0.03375
VT2018	A_decidua_dNK1_vs_dNK2	XCL2	32.8843278257557	0.3162821240482457	3.1100118902110223	399	False	0.0025	0.0025	True	10.472000381804852	0.03375	0.03375
VT2018	A_decidua_dNK1_vs_dNK2	CXCL8	-0.9504066047720866	0.3162821240482457	3.1100118902110223	399	False	0.2875	0.0025	False	-0.40729385402265594	0.6403378378378378	0.646875
VT2018	A_decidua_dNK1_vs_dNK2	CXCL10	-0.0737583631482233	0.3162821240482457	3.1100118902110223	399	False	0.5475	0.0025	False	-0.12541446816462293	0.7780263157894737	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	CXCL12	-0.0136995030084483	0.3162821240482457	3.1100118902110223	399	False	0.6175	0.0025	False	-0.10610301140498336	0.800357142857143	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	CXCL16	-1.09770993827602	0.3162821240482457	3.1100118902110223	399	False	0.255	0.0025	False	-0.45465808885647785	0.6017142857142858	0.6259090909090909
VT2018	A_decidua_dNK1_vs_dNK2	CCL1	0.0354659486792333	0.3162821240482457	3.1100118902110223	399	False	0.7275	0.0025	False	-0.09029424493613697	0.8928409090909091	0.8540217391304349
VT2018	A_decidua_dNK1_vs_dNK2	CCL3L1	0.9048133289842314	0.3162821240482457	3.1100118902110223	399	False	0.425	0.0025	False	0.18923760606460327	0.7629910714285714	0.7639772727272728
VT2018	A_decidua_dNK1_vs_dNK2	CCL4L2	5.8287424239820815	0.3162821240482457	3.1100118902110223	399	False	0.0675	0.0025	False	1.7724884966789634	0.3905357142857143	0.28687500000000005
VT2018	A_decidua_dNK1_vs_dNK2	PPBP	-0.0136836343732883	0.3162821240482457	3.1100118902110223	399	False	0.6225	0.0025	False	-0.10609790896945573	0.800357142857143	0.7639772727272728
