gene_symbol	matched_via
CCL2	symbol
CCL3	symbol
CCL4	symbol
CCL5	symbol
CCL20	symbol
XCL1	symbol
XCL2	symbol
CXCL8	symbol
CXCL10	symbol
CXCL12	symbol
CXCL16	symbol
CCL1	symbol
CCL3L1	ensembl
CCL4L2	symbol
PPBP	symbol
CCR1	symbol
CCR2	symbol
CCR5	symbol
CCR9	symbol
CXCR3	symbol
CXCR4	symbol
CXCR6	symbol
CX3CR1	symbol
S1PR1	symbol
S1PR5	symbol
SELL	symbol
ACKR2	symbol
XCR1	symbol
KLRD1	symbol
NKG7	symbol
GNLY	symbol
PRF1	symbol
GZMB	symbol
NCR1	symbol
IGKC	symbol
LYZ	symbol
C1QA	symbol
DCN	symbol
COL1A1	symbol
IGFBP1	symbol
HLA-G	symbol
CSH1	symbol
HBB	symbol
CD3E	symbol
CD3D	symbol
TRBC2	symbol
TRAC	symbol
ENTPD1	symbol
ITGAE	symbol
ITGB2	symbol
CD160	symbol
KLRB1	symbol
ITGA1	symbol
CD9	symbol
EOMES	symbol
TBX21	symbol
MKI67	symbol
PTN	symbol
OGN	symbol
SPP1	symbol
VEGFA	symbol
PGF	symbol
IGF2	symbol
ITGAD	symbol
ANGPT2	symbol
ANG	symbol
IL10	symbol
