donor	subset	n_cells	triple_pos	median_umi	dataset_id
D10	dNK1	482	0.17219917012448133	7568.0	VT2018
D10	dNK2	326	0.03680981595092025	4674.5	VT2018
D10	dNK3	37	0.0	4635.0	VT2018
D10	dNKp	102	0.18627450980392157	14927.5	VT2018
D12	dNK1	141	0.10638297872340426	2253.0	VT2018
D12	dNK2	386	0.03367875647668394	1760.0	VT2018
D12	dNKp	73	0.0821917808219178	3617.0	VT2018
D6	dNK1	1388	0.1563400576368876	4605.5	VT2018
D6	dNK2	634	0.07728706624605679	3785.5	VT2018
D6	dNK3	1227	0.037489812550937245	3789.0	VT2018
D6	dNKp	49	0.22448979591836735	10723.0	VT2018
D7	dNK1	108	0.3425925925925926	5592.5	VT2018
D7	dNK2	99	0.13131313131313133	6053.0	VT2018
D7	dNK3	75	0.10666666666666667	5535.0	VT2018
D8	dNK1	1518	0.1857707509881423	3343.0	VT2018
D8	dNK2	554	0.0631768953068592	2913.5	VT2018
D8	dNK3	173	0.005780346820809248	2053.0	VT2018
D8	dNKp	263	0.23574144486692014	7435.0	VT2018
D9	dNK1	161	0.15527950310559005	4396.0	VT2018
D9	dNK2	3409	0.04194778527427398	4122.0	VT2018
D9	dNK3	446	0.02466367713004484	3250.0	VT2018
D9	dNKp	216	0.05555555555555555	10322.0	VT2018
