dataset_id	donor	compartment	celltype_raw	subset	n_cells_pre_qc	n_cells_post_qc	frac_cells_kept_qc	median_umi	median_genes	median_mito_frac	min_genes_threshold	max_mito_threshold
VT2018	D10	Decidua	DC1	cDC1	35	35	1.0	13458.0	2668.0	0.0	200	0.1
VT2018	D10	Decidua	DC2	Myeloid	1	1	1.0	10692.0	2651.0	0.0	200	0.1
VT2018	D10	Decidua	EVT	Trophoblast	157	157	1.0	19239.0	3949.0	0.0	200	0.1
VT2018	D10	Decidua	Endo (m)	Endothelial	21	21	1.0	12331.0	3503.0	0.0	200	0.1
VT2018	D10	Decidua	Endo L	Endothelial	3	3	1.0	10102.0	3101.0	0.0	200	0.1
VT2018	D10	Decidua	Epi1	Epithelial	1	1	1.0	13064.0	2067.0	0.0	200	0.1
VT2018	D10	Decidua	Epi2	Epithelial	9	9	1.0	12197.0	3678.0	0.0	200	0.1
VT2018	D10	Decidua	HB	Hofbauer	1	1	1.0	20405.0	4307.0	0.0	200	0.1
VT2018	D10	Decidua	ILC3	ILC3	7	7	1.0	3925.0	1410.0	0.0	200	0.1
VT2018	D10	Decidua	MO	Myeloid	2	2	1.0	6245.5	2043.5	0.0	200	0.1
VT2018	D10	Decidua	NK CD16+	pbNK_CD56dim	2	2	1.0	3381.5	1377.0	0.0	200	0.1
VT2018	D10	Decidua	Plasma	Plasma	1	1	1.0	14010.0	3143.0	0.0	200	0.1
VT2018	D10	Decidua	SCT	Trophoblast	6	6	1.0	10312.0	2725.5	0.0	200	0.1
VT2018	D10	Decidua	Tcells	T	82	82	1.0	4476.5	1543.5	0.0	200	0.1
VT2018	D10	Decidua	VCT	Trophoblast	3	3	1.0	16507.0	3655.0	0.0	200	0.1
VT2018	D10	Decidua	dM1	Myeloid	411	411	1.0	5213.0	1574.0	0.0	200	0.1
VT2018	D10	Decidua	dM2	Myeloid	212	212	1.0	4815.0	1745.0	0.0	200	0.1
VT2018	D10	Decidua	dM3	Myeloid	16	16	1.0	17364.5	3259.0	0.0	200	0.1
VT2018	D10	Decidua	dNK p	dNKp	102	102	1.0	14927.5	3473.5	0.0	200	0.1
VT2018	D10	Decidua	dNK1	dNK1	482	482	1.0	7568.0	2159.0	0.0	200	0.1
VT2018	D10	Decidua	dNK2	dNK2	326	326	1.0	4674.5	1700.0	0.0	200	0.1
VT2018	D10	Decidua	dNK3	dNK3	37	37	1.0	4635.0	1658.0	0.0	200	0.1
VT2018	D10	Decidua	dP1	Perivascular	29	29	1.0	9438.0	2682.0	0.0	200	0.1
VT2018	D10	Decidua	dP2	Perivascular	39	39	1.0	9620.0	2675.0	0.0	200	0.1
VT2018	D10	Decidua	dS1	Stromal	904	904	1.0	19998.0	3678.0	0.0	200	0.1
VT2018	D10	Decidua	dS2	Stromal	54	54	1.0	19158.0	3732.0	0.0	200	0.1
VT2018	D10	Decidua	dS3	Stromal	14	14	1.0	17262.0	3140.5	0.0	200	0.1
VT2018	D10	Placenta	DC1	cDC1	1	1	1.0	25795.0	4368.0	0.0	200	0.1
VT2018	D10	Placenta	EVT	Trophoblast	385	385	1.0	41739.0	5400.0	0.0	200	0.1
VT2018	D10	Placenta	Endo (f)	Endothelial	23	23	1.0	11222.0	3608.0	0.0	200	0.1
VT2018	D10	Placenta	Endo (m)	Endothelial	12	12	1.0	14862.5	3785.5	0.0	200	0.1
VT2018	D10	Placenta	Endo L	Endothelial	2	2	1.0	10748.5	3103.0	0.0	200	0.1
VT2018	D10	Placenta	Epi2	Epithelial	9	9	1.0	18083.0	3976.0	0.0	200	0.1
VT2018	D10	Placenta	Granulocytes	Granulocyte	5	5	1.0	11369.0	3022.0	0.0	200	0.1
VT2018	D10	Placenta	HB	Hofbauer	626	626	1.0	15314.0	3423.0	0.0	200	0.1
VT2018	D10	Placenta	MO	Myeloid	2	2	1.0	7042.0	1885.0	0.0	200	0.1
VT2018	D10	Placenta	Plasma	Plasma	1	1	1.0	7476.0	1932.0	0.0	200	0.1
VT2018	D10	Placenta	SCT	Trophoblast	306	306	1.0	16231.0	3305.5	0.0	200	0.1
VT2018	D10	Placenta	VCT	Trophoblast	5408	5408	1.0	18100.0	4104.0	0.0	200	0.1
VT2018	D10	Placenta	dM1	Myeloid	37	37	1.0	7566.0	2082.0	0.0	200	0.1
VT2018	D10	Placenta	dM2	Myeloid	2	2	1.0	7147.0	2116.0	0.0	200	0.1
VT2018	D10	Placenta	dM3	Myeloid	156	156	1.0	17977.0	3601.0	0.0	200	0.1
VT2018	D10	Placenta	dNK1	dNK1	1	1	1.0	8517.0	2140.0	0.0	200	0.1
VT2018	D10	Placenta	dNK2	dNK2	1	1	1.0	48308.0	5968.0	0.0	200	0.1
VT2018	D10	Placenta	fFB1	Stromal	437	437	1.0	10976.0	3284.0	0.0	200	0.1
VT2018	D10	Placenta	fFB2	Stromal	59	59	1.0	11240.0	3338.0	0.0	200	0.1
VT2018	D11	Placenta	EVT	Trophoblast	1814	1814	1.0	32848.5	4520.0	0.0	200	0.1
VT2018	D11	Placenta	Endo (f)	Endothelial	2	2	1.0	14121.5	3335.0	0.0	200	0.1
VT2018	D11	Placenta	Granulocytes	Granulocyte	3	3	1.0	32435.0	4915.0	0.0	200	0.1
VT2018	D11	Placenta	HB	Hofbauer	137	137	1.0	17939.0	3780.0	0.0	200	0.1
VT2018	D11	Placenta	MO	Myeloid	1	1	1.0	52092.0	5975.0	0.0	200	0.1
VT2018	D11	Placenta	SCT	Trophoblast	110	110	1.0	16595.5	3045.5	0.0	200	0.1
VT2018	D11	Placenta	VCT	Trophoblast	203	203	1.0	23741.0	4409.0	0.0	200	0.1
VT2018	D11	Placenta	dM1	Myeloid	8	8	1.0	9152.0	2206.5	0.0	200	0.1
VT2018	D11	Placenta	dM3	Myeloid	47	47	1.0	16899.0	3177.0	0.0	200	0.1
VT2018	D11	Placenta	fFB1	Stromal	172	172	1.0	12661.0	3203.0	0.0	200	0.1
VT2018	D11	Placenta	fFB2	Stromal	5	5	1.0	9051.0	2653.0	0.0	200	0.1
VT2018	D12	Decidua	DC1	cDC1	50	50	1.0	4143.0	1211.5	0.0	200	0.1
VT2018	D12	Decidua	EVT	Trophoblast	6	6	1.0	7027.5	1855.5	0.0	200	0.1
VT2018	D12	Decidua	Endo (f)	Endothelial	1	1	1.0	4975.0	1794.0	0.0	200	0.1
VT2018	D12	Decidua	Endo (m)	Endothelial	14	14	1.0	6109.0	2051.5	0.0	200	0.1
VT2018	D12	Decidua	Endo L	Endothelial	36	36	1.0	7750.5	2261.0	0.0	200	0.1
VT2018	D12	Decidua	Epi1	Epithelial	4	4	1.0	3766.5	1427.0	0.0	200	0.1
VT2018	D12	Decidua	Epi2	Epithelial	14	14	1.0	5518.5	2003.0	0.0	200	0.1
VT2018	D12	Decidua	Granulocytes	Granulocyte	8	8	1.0	2326.5	834.5	0.0	200	0.1
VT2018	D12	Decidua	ILC3	ILC3	46	46	1.0	1737.5	707.5	0.0	200	0.1
VT2018	D12	Decidua	MO	Myeloid	3	3	1.0	1703.0	629.0	0.0	200	0.1
VT2018	D12	Decidua	NK CD16+	pbNK_CD56dim	1	1	1.0	1440.0	617.0	0.0	200	0.1
VT2018	D12	Decidua	NK CD16-	pbNK_CD56bright	2	2	1.0	1388.5	578.0	0.0	200	0.1
VT2018	D12	Decidua	Plasma	Plasma	52	52	1.0	1985.0	737.5	0.0	200	0.1
VT2018	D12	Decidua	SCT	Trophoblast	4	4	1.0	10143.0	2270.5	0.0	200	0.1
VT2018	D12	Decidua	Tcells	T	232	232	1.0	1817.5	660.0	0.0	200	0.1
VT2018	D12	Decidua	VCT	Trophoblast	2	2	1.0	1612.5	704.0	0.0	200	0.1
VT2018	D12	Decidua	dM1	Myeloid	423	423	1.0	2206.0	778.0	0.0	200	0.1
VT2018	D12	Decidua	dM2	Myeloid	190	190	1.0	1566.5	707.0	0.0	200	0.1
VT2018	D12	Decidua	dM3	Myeloid	4	4	1.0	5119.0	1248.0	0.0	200	0.1
VT2018	D12	Decidua	dNK p	dNKp	73	73	1.0	3617.0	1192.0	0.0	200	0.1
VT2018	D12	Decidua	dNK1	dNK1	141	141	1.0	2253.0	798.0	0.0	200	0.1
VT2018	D12	Decidua	dNK2	dNK2	386	386	1.0	1760.0	681.0	0.0	200	0.1
