dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D10	Decidua	Endothelial	1808	24	24	1.0
VT2018	D10	Decidua	Epithelial	1808	10	10	1.0
VT2018	D10	Decidua	Hofbauer	1808	1	1	1.0
VT2018	D10	Decidua	ILC3	1808	7	7	1.0
VT2018	D10	Decidua	Myeloid	1808	642	642	1.0
VT2018	D10	Decidua	Perivascular	1808	68	68	1.0
VT2018	D10	Decidua	Plasma	1808	1	1	1.0
VT2018	D10	Decidua	Stromal	1808	972	972	1.0
VT2018	D10	Decidua	T	1808	82	82	1.0
VT2018	D10	Decidua	Trophoblast	1808	166	166	1.0
VT2018	D10	Decidua	cDC1	1808	35	35	1.0
VT2018	D10	Decidua	dNK1	1808	482	482	1.0
VT2018	D10	Decidua	dNK2	1808	326	326	1.0
VT2018	D10	Decidua	dNK3	1808	37	37	1.0
VT2018	D10	Decidua	dNKp	1808	102	102	1.0
VT2018	D10	Decidua	pbNK_CD56dim	1808	2	2	1.0
VT2018	D10	Placenta	Endothelial	1808	37	37	1.0
VT2018	D10	Placenta	Epithelial	1808	9	9	1.0
VT2018	D10	Placenta	Granulocyte	1808	5	5	1.0
VT2018	D10	Placenta	Hofbauer	1808	626	626	1.0
VT2018	D10	Placenta	Myeloid	1808	197	197	1.0
VT2018	D10	Placenta	Plasma	1808	1	1	1.0
VT2018	D10	Placenta	Stromal	1808	496	496	1.0
VT2018	D10	Placenta	Trophoblast	1808	6099	6099	1.0
VT2018	D10	Placenta	cDC1	1808	1	1	1.0
VT2018	D10	Placenta	dNK1	1808	1	1	1.0
VT2018	D10	Placenta	dNK2	1808	1	1	1.0
VT2018	D11	Placenta	Endothelial	1808	2	2	1.0
VT2018	D11	Placenta	Granulocyte	1808	3	3	1.0
VT2018	D11	Placenta	Hofbauer	1808	137	137	1.0
VT2018	D11	Placenta	Myeloid	1808	56	56	1.0
VT2018	D11	Placenta	Stromal	1808	177	177	1.0
VT2018	D11	Placenta	Trophoblast	1808	2127	2127	1.0
VT2018	D12	Decidua	Endothelial	1808	51	50	0.9803921568627451
VT2018	D12	Decidua	Epithelial	1808	18	16	0.8888888888888888
VT2018	D12	Decidua	Granulocyte	1808	8	6	0.75
VT2018	D12	Decidua	ILC3	1808	46	22	0.4782608695652174
VT2018	D12	Decidua	Myeloid	1808	620	359	0.5790322580645161
VT2018	D12	Decidua	Perivascular	1808	20	20	1.0
