dataset_id	donor_id	compartment	subset	gene	n_cells	n_detected	detection_rate	mean_cpm	depth_floor	cells_retained_frac	qc_flag
VT2018	D10	Decidua	Endothelial	CCL2	24	1	0.041666666666666664	23.381967826412275	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL3	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL4	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL5	24	1	0.041666666666666664	23.381967826412275	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL20	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	XCL1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	XCL2	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCL8	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCL10	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCL12	24	1	0.041666666666666664	23.381967826412275	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCL16	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL3L1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCL4L2	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	PPBP	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCR1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCR2	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCR5	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CCR9	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCR3	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCR4	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CXCR6	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CX3CR1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	S1PR1	24	2	0.08333333333333333	70.14590347923682	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	S1PR5	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	SELL	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ACKR2	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	XCR1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	KLRD1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	NKG7	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	GNLY	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	PRF1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	GZMB	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	NCR1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	IGKC	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	LYZ	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	C1QA	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	DCN	24	13	0.5416666666666666	444.2573887018331	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	COL1A1	24	3	0.125	116.90983913206138	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	IGFBP1	24	5	0.20833333333333334	140.29180695847364	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	HLA-G	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CSH1	24	3	0.125	70.14590347923682	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	HBB	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CD3E	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CD3D	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	TRBC2	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	TRAC	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ENTPD1	24	4	0.16666666666666666	93.5278713056491	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ITGAE	24	3	0.125	70.14590347923682	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ITGB2	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CD160	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	KLRB1	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ITGA1	24	4	0.16666666666666666	93.5278713056491	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	CD9	24	5	0.20833333333333334	280.5836139169473	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	EOMES	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	TBX21	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	MKI67	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	PTN	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	OGN	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	SPP1	24	3	0.125	491.02132435465774	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	VEGFA	24	2	0.08333333333333333	46.76393565282455	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	PGF	24	1	0.041666666666666664	23.381967826412275	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	IGF2	24	4	0.16666666666666666	93.5278713056491	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ITGAD	24	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ANGPT2	24	7	0.2916666666666667	327.3475495697718	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	ANG	24	1	0.041666666666666664	23.381967826412275	1782	1.0	below_min_cells
VT2018	D10	Decidua	Endothelial	IL10	24	1	0.041666666666666664	23.381967826412275	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL2	10	1	0.1	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL3	10	3	0.3	168.35016835016836	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL4	10	3	0.3	336.7003367003367	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL5	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL20	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	XCL1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	XCL2	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCL8	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCL10	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCL12	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCL16	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL3L1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCL4L2	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	PPBP	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCR2	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCR5	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CCR9	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCR3	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCR4	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CXCR6	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	CX3CR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	S1PR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	S1PR5	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	SELL	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	ACKR2	10	1	0.1	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	XCR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	KLRD1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	NKG7	10	2	0.2	112.23344556677891	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	GNLY	10	4	0.4	2693.6026936026938	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	PRF1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	GZMB	10	1	0.1	56.116722783389456	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	NCR1	10	0	0.0	0.0	1782	1.0	below_min_cells
VT2018	D10	Decidua	Epithelial	IGKC	10	0	0.0	0.0	1782	1.0	below_min_cells
