comparison	gene	effect_pp	z_vs_matched_null	n_donors	all_donors_same_sign	baseline_det_ref	n_nulls	null_rank
dNK1_vs_dNK2	SELL	5.4097753939984266	13.39166081456585	6	False	0.005336495701156241	371	1
dNK2_vs_dNK3	CXCR4	54.95725055093997	9.348848485469407	5	True	0.1914468425259792	371	1
dNK1_vs_dNK3	CXCR4	60.03280627138766	8.840964970614559	5	True	0.17551141417136082	371	1
dNK1_vs_dNK2	XCL1	40.69829921434882	7.5616021854910525	6	True	0.395493625852357	371	2
dNK2_vs_dNK3	S1PR5	0.7879119460451861	6.848255358360853	5	True	0.00019984012789768185	371	2
dNK1_vs_dNK2	XCL2	30.372413203441585	6.129447502866515	6	True	0.5704120960569227	371	1
dNK1_vs_dNK3	CCL5	54.036436858304285	6.076375612811006	5	True	0.391343018084791	371	2
dNK2_vs_dNK3	CCL5	35.45757719751333	5.807551536844747	5	True	0.4844124700239808	371	1
dNK2_vs_dNK3	CXCR6	2.121377754704386	5.125424300436724	5	True	0.0017985611510791368	371	2
dNK1_vs_dNK3	CCR9	0.8699983019344639	4.909255271735154	5	True	0.0002964719833975689	371	4
dNK2_vs_dNK3	CCR9	0.823111186066628	4.259958124101122	5	False	0.0003996802557953637	371	5
dNK1_vs_dNK2	CCL5	22.52267948419317	4.222044224455499	6	True	0.391343018084791	371	2
dNK1_vs_dNK3	S1PR5	0.827739984969894	4.088737375062076	5	False	0.0002964719833975689	371	4
dNK1_vs_dNK3	CXCR6	2.308842789779816	3.787453370320738	5	True	0.0023717758671805513	371	4
dNK1_vs_dNK3	XCL1	30.961438119228355	3.7724631302138056	5	True	0.395493625852357	371	3
dNK1_vs_dNK2	CCR1	3.5697582257732416	2.8963674804636947	6	False	0.04447079750963534	371	7
dNK1_vs_dNK3	XCL2	21.008118427344957	2.575888319854876	5	True	0.5704120960569227	371	13
dNK2_vs_dNK3	CCL3L1	9.841222680419843	2.3763088964594337	5	False	0.1376898481215028	371	14
dNK1_vs_dNK2	CCL20	-2.939296418970061	-2.0339013618709574	6	True	0.026386006522383636	371	7
dNK2_vs_dNK3	CCL3	9.952417855373492	1.7394683921811784	5	False	0.746203037569944	371	31
dNK1_vs_dNK2	CXCR3	6.392253187620736	1.693062084654029	6	True	0.13993477616365255	371	20
dNK1_vs_dNK2	CCR5	0.7473377721462066	1.6072176218216694	6	False	0.0038541357841683963	371	22
dNK1_vs_dNK2	CXCR6	-0.3339752158685133	-1.4050961313225163	6	False	0.0023717758671805513	371	53
dNK2_vs_dNK3	S1PR1	-0.53633980377928	-1.3696641906813136	5	False	0.0025979216626698643	371	43
dNK1_vs_dNK3	CCL3L1	9.954238349284322	1.3359720205066092	5	True	0.251704713904536	371	52
dNK1_vs_dNK3	SELL	1.6433642554386196	1.3271606758978227	5	False	0.005336495701156241	371	22
dNK2_vs_dNK3	CCL20	1.80798139848151	1.2545166126859004	5	False	0.020983213429256596	371	62
dNK1_vs_dNK3	CXCL10	-0.732055297469022	-1.185195874963263	5	False	0.007708271568336793	371	57
dNK2_vs_dNK3	CXCL12	0.14975134348128	1.1458568563244926	5	False	0.0003996802557953637	371	68
dNK2_vs_dNK3	CCR1	-2.7828058614379216	-1.0785525331205639	5	False	0.08293365307753797	371	53
dNK1_vs_dNK2	CCL1	0.1465475314819933	1.0002021510855361	6	False	0.0002964719833975689	371	82
dNK1_vs_dNK2	CXCR4	5.277568627623351	0.9833888701493423	6	False	0.17551141417136082	371	55
dNK1_vs_dNK3	CCL3	7.794275718129344	0.9344663568156008	5	True	0.8105544026089535	371	90
dNK2_vs_dNK3	XCL1	-5.606951692969398	-0.901305704372926	5	False	0.9484412470023981	371	85
dNK1_vs_dNK3	S1PR1	-0.568392191483034	-0.87620748352892	5	False	0.003261191817373258	371	40
dNK1_vs_dNK3	CCR5	0.7596142214193701	0.8679175127755375	5	False	0.0038541357841683963	371	74
dNK2_vs_dNK3	SELL	-3.5885236976744537	-0.8562215028875341	5	False	0.1254996003197442	371	73
dNK2_vs_dNK3	CXCR3	-4.964494552183234	-0.8557168186948491	5	True	0.2202238209432454	371	76
dNK2_vs_dNK3	XCL2	-5.721315628920198	-0.8170185372687048	5	True	0.9594324540367706	371	96
dNK2_vs_dNK3	CXCL8	3.7442596045141023	0.7353271930946363	5	False	0.15787370103916867	371	110
dNK1_vs_dNK2	CCL4L2	3.6348740836787514	0.7184109833861392	6	False	0.3978654017195375	371	99
dNK2_vs_dNK3	CCR2	-0.283247860787852	-0.674598050156311	5	False	0.002398081534772182	371	130
dNK1_vs_dNK3	CCR1	1.5750123930008535	0.6648276657946648	5	False	0.04447079750963534	371	176
dNK2_vs_dNK3	CCL2	-0.8330243729907115	-0.575582192023258	5	False	0.02897681854516387	371	132
dNK1_vs_dNK3	CCL4L2	3.947192095056329	0.5571249681828248	5	False	0.3978654017195375	371	183
dNK1_vs_dNK3	CCL20	-1.0452511917304563	-0.5553289093971459	5	False	0.026386006522383636	371	99
dNK1_vs_dNK2	CCL4	3.4446284857083875	0.4963844142593363	6	False	0.9146160687815001	371	153
dNK1_vs_dNK3	CCL4	3.495452109413269	0.48594381857162067	5	False	0.9146160687815001	371	187
dNK1_vs_dNK2	CXCL10	-0.1062970609904698	-0.42367780202780886	6	False	0.007708271568336793	371	208
dNK2_vs_dNK3	CXCL16	-0.229762956962216	-0.3962139730956521	5	False	0.014588329336530776	371	227
dNK1_vs_dNK2	CCL3	-2.4179515494480923	-0.38918860295546204	6	False	0.8105544026089535	371	177
dNK2_vs_dNK3	CXCL10	-0.111214896536132	-0.3604739171294594	5	False	0.0031974420463629096	371	246
dNK1_vs_dNK2	CX3CR1	-0.0625319924771567	-0.35334725081496826	6	False	0.006818855618144086	371	246
dNK1_vs_dNK3	CXCR3	2.087867448042706	0.31092377663956877	5	False	0.13993477616365255	371	231
dNK1_vs_dNK2	CCR9	0.03907259655653	0.3098073721034226	6	False	0.0002964719833975689	371	185
dNK2_vs_dNK3	ACKR2	-0.090585280891368	-0.2943835996641174	5	False	0.0035971223021582736	371	239
dNK1_vs_dNK2	ACKR2	0.2299277849686999	0.2893882181689533	6	False	0.0029647198339756895	371	246
dNK1_vs_dNK3	CXCL16	-0.086382700097436	-0.28654709306287396	5	False	0.02520011858879336	371	265
dNK1_vs_dNK2	CXCL8	1.1185791010975692	0.2659052150337137	6	False	0.22294693151497183	371	255
dNK1_vs_dNK3	ACKR2	0.0278477461104439	-0.21377730591934602	5	False	0.0029647198339756895	371	289
dNK1_vs_dNK3	CXCL8	1.855892182153556	0.21247155174581223	5	False	0.22294693151497183	371	251
dNK1_vs_dNK2	S1PR5	0.0331900324372566	0.20745457931126043	6	False	0.0002964719833975689	371	207
dNK1_vs_dNK3	CCL2	-0.0915749417559916	-0.1754897719127089	5	False	0.05721909279573081	371	304
dNK1_vs_dNK2	CCL3L1	0.9568476258601252	0.17472190122734402	6	False	0.251704713904536	371	285
dNK1_vs_dNK3	CX3CR1	0.00919663352863	-0.17102593972265773	5	False	0.006818855618144086	371	291
dNK1_vs_dNK2	CCL2	0.3804961100956301	0.1411947563428424	6	False	0.05721909279573081	371	325
dNK2_vs_dNK3	CCL4	0.7491142304075747	0.13748493763706932	5	False	0.9596322941646682	371	296
dNK2_vs_dNK3	CCL1	-0.018376722817764	-0.13680093122316608	5	False	0.0005995203836930455	371	271
dNK1_vs_dNK3	CCL1	0.0	-0.13370170875520704	5	False	0.0002964719833975689	371	314
dNK2_vs_dNK3	CCL4L2	-0.3150736650154201	-0.12494667922251072	5	False	0.2819744204636291	371	329
dNK1_vs_dNK2	S1PR1	0.1045232727140616	0.10902145029197498	6	False	0.003261191817373258	371	339
dNK1_vs_dNK3	CXCL12	0.227112426705532	0.10808037607066998	5	False	0.0017788319003854136	371	320
dNK1_vs_dNK2	CXCL16	0.0229882563575184	-0.09646437427155138	6	False	0.02520011858879336	371	332
dNK2_vs_dNK3	CX3CR1	0.084235024501218	0.09577617437264634	5	False	0.0015987210231814548	371	342
dNK2_vs_dNK3	CCR5	0.17776952476518	0.07387425563432959	5	True	0.006794564348521183	371	344
dNK1_vs_dNK2	CXCL12	0.0644675693535433	-0.02211187186048841	6	False	0.0017788319003854136	371	363
