dataset_id	donor_id	compartment	subset	depth_floor	n_cells_pre_downsample	n_cells_post_downsample	cells_retained_frac
VT2018	D10	Decidua	Endothelial	1782	24	24	1.0
VT2018	D10	Decidua	Epithelial	1782	10	10	1.0
VT2018	D10	Decidua	Hofbauer	1782	1	1	1.0
VT2018	D10	Decidua	ILC3	1782	7	7	1.0
VT2018	D10	Decidua	Myeloid	1782	633	633	1.0
VT2018	D10	Decidua	Perivascular	1782	68	68	1.0
VT2018	D10	Decidua	Plasma	1782	1	1	1.0
VT2018	D10	Decidua	Stromal	1782	972	972	1.0
VT2018	D10	Decidua	T	1782	17	17	1.0
VT2018	D10	Decidua	Trophoblast	1782	166	166	1.0
VT2018	D10	Decidua	cDC1	1782	35	35	1.0
VT2018	D10	Decidua	dNK1	1782	399	399	1.0
VT2018	D10	Decidua	dNK2	1782	314	314	1.0
VT2018	D10	Decidua	dNK3	1782	37	37	1.0
VT2018	D10	Decidua	dNKp	1782	83	83	1.0
VT2018	D10	Decidua	pbNK_CD56dim	1782	2	2	1.0
VT2018	D10	Placenta	Endothelial	1782	37	37	1.0
VT2018	D10	Placenta	Epithelial	1782	9	9	1.0
VT2018	D10	Placenta	Granulocyte	1782	5	5	1.0
VT2018	D10	Placenta	Hofbauer	1782	626	626	1.0
VT2018	D10	Placenta	Myeloid	1782	197	197	1.0
VT2018	D10	Placenta	Plasma	1782	1	1	1.0
VT2018	D10	Placenta	Stromal	1782	496	496	1.0
VT2018	D10	Placenta	Trophoblast	1782	6099	6099	1.0
VT2018	D10	Placenta	cDC1	1782	1	1	1.0
VT2018	D10	Placenta	dNK1	1782	1	1	1.0
VT2018	D10	Placenta	dNK2	1782	1	1	1.0
VT2018	D11	Placenta	Endothelial	1782	2	2	1.0
VT2018	D11	Placenta	Granulocyte	1782	3	3	1.0
VT2018	D11	Placenta	Hofbauer	1782	137	137	1.0
VT2018	D11	Placenta	Myeloid	1782	56	56	1.0
VT2018	D11	Placenta	Stromal	1782	177	177	1.0
VT2018	D11	Placenta	Trophoblast	1782	2127	2127	1.0
VT2018	D12	Decidua	Endothelial	1782	51	50	0.9803921568627451
VT2018	D12	Decidua	Epithelial	1782	18	16	0.8888888888888888
VT2018	D12	Decidua	Granulocyte	1782	8	6	0.75
