dataset_id	compartment	gene	category	soup_fraction	nk_myeloid_cpm_ratio	scale_a_verdict	scale_b_verdict	combined_verdict
VT2018	Blood	CCL2	ligand		0.0	unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	CCL3	ligand	0.025072065881029493	4.962893676970415	above_ambient	above_pickup_band	positive
VT2018	Blood	CCL4	ligand	0.024582161377158383	34.11900270487617	above_ambient	above_pickup_band	positive
VT2018	Blood	CCL5	ligand	0.04851323154979966	30.747922365518473	above_ambient	above_pickup_band	positive
VT2018	Blood	CCL20	ligand			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	XCL1	ligand	0.019374901341752168	93.48620590944354	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	XCL2	ligand	0.020347721817099977	93.93078475532398	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	CXCL8	ligand	0.9517495395948434	0.0327359104868085	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	CXCL10	ligand		0.0	unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	CXCL12	ligand			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	CXCL16	ligand	0.6299675523984916	0.05449868505931686	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	CCL1	ligand		0.0	unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	CCL3L1	ligand	0.047961954704159024	6.953107387398127	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	CCL4L2	ligand	0.023862407287821644	25.329841474832392	above_ambient	unmeasurable	unmeasurable
VT2018	Blood	PPBP	ligand	0.23524297200351638	1.030039229968649	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	CCR1	receptor	0.295722178374112	0.11175362545496698	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	CCR2	receptor	0.7534683855125842	0.07402968589783346	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	CCR5	receptor	0.42488818731912653	0.27007126151617017	indistinguishable_from_ambient	unmeasurable	unmeasurable
VT2018	Blood	CCR9	receptor			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	CXCR3	receptor	0.12654095717385472	6.819299353283298	indistinguishable_from_ambient	within_pickup_band	indistinguishable_from_ambient
VT2018	Blood	CXCR4	receptor	0.14823348365514977	1.7048248383208242	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Blood	CXCR6	receptor	0.3016706129965798	4.321140184258724	indistinguishable_from_ambient	unmeasurable	unmeasurable
VT2018	Blood	CX3CR1	receptor	0.03364655104986596	2.5422962568165275	above_ambient	above_pickup_band	positive
VT2018	Blood	S1PR1	receptor	0.09891090775068676	7.820324355207362	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Blood	S1PR5	receptor	0.025647796034536367	51.988717841862766	above_ambient	above_pickup_band	positive
VT2018	Blood	SELL	receptor	0.1344183097962942	1.2792097814193226	indistinguishable_from_ambient	above_pickup_band	weak
VT2018	Blood	ACKR2	receptor		0.0	unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	XCR1	receptor			unmeasurable	unmeasurable	unmeasurable
VT2018	Blood	KLRD1	control_nk	0.02457799355486978	59.850139997735624	above_ambient	above_pickup_band	positive
VT2018	Blood	NKG7	control_nk	0.027709400965763256	39.12439187743759	above_ambient	above_pickup_band	positive
VT2018	Blood	GNLY	control_nk	0.022623251926517044	48.085966743067615	above_ambient	above_pickup_band	positive
VT2018	Blood	PRF1	control_nk	0.023548836967210735	65.13813086719252	above_ambient	above_pickup_band	positive
