donor	compartment	subset	n_cells	meets_min_cells_pre_qc
D10	Decidua	Endothelial	24	False
D10	Decidua	Epithelial	10	False
D10	Decidua	Hofbauer	1	False
D10	Decidua	ILC3	7	False
D10	Decidua	Myeloid	642	True
D10	Decidua	Perivascular	68	True
D10	Decidua	Plasma	1	False
D10	Decidua	Stromal	972	True
D10	Decidua	T	82	True
D10	Decidua	Trophoblast	166	True
D10	Decidua	cDC1	35	True
D10	Decidua	dNK1	482	True
D10	Decidua	dNK2	326	True
D10	Decidua	dNK3	37	True
D10	Decidua	dNKp	102	True
D10	Decidua	pbNK_CD56dim	2	False
D10	Placenta	Endothelial	37	True
D10	Placenta	Epithelial	9	False
D10	Placenta	Granulocyte	5	False
D10	Placenta	Hofbauer	626	True
D10	Placenta	Myeloid	197	True
D10	Placenta	Plasma	1	False
D10	Placenta	Stromal	496	True
D10	Placenta	Trophoblast	6099	True
D10	Placenta	cDC1	1	False
D10	Placenta	dNK1	1	False
D10	Placenta	dNK2	1	False
D11	Placenta	Endothelial	2	False
D11	Placenta	Granulocyte	3	False
D11	Placenta	Hofbauer	137	True
D11	Placenta	Myeloid	56	True
D11	Placenta	Stromal	177	True
D11	Placenta	Trophoblast	2127	True
D12	Decidua	Endothelial	51	True
D12	Decidua	Epithelial	18	False
D12	Decidua	Granulocyte	8	False
D12	Decidua	ILC3	46	True
D12	Decidua	Myeloid	620	True
D12	Decidua	Perivascular	20	False
D12	Decidua	Plasma	52	True
D12	Decidua	Stromal	1736	True
D12	Decidua	T	232	True
D12	Decidua	Trophoblast	12	False
D12	Decidua	cDC1	50	True
D12	Decidua	dNK1	141	True
D12	Decidua	dNK2	386	True
D12	Decidua	dNK3	29	False
D12	Decidua	dNKp	73	True
D12	Decidua	pbNK_CD56bright	2	False
D12	Decidua	pbNK_CD56dim	1	False
D12	Placenta	Endothelial	86	True
D12	Placenta	Epithelial	34	True
D12	Placenta	Granulocyte	2	False
D12	Placenta	Hofbauer	219	True
D12	Placenta	Myeloid	190	True
D12	Placenta	Plasma	2	False
D12	Placenta	Stromal	502	True
D12	Placenta	Trophoblast	1212	True
D6	Blood	Granulocyte	17	False
D6	Blood	ILC3	1	False
D6	Blood	Myeloid	473	True
D6	Blood	Plasma	51	True
D6	Blood	T	1053	True
D6	Blood	cDC1	3	False
D6	Blood	dNK2	1	False
D6	Blood	pbNK_CD56bright	20	False
D6	Blood	pbNK_CD56dim	569	True
D6	Decidua	Endothelial	430	True
D6	Decidua	Epithelial	72	True
D6	Decidua	Granulocyte	48	True
D6	Decidua	Hofbauer	1	False
D6	Decidua	ILC3	40	True
D6	Decidua	Myeloid	587	True
D6	Decidua	Perivascular	706	True
D6	Decidua	Plasma	4	False
D6	Decidua	Stromal	323	True
D6	Decidua	T	540	True
D6	Decidua	Trophoblast	28	False
D6	Decidua	cDC1	34	True
D6	Decidua	dNK1	1388	True
D6	Decidua	dNK2	634	True
D6	Decidua	dNK3	1227	True
D6	Decidua	dNKp	49	True
D6	Decidua	pbNK_CD56dim	41	True
D7	Blood	Granulocyte	5	False
D7	Blood	Myeloid	35	True
D7	Blood	Plasma	6	False
D7	Blood	T	115	True
D7	Blood	pbNK_CD56bright	3	False
D7	Blood	pbNK_CD56dim	107	True
D7	Decidua	Endothelial	336	True
D7	Decidua	Epithelial	95	True
D7	Decidua	Granulocyte	2	False
D7	Decidua	ILC3	17	False
D7	Decidua	Myeloid	118	True
D7	Decidua	Perivascular	140	True
D7	Decidua	Plasma	1	False
D7	Decidua	Stromal	5401	True
D7	Decidua	T	71	True
D7	Decidua	Trophoblast	26	False
D7	Decidua	cDC1	30	True
D7	Decidua	dNK1	108	True
D7	Decidua	dNK2	99	True
D7	Decidua	dNK3	75	True
D7	Decidua	dNKp	24	False
D7	Decidua	pbNK_CD56dim	6	False
D8	Blood	Granulocyte	30	True
D8	Blood	Myeloid	182	True
D8	Blood	Plasma	49	True
D8	Blood	T	3843	True
D8	Blood	cDC1	1	False
D8	Blood	dNKp	1	False
D8	Blood	pbNK_CD56bright	72	True
D8	Blood	pbNK_CD56dim	360	True
D8	Decidua	Endothelial	33	True
D8	Decidua	Epithelial	19	False
D8	Decidua	Granulocyte	11	False
D8	Decidua	ILC3	20	False
D8	Decidua	Myeloid	2271	True
D8	Decidua	Perivascular	84	True
D8	Decidua	Plasma	16	False
D8	Decidua	Stromal	3039	True
D8	Decidua	T	256	True
D8	Decidua	Trophoblast	8	False
D8	Decidua	cDC1	117	True
D8	Decidua	dNK1	1518	True
D8	Decidua	dNK2	554	True
D8	Decidua	dNK3	173	True
D8	Decidua	dNKp	263	True
D8	Decidua	pbNK_CD56bright	1	False
D8	Decidua	pbNK_CD56dim	14	False
D8	Placenta	Endothelial	14	False
D8	Placenta	Granulocyte	2	False
D8	Placenta	Hofbauer	170	True
D8	Placenta	Myeloid	253	True
D8	Placenta	Plasma	1	False
D8	Placenta	Stromal	990	True
D8	Placenta	T	2	False
D8	Placenta	Trophoblast	3221	True
D8	Placenta	dNKp	1	False
D8	Placenta	pbNK_CD56dim	2	False
D9	Blood	Granulocyte	58	True
D9	Blood	Myeloid	478	True
D9	Blood	Plasma	94	True
D9	Blood	Stromal	1	False
D9	Blood	T	1912	True
D9	Blood	cDC1	9	False
D9	Blood	dNK2	1	False
D9	Blood	dNKp	1	False
D9	Blood	pbNK_CD56bright	125	True
D9	Blood	pbNK_CD56dim	325	True
D9	Decidua	Endothelial	266	True
D9	Decidua	Epithelial	136	True
D9	Decidua	Granulocyte	27	False
D9	Decidua	ILC3	54	True
D9	Decidua	Myeloid	1137	True
D9	Decidua	Perivascular	820	True
D9	Decidua	Plasma	60	True
D9	Decidua	Stromal	1112	True
D9	Decidua	T	666	True
D9	Decidua	Trophoblast	66	True
D9	Decidua	cDC1	44	True
D9	Decidua	dNK1	161	True
D9	Decidua	dNK2	3409	True
D9	Decidua	dNK3	446	True
D9	Decidua	dNKp	216	True
D9	Decidua	pbNK_CD56bright	7	False
D9	Decidua	pbNK_CD56dim	27	False
D9	Placenta	Endothelial	8	False
D9	Placenta	Epithelial	1	False
D9	Placenta	Granulocyte	27	False
D9	Placenta	Hofbauer	148	True
D9	Placenta	ILC3	1	False
D9	Placenta	Myeloid	234	True
D9	Placenta	Plasma	2	False
D9	Placenta	Stromal	123	True
D9	Placenta	T	2	False
D9	Placenta	Trophoblast	1118	True
D9	Placenta	dNK1	4	False
D9	Placenta	dNK2	1	False
