stage	url	error
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12764402/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13052507/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11091122/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12904103/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8986362/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7784966/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7173897/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8195045/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10042490/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8240394/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8541908/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC2820940/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC191081/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9475211/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9857222/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6294653/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12323703/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10267241/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10932853/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12021538/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11796548/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11796549/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11387876/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11421770/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9940627/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8135089/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10828900/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8640833/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7958996/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6940198/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12553136/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10442191/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11065624/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11324402/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7382903/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9992112/fullTextXML	HTTPError: HTTP Error 404: Not Found
fulltext	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10527005/fullTextXML	HTTPError: HTTP Error 404: Not Found
