# Excluded records with reason (spec v1.0 section 2)
# run date: 2026-08-24
stage	pmid	doi	year	title	reason	basis
1_no_modality_term	42193922	10.3390/cells15100913	2026	Natural Killer (NK) Cells in Tumor Immunity: Limitations and Therapeutic Potential with a Focus on Nasopharyngeal Carcinoma and Comparison with T-Cell-Based The	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41781709	10.1038/s41590-026-02436-3	2026	HLA class I signal peptide variation predicts strength of NKG2A&lt;sup&gt;+&lt;/sup&gt; NK cell response to missing-self and risk of human disease.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41595667	10.3390/biomedicines14010131	2026	Emerging Oncogenic and Immunoregulatory Roles of BST2 in Human Cancers.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	42422533	10.3389/pore.2026.1612318	2026	Pediatric extranasal, EBV-negative, extranodal natural killer/T-cell lymphoma; case report.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	10.64898/2026.06.24.26356444	2026	Early Innate Immune Signatures Imprint Clinical Outcomes of Bordetella pertussis Challenge in a Controlled Human Infection Model	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41260224	10.1016/j.medj.2025.100925	2026	Epstein-Barr-virus-specific functional antibody signatures in the context of nasopharyngeal carcinoma development.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	40458686	10.1016/j.omton.2025.200986	2025	Epstein-Barr virus mRNA vaccine synergizes with NK cells to enhance nasopharyngeal carcinoma eradication in humanized mice.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41793601	10.1007/s12672-026-04749-z	2026	Development and validation of a nomogram for predicting progression from multidrug-resistant bacterial colonization to infection in lymphoma patients.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41904509	10.1186/s12964-026-02848-6	2026	Chemotherapy-induced senescent nasopharyngeal carcinoma cells suppress NK cell-mediated antitumor immunity by upregulating EBI3 via mtDNA-cGAS-STING pathway.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	40001231	10.1186/s12985-025-02672-3	2025	Development of attenuated Orf virus as a safe oncolytic viral vector for nasopharyngeal carcinoma treatment.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41249517	10.1007/s10238-025-01930-6	2025	Radiotherapy alone versus combined therapy in stage I natural killer/T-cell lymphoma: impact of local invasion on treatment outcomes.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38610990	10.3390/cancers16071312	2024	The Role of Natural Killer Cells in the Tumor Immune Microenvironment of EBV-Associated Nasopharyngeal Carcinoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	36996321	10.1158/2326-6066.cir-22-0374	2023	EBV-Upregulated B7-H3 Inhibits NK cell-Mediated Antitumor Function and Contributes to Nasopharyngeal Carcinoma Progression.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41909751	10.1016/j.apsb.2025.10.007	2026	A triple combination strategy for nasopharyngeal carcinoma: Aptamer-guided liposomal chemotherapy, engineered NK cells, and Fc-enhanced PD-L1 antibody therapy.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	40024914	10.1007/s00262-024-03885-1	2025	Association of lymphocyte subsets percentage with prognosis for recurrent or metastatic nasopharyngeal carcinoma patients receiving PD-L1 inhibitors.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	39935543	10.14740/jmc5092	2025	Partial Oculomotor Nerve Palsy as the First Presentation of Extranodal Natural Killer/T-Cell Lymphoma.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	41354730	10.1038/s41467-025-67017-8	2025	Pre-existing and early cellular immune factors correlate with functionally complete protection against primary controlled human SARS-CoV-2 infection.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	38697104	10.1016/j.xcrm.2024.101551	2024	Artificial intelligence for diagnosis and prognosis prediction of natural killer/T cell lymphoma using magnetic resonance imaging.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	35064016	10.1158/0008-5472.can-21-2292	2022	EBV Infection in Epithelial Malignancies Induces Resistance to Antitumor Natural Killer Cells via F3-Mediated Platelet Aggregation.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	NOT_FOUND	NOT_FOUND	2023	Analysis of NK-92 cytotoxicity in nasopharyngeal carcinoma cell lines and patient-derived xenografts using impedance-based growth method	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
1_no_modality_term	40816546	10.1016/j.bbcan.2025.189421	2025	From infection to immune exhaustion: The Epstein-Barr virus and its contribution to Immunosenescence.	no_single_cell_modality_term_in_title_or_abstract	no single-cell/CyTOF/CITE-seq/spatial term in retrieved title or abstract
