# NPC single-cell occupancy audit -- included records
# run date: 2026-08-24 | source: Europe PMC REST + NCBI E-utilities
# NOT_FOUND = not stated in the retrieved text; never an assertion of absence
pmid	doi	year	journal	first_author	last_author	corresponding_affiliation	modality	tissue_primary	tissue_LN_met	tissue_distant_met	tissue_normal_NP	tissue_blood	n_patients	n_samples	n_cells	treatment_status	longitudinal	M_stage	NK_depth	NK_claim	EBV_DNA_link	accession	accession_includes_blood	source_field	source_snippet	note
41986499	10.1038/s43018-026-01149-8	2026	Nat Cancer	Li Y	He F	State Key Laboratory of Oncology in South China, Collaborative Innovation Center for Cancer Medicine, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Guangzhou, P. R. China.	scRNA	Y	N	N	N	N	240	NOT_FOUND	NOT_FOUND	mixed	N	unstated	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	we performed multi-omics profiling, including proteomics, phosphoproteomics, genomics and transcriptomics, on 240 patients with NPC who were receiving GP-IC or concurrent chemoradiotherapy (CCRT) alon	240 is the multi-omics cohort; how many of those had scRNA-seq is not stated in the abstract
41992060	10.1038/s41416-026-03397-y	2026	Br J Cancer	Zhuo G	Pan Y	Department of Laboratory Medicine, Zhongnan Hospital of Wuhan University, Wuhan University, Wuhan, China.	scRNA	Y	N	N	N	Y	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	unstated	NK_is_theme	Higher levels of CD16+CD57+ NK cells in blood correlated with better patient outcomes	none	NOT_FOUND	UNKNOWN	abstract_only	This study investigates changes in NK cell subsets in the blood of NPC patients ... Dimensionality reduction and clustering analyses were conducted on paired single-cell RNA sequencing data to explore	NK trap check: 'NK' here is unambiguously natural killer cells (CD16+CD57+ subsets, cytotoxicity assays), not non-keratinizing
42230534	10.1038/s41419-026-08940-6	2026	Cell Death Dis	Cai J	Zhao L	Department of Pathology, The Second Xiangya Hospital, Central South University, Changsha, China.	scRNA	Y	N	Y (site: not specified - metastatic vs non-metastatic NPC compared)	N	N	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	M1_included	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	single-cell RNA sequencing combined with multiplex immunofluorescence revealed that B cells were highly enriched in non-metastatic NPC and formed complete tertiary lymphoid structures (TLS), whereas T	metastatic site not named in the abstract; full text not retrievable
42245668	10.3389/fimmu.2026.1799551	2026	Front Immunol	Wang L	Pan Y	Department of Laboratory Medicine, Zhongnan Hospital of Wuhan University, Wuhan University, Wuhan, China.	scRNA;spatial	Y	N	N	Y	N	20	20	89875	naive	N	unstated	subclustered	T and NK cell subsets resolved with distinct metabolic characteristics	categorical	HRA003609;OMIX013224	N	fullText	We collected 20 untreated samples (15 nasopharyngeal carcinoma (NPC) and 5 [chronic inflammation]) ... Of these, 9 samples underwent single-cell transcriptome sequencing, 8 samples were processed for 	9 of the 20 samples went to scRNA-seq; 10x Visium spatial is spot-level, not single-cell resolution
42456326	10.1016/j.compbiolchem.2026.109247	2026	Comput Biol Chem	Chen J	Sun P	Department of Otolaryngology, The First Affiliated Hospital of Soochow University, Suzhou 215006, China.	scRNA	Y	N	Y (site: liver)	N	N	NOT_FOUND	NOT_FOUND	NOT_FOUND	unstated	N	M1_included	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	the construction of a comprehensive single-cell transcriptomic atlas of primary NPC and NPCLM [NPC liver metastasis]	cohort size and data provenance not stated in the retrieved abstract; full text not retrievable
42625209	10.1186/s12967-026-08806-7	2026	J Transl Med	Chen X	Xie J	Department of Otolaryngology-Head and Neck Surgery, The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, 510120, China.	scRNA	Y	Y	N	Y	N	NOT_FOUND	NOT_FOUND	27330	unstated	N	unstated	NOT_FOUND	NOT_FOUND	none	GSE150825	N	abstract_only	Fresh normal nasopharyngeal tissue, primary NPC, and nodal metastases were profiled by scRNA-seq, yielding 27,330 cells.	GSE150825 is the public validation cohort re-analysed, not this study's own deposit; own accession not stated in the abstract
41619722	10.1016/j.xcrm.2025.102583	2026	Cell Rep Med	Wang S	Sun Y	Department of Musculoskeletal Surgery, Fudan University Shanghai Cancer Center, Shanghai 200032, China; Institute of Neuroscience, CAS Center for Excellence in Brain Science and Intelligence Technology, Key Laboratory of Genetic Evolution & Animal Models, Chinese Academy of Sciences, Shanghai 200031	scRNA;CyTOF	N	N	Y (site: bone/spine)	N	N	3	NOT_FOUND	NOT_FOUND	unstated	N	M1_included	cluster_only	T/NK cells were more abundant in NPC, COAD, HCC, RCC bone metastases	none	OEP005136	N	fullText	The samples were collected from 52 patients diagnosed with one of the 13 cancer types, including ... nasopharyngeal carcinoma (NPC) (n = 3)	pan-cancer bone metastasis atlas; NPC contributes 3 patients. 1,304,048 cells is the whole atlas, NPC-specific count not stated
NOT_FOUND	10.1101/2025.11.12.687945	2025	NOT_FOUND	Liu T	Liu S	NOT_FOUND	scRNA	N	N	N	N	Y	NOT_FOUND	NOT_FOUND	NOT_FOUND	post-CRT	Y (before and after 18 Gy RT; leukocyte counts at week 1-2, 3-4, 5-6)	M0_only	NOT_FOUND	NOT_FOUND	none	NOT_FOUND	UNKNOWN	abstract_only	Single-cell RNA sequencing (scRNA-seq) was performed on peripheral blood mononuclear cell (PBMC) samples from stage I NPC patients (T1N0M0) treated with RT alone. Blood samples were collected before a	preprint (bioRxiv/medRxiv), no PMID; T1N0M0 = M0 only. Number of patients with scRNA-seq not stated
40059116	10.1038/s41392-025-02163-5	2025	Signal Transduct Target Ther	Zhou YQ	Bei JX	State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Collaborative Innovation Center for Cancer Medicine, Sun Yat-sen University Cancer Center, Guangzhou, 510060, P.R. Ch	scRNA	Y	N	N	N	N	10	10	NOT_FOUND	unstated	N	unstated	absent	NOT_FOUND	categorical	HRA010229	N	fullText	Clinical sample collection Ten NPC samples for single-cell RNA sequencing (scRNA-seq) wer[e collected]	the retrieved text also says 'NPC scRNA-seq data was retrieved from a published study' for the EBV-high/low classification; both statements are recorded
40315843	10.1016/j.xcrm.2025.102096	2025	Cell Rep Med	Liu XF	Li J	Department of Biotherapy, Sun Yat-sen University Cancer Center, State Key Laboratory of Oncology in South China, Guangdong Key Laboratory of Nasopharyngeal Carcinoma Diagnosis and Therapy, Guangdong Provincial Clinical Research Center for Cancer, Collaborative Innovation Center for Cancer Medicine, 	scRNA;scTCR	Y	N	N	N	Y	22	NOT_FOUND	NOT_FOUND	mixed	N	M0_only	cluster_only	NK cell marker genes profiled across CD56- and CD56+ double-negative TIL clusters	none	HRA008590	UNKNOWN	fullText	The generated bulk RNA-seq, scRNA-seq, and scTCR-seq data in this study have been deposited to Genome Sequence Archive (GSA) ... HRA008590	47 TIL infusion products and 62 pretreatment TMEs analysed overall; 22 patients received TIL plus CCRT. PBMCs isolated from peripheral blood for analyses
