# Public-data re-analyses of NPC single-cell data (no new single-cell samples)
# run date: 2026-08-24
pmid	doi	year	journal	title	reason	source_snippet
NOT_FOUND	10.21203/rs.3.rs-9357391/v1	2026	NOT_FOUND	Single-Cell Atlas Identifies TUBB2B+ Epithelial Subpopulations as Hubs of Methionine Metabolism in Nasopharyngeal Carcinoma	public_scRNA_reuse	We integrated single-cell RNA sequencing (scRNA-seq) data from 15 NPC samples and one adjacent normal tissue
NOT_FOUND	10.21203/rs.3.rs-9896268/v1	2026	NOT_FOUND	Hypoxia-Induced Senescence Drives Immunosuppression in NPC via the MIF-CD74 Axis, an Actionable Therapeutic Target	public_scRNA_reuse	We analyzed single-cell RNA sequencing data from 15 primary NPC tumors using a Computational Senescence Prediction and Classification Framework
NOT_FOUND	10.64898/2026.07.02.736240	2026	NOT_FOUND	Foundation Model RNAGAN Enhances Biomedical Insight of Nasopharyngeal Carcinoma Metastasis	public_scRNA_reuse	RNAGAN ... is a published foundation model that analyzes single-cell and bulk-level RNA sequencing samples ... the model was never trained with any NPC data
41081462	10.4193/rhin25.274	2026	Rhinology	EBV genome-guided transcriptomic re-annotation reveals molecular subtypes of nasopharyngeal carcinoma informing prognosis and treatment.	public_scRNA_reuse	Scissor method was applied to identify survival-associated cell subpopulations from single-cell data
41399390	10.7150/ijms.116010	2026	Int J Med Sci	Tumor-Derived CXCL10 and CCL20 Polarize the Immune Microenvironment in Nasopharyngeal Carcinoma via Competitive Recruitment of Effector T Cells and Tregs.	public_scRNA_reuse	Two scRNA-seq datasets, GSE150825 and GSE150430, were downloaded from the GEO database.
41504259	10.1002/advs.202514982	2026	Adv Sci (Weinh)	CD20&lt;sup&gt;+&lt;/sup&gt;FCRL4&lt;sup&gt;+&lt;/sup&gt; B Cells Activate CD8&lt;sup&gt;+&lt;/sup&gt; T Cells via MHC-I Restriction in Nasopharyngeal Carcinoma	public_scRNA_reuse	We obtained two single-cell RNA sequencing datasets (GSE150825 and GSE162025) from GEO.
41522354	10.7150/ijbs.115523	2026	Int J Biol Sci	Co-targeting MRPS7-23 synergistically enhances cisplatin efficacy to suppress nasopharyngeal carcinoma growth and metastasis.	public_scRNA_reuse	we analyzed two independent single-cell RNA sequencing datasets (NPC-GSE150430 and NPC-GSE162025) obtained from the Tumor Immune Single-Cell Hub (TISCH
41705255	10.3389/fimmu.2026.1717039	2026	Front Immunol	METTL14 modulates the nasopharyngeal carcinoma microenvironment via m&lt;sup&gt;6&lt;/sup&gt;A-modified YWHAH identified through single-cell and machine learnin	public_scRNA_reuse	After performing quality control and filtering low-quality cells from the GSE162025 scRNA-seq data
41718918	10.1007/s12672-026-04657-2	2026	Discov Oncol	Elucidating EGCG' s targets in nasopharyngeal carcinoma through combined cell-based assays and transcriptomic sequencing.	public_scRNA_reuse	combined cell-based assays and transcriptomic sequencing ... scRNA-seq datasets GSE12452, GSE150430, GSE53819, GSE68799
41735356	10.1038/s41598-025-34808-4	2026	Sci Rep	The ubiquitin-proteasome system is an important driver of EBV-associated nasopharyngeal carcinoma progression: a meta-analysis of transcriptomic data.	public_scRNA_reuse	Single-cell RNA sequencing (scRNA-seq) datasets were obtained from the GEO database using the following accession numbers
