gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p,wit_mean
TIGIT,Q4,NK indistinguishable from no change; CD8T+CD4T+Myeloid moved concordantly,0.5,p95,p99,0.0834901546002288,0.1660688240676035,-0.2549625880643164,0.4219428972647739,-0.1979267162674596,0.3649070254679172,0.3623497840635878,0.3250458598501755,False,False,True,0.0087406743416232,1.1163793808582732,0.1364972678543091,0.8383696798812441,1.3943890818353022,0.8851847108399666,1.3475740508765797,0.4914206349387063,0.3970787897024047,False,True,False,0.9999598279361062,1.7718026594524638,0.1389179774176765,1.488542276357625,2.0550630425473027,1.5363054860520555,2.007299832852872,1.012425556947978,0.8251286396216105,False,True,False,0.9999999998801836,0.515486903252764,0.2265214714422849,0.0530156055763116,0.9779582009292164,0.1311138357255601,0.8998599707799679,0.6091364937142041,0.5434795725818414,False,False,False,0.5270286837461091,1.0430173118208652,0.2480219030822895,0.5364476443521986,1.5495869792895318,0.6220333249378454,1.464001298703885,0.7916353755250953,0.6668773974816344,False,True,False,0.981750434028263,1.1116715638460914
CD38,Q4,NK indistinguishable from no change; CD8T+CD4T+B moved concordantly,0.5,p95,p99,0.0119521335566971,0.1658150595772639,-0.3259834302319902,0.3498876973453845,-0.2690347131375218,0.2929389802509162,0.4006228064884446,0.3347337187246749,False,False,True,0.0030216326380919,1.4092731756673167,0.1864088827448335,1.029606398698072,1.7889399526365612,1.0935398220834749,1.7250065292511587,0.7679989935717546,0.6391810047507243,False,True,False,0.99998591045095,1.0784564259654768,0.2280494228748066,0.613452773530677,1.5434600784002763,0.6918614331436357,1.4650514187873178,0.8763316312997136,0.7361155730625497,False,True,False,0.991791843277252,1.515176309207607,0.1987130573864547,1.1094792910413451,1.9208733273738687,1.177989962416629,1.8523626559985849,0.9157736869852628,0.8116033580040198,False,True,False,0.9999916022776604,0.169285105536119,0.2413041805588168,-0.3235640218408393,0.6621342329130775,-0.2402964464185344,0.5788666574907725,0.7193305514708823,0.6119083565263219,False,False,False,0.0903546498606467,1.0430477540941299
SEPT11,Q4,NK indistinguishable from no change; CD8T+CD4T+B+Myeloid moved concordantly,0.5,p95,p99,-0.1598366543555548,0.1288549588893886,-0.4224465360530819,0.1027732273419721,-0.3781916618654219,0.0585183531543122,0.2938374386540378,0.2526909694733891,False,False,True,0.0063883301263424,-0.8431475561450449,0.0872639926514559,-1.0208817839757969,-0.6654133283142931,-0.9909524924831634,-0.6953426198069264,0.4936501501495964,0.3471122854590485,False,True,False,0.9997889056957182,-1.0836779509193497,0.0943825270819456,-1.276128426197354,-0.8912274756413454,-1.2436775331142271,-0.9236783687244724,0.642451646544854,0.4989680761757252,False,True,False,0.9999996447871736,-0.6561310768300593,0.1751888253038598,-1.0138004971319323,-0.2984616565281862,-0.953400319122126,-0.3588618345379927,0.5721764412439792,0.4019347009447397,False,True,False,0.8100738765414692,-1.0659760361477764,0.1535012031273498,-1.3794929169470609,-0.7524591553484918,-1.3265237848780635,-0.8054282874174892,0.6210227159907546,0.5067969398968863,False,True,False,0.9995514720960428,-0.9122331550105576
MYADM,Q4,NK indistinguishable from no change; CD8T+CD4T+B+Myeloid moved concordantly,0.5,p95,p99,-0.0606862623681318,0.1585372877810754,-0.3837895309398436,0.2624170062035799,-0.3293403441543586,0.2079678194180949,0.3383048899043311,0.2904807071084592,False,False,True,0.004642765591115,-0.8392952987420219,0.1136077430985691,-1.0706849461979673,-0.6079056512860765,-1.0317204299558775,-0.6468701675281663,0.4552753217215578,0.3610603741658619,False,True,False,0.9973155577366588,-0.7451661273184073,0.1064004971796393,-0.9621218169478974,-0.5282104376889171,-0.925538868125493,-0.5647933865113215,0.4604280988049957,0.3680752879162768,False,True,False,0.9859812697410656,-1.1724343487772713,0.1326875056087183,-1.4433321251055096,-0.901536572449033,-1.3975852063477454,-0.947283491206797,0.5985093445214289,0.5445302680398271,False,True,False,0.9999905687302402,-0.8472391535379044,0.1764349128793345,-1.207596743075043,-0.4868815640007658,-1.1467138052772583,-0.5477645017985502,0.6299481834356431,0.5163097717030783,False,True,False,0.9708103594189228,-0.9010337320939013
S100A10,Q4,NK indistinguishable from no change; CD8T+CD4T+B+Myeloid moved concordantly,0.5,p95,p99,0.1585769040901139,0.1714022246993556,-0.1907454529146308,0.5078992610948587,-0.1318778396311838,0.4490316478114117,0.4089031814505437,0.3772979586625688,False,False,True,0.0275437832173238,-0.7686018173967297,0.0817477424989474,-0.9351008675604072,-0.6021027672330522,-0.9070635071351518,-0.6301401276583076,0.3069070638809764,0.2704263439469146,False,True,False,0.9987667572196076,-0.7078738402589266,0.077445487674354,-0.8657888841963051,-0.5499587963215482,-0.8391613365135749,-0.5765863440042783,0.3791292779885075,0.3395543677753866,False,True,False,0.9942301590159904,-1.2322550353009305,0.2352450967829342,-1.7125366814006275,-0.7519733892012329,-1.6314307906739869,-0.8330792799278737,0.865958096052081,0.667174279980939,False,True,False,0.9979846198346184,-0.5883713663438204,0.1098703317133149,-0.8127748432505353,-0.3639678894371055,-0.7748615501139409,-0.4018811825736998,0.4284051470641841,0.2908645511248487,False,True,False,0.7862249096497483,-0.8242755148251018
PDLIM1,Q4,NK indistinguishable from no change; CD4T+B+Myeloid moved concordantly,0.5,p95,p99,-0.1266267262012666,0.166159568252304,-0.465264407961787,0.2120109555592538,-0.4081973703292356,0.1549439179267024,0.3974738606850237,0.3289227672463876,False,False,True,0.0158806842330057,-0.3937881743889478,0.1929060157471949,-0.7866879341979838,-0.0008884145799117,-0.7205261623083962,-0.0670501864694994,0.492158620426522,0.4426174889031862,False,False,False,0.2928651179235638,-0.6923216416239661,0.1917940598785494,-1.0833988793321467,-0.3012444039157856,-1.017455651030007,-0.3671876322179253,0.654853415431429,0.5934343487295,False,True,False,0.8381494423873368,-0.6130541190305525,0.183086439273105,-0.9868474844827426,-0.2392607535783623,-0.9237244313764922,-0.3023838066846128,0.5785439542725768,0.437908067662077,False,True,False,0.7292323708177175,-1.5309720839763643,0.1989318786323229,-1.9372783591695608,-1.1246658087831682,-1.8686323242373968,-1.1933118437153325,0.9929231893567873,0.766992071722642,False,True,False,0.9999930067612408,-0.8075340047549577
S100A6,Q4,NK indistinguishable from no change; CD8T+CD4T+B+Myeloid moved concordantly,0.5,p95,p99,0.1040724537637221,0.1669354247375896,-0.2361464444402416,0.444291351967686,-0.1788129410741249,0.3869578486015692,0.4560546107257569,0.3642532016728007,False,False,True,0.0119882327744353,-0.6052953897521622,0.0794224926083761,-0.7670585060987278,-0.4435322734055966,-0.7398186462192713,-0.4707721332850532,0.27259129898247,0.2307802648730598,False,True,False,0.902858610498373,-0.6077950890054051,0.0744871592660624,-0.7596779601899835,-0.4559122178208268,-0.7340675541525379,-0.4815226238582724,0.3469248990900258,0.3076769147320806,False,True,False,0.921083719372496,-1.333609139956313,0.208434841195633,-1.7591543691788332,-0.9080639107337928,-1.6872919002694955,-0.9799263796431306,0.9159630812326792,0.6329831421321598,False,True,False,0.9998107201552738,-0.5897715350687345,0.1145515568220539,-0.8237361298332264,-0.3558069403042426,-0.7842074719569577,-0.3953355981805112,0.416864618217163,0.3184313600941681,False,True,False,0.7803076458600784,-0.7841177884456537
CXXC5,Q4,NK indistinguishable from no change; CD8T+B+Myeloid moved concordantly,0.5,p95,p99,0.0807626498316868,0.1699297462573069,-0.265558756392417,0.4270840560557908,-0.2071968616995354,0.3687221613629091,0.3634096901679996,0.3054320258854768,False,False,True,0.0096192085426804,0.6767947482544743,0.2030352318642694,0.2632643898400122,1.0903251066689363,0.3329002207606902,1.0206892757482584,0.5793627431320308,0.4998127603481103,False,True,False,0.804821960210043,0.6087191004081158,0.2331091365125973,0.1333984504901063,1.0840397503261254,0.2135467565330511,1.0038914442831806,0.8112308432127059,0.670391580150854,False,False,False,0.6779094724099961,0.7491024240980735,0.1295928921067393,0.4845226798440351,1.0136821683521118,0.5292026629335744,0.9690021852625724,0.4818638771380431,0.3587360569279135,False,True,False,0.9679746961055956,1.0794859338631702,0.1419283116741879,0.789605980698999,1.3693658870273413,0.8385816195359328,1.3203902481904075,0.6866336371267314,0.6021791359724891,False,True,False,0.999847642702678,0.7785255516559584
FCMR,Q4,NK indistinguishable from no change; CD4T+B+Myeloid moved concordantly,0.5,p95,p99,-0.0522832047183402,0.1479746901584704,-0.35385961444039,0.2492932050037096,-0.3030381221799136,0.1984717127432332,0.3663205054512093,0.2957313789205408,False,False,True,0.0024516864288159,0.3348337711355505,0.1244254454271928,0.0814112563781937,0.5882562858929072,0.12408596460711,0.5455815776639911,0.318851523661361,0.2781945767692588,False,False,False,0.0968683633543401,0.7731166581622423,0.1182479375601889,0.5320034724097145,1.01422984391477,0.5726598449153408,0.9735734714091436,0.5266501424636393,0.42647207070424,False,True,False,0.9861540930342796,0.7324003784412134,0.2072777165416562,0.3092175607679861,1.1555831961144407,0.3806810856524493,1.0841196712299774,0.7179699318272408,0.4941473335408088,False,True,False,0.8644852487970885,1.261791492130589,0.2013275161402302,0.8505922728841677,1.6729907113770104,0.9200649778160483,1.6035180064451298,0.8637485335789984,0.6097603150960222,False,True,False,0.9996546527044076,0.7755355749673989
ANKRD28,Q4,NK indistinguishable from no change; CD8T+CD4T+Myeloid moved concordantly,0.5,p95,p99,0.0750595242571701,0.1307350359653434,-0.1913820052306646,0.3415010537450049,-0.1464814238449533,0.2966004723592937,0.3055926148218282,0.2730032387591374,False,False,True,0.0013695292277243,-0.8985273357274864,0.1237653072424937,-1.150605319402158,-0.646449352052815,-1.1081570214892835,-0.6888976499656894,0.4779887823247606,0.4192432209856417,False,True,False,0.9985333896617196,-1.0919597720914371,0.1126182879373328,-1.321593833698172,-0.8623257104847021,-1.282873064779936,-0.9010464794029382,0.6199402251709716,0.5029718678215669,False,True,False,0.9999949319435376,-0.3272722117468776,0.1528936585353574,-0.6394233213928476,-0.0151211021009075,-0.5867098896080938,-0.0678345338856614,0.38125337563784,0.3423051037552634,False,False,False,0.1337384967770806,-0.763124489872686,0.1314583575673457,-1.0316201979181687,-0.4946287818272033,-0.9862574583324648,-0.5399915214129073,0.5541053179186078,0.4205104914276408,False,True,False,0.9727682202673372,-0.7702209523596217
