lineage,hours,colour,n_cells,gene,module,detection,band
NK,24,Green,97,Ccl3,regulatory,0.4536082474226804,MEASURABLE
NK,24,Green,97,Ccl4,regulatory,0.7628865979381443,MEASURABLE
NK,24,Green,97,Ccl5,regulatory,1.0,CEILING
NK,24,Green,97,Xcl1,regulatory,0.4536082474226804,MEASURABLE
NK,24,Green,97,Xcl2,regulatory,,ABSENT
NK,24,Green,97,Flt3l,regulatory,0.16494845360824742,MEASURABLE
NK,24,Green,97,Prf1,killing,0.865979381443299,CEILING
NK,24,Green,97,Gzma,killing,0.9690721649484536,CEILING
NK,24,Green,97,Gzmb,killing,0.9587628865979382,CEILING
NK,24,Green,97,Gzmk,killing,0.030927835051546393,FLOOR
NK,24,Green,97,Nkg7,killing,0.9896907216494846,CEILING
NK,24,Red,229,Ccl3,regulatory,0.1091703056768559,MEASURABLE
NK,24,Red,229,Ccl4,regulatory,0.314410480349345,MEASURABLE
NK,24,Red,229,Ccl5,regulatory,0.3799126637554585,MEASURABLE
NK,24,Red,229,Xcl1,regulatory,0.5327510917030568,MEASURABLE
NK,24,Red,229,Xcl2,regulatory,,ABSENT
NK,24,Red,229,Flt3l,regulatory,0.2838427947598253,MEASURABLE
NK,24,Red,229,Prf1,killing,0.9039301310043668,CEILING
NK,24,Red,229,Gzma,killing,0.925764192139738,CEILING
NK,24,Red,229,Gzmb,killing,0.9170305676855895,CEILING
NK,24,Red,229,Gzmk,killing,0.008733624454148471,FLOOR
NK,24,Red,229,Nkg7,killing,0.9606986899563319,CEILING
NK,72,Green,288,Ccl3,regulatory,0.3854166666666667,MEASURABLE
NK,72,Green,288,Ccl4,regulatory,0.6805555555555556,MEASURABLE
NK,72,Green,288,Ccl5,regulatory,0.8715277777777778,CEILING
NK,72,Green,288,Xcl1,regulatory,0.5069444444444444,MEASURABLE
NK,72,Green,288,Xcl2,regulatory,,ABSENT
NK,72,Green,288,Flt3l,regulatory,0.2534722222222222,MEASURABLE
NK,72,Green,288,Prf1,killing,0.90625,CEILING
NK,72,Green,288,Gzma,killing,0.9583333333333334,CEILING
NK,72,Green,288,Gzmb,killing,0.8993055555555556,CEILING
NK,72,Green,288,Gzmk,killing,0.027777777777777776,FLOOR
NK,72,Green,288,Nkg7,killing,0.9791666666666666,CEILING
NK,72,Red,421,Ccl3,regulatory,0.09263657957244656,MEASURABLE
NK,72,Red,421,Ccl4,regulatory,0.2327790973871734,MEASURABLE
NK,72,Red,421,Ccl5,regulatory,0.32779097387173395,MEASURABLE
NK,72,Red,421,Xcl1,regulatory,0.5961995249406176,MEASURABLE
NK,72,Red,421,Xcl2,regulatory,,ABSENT
NK,72,Red,421,Flt3l,regulatory,0.2209026128266033,MEASURABLE
NK,72,Red,421,Prf1,killing,0.8693586698337292,CEILING
NK,72,Red,421,Gzma,killing,0.7957244655581948,MEASURABLE
NK,72,Red,421,Gzmb,killing,0.8978622327790974,CEILING
NK,72,Red,421,Gzmk,killing,0.004750593824228029,FLOOR
NK,72,Red,421,Nkg7,killing,0.9809976247030879,CEILING
CD8T,24,Green,134,Ccl3,regulatory,0.12686567164179105,MEASURABLE
CD8T,24,Green,134,Ccl4,regulatory,0.35074626865671643,MEASURABLE
CD8T,24,Green,134,Ccl5,regulatory,0.6791044776119403,MEASURABLE
CD8T,24,Green,134,Xcl1,regulatory,0.05223880597014925,MEASURABLE
CD8T,24,Green,134,Xcl2,regulatory,,ABSENT
CD8T,24,Green,134,Flt3l,regulatory,0.13432835820895522,MEASURABLE
CD8T,24,Green,134,Prf1,killing,0.3656716417910448,MEASURABLE
