lineage,hours,dropped,delta,flips
CD8T,24,Ccl3,0.010948905109488982,False
CD8T,24,Ccl4,-0.013686131386861478,True
CD8T,24,Ccl5,0.1122262773722626,False
CD8T,24,Xcl1,0.01916058394160558,False
CD8T,24,Flt3l,-0.030109489051094895,True
CD8T,24,Prf1,0.19277708592777087,False
CD8T,24,Gzma,-0.12946987951807232,True
CD8T,24,Gzmk,0.03166394309333842,False
CD8T,72,Ccl3,-0.12199278267842839,False
CD8T,72,Ccl4,-0.1475541299117885,False
CD8T,72,Ccl5,0.08436915263298572,True
CD8T,72,Xcl1,-0.002205292702486039,False
CD8T,72,Flt3l,-0.06843090082865566,False
CD8T,72,Prf1,1.3900000000000006,True
CD8T,72,Gzma,-0.278291490951567,False
CD8T,72,Gzmk,-0.15753437759809297,False
