lineage,hours,gene,module,green,red,delta_pp,verdict,usable
NK,24,Ccl3,R1,0.4536082474226804,0.1091703056768559,-34.44379417458245,MEASURABLE,True
NK,24,Ccl4,R1,0.7628865979381443,0.314410480349345,-44.84761175887993,MEASURABLE,True
NK,24,Ccl5,R1,1.0,0.3799126637554585,-62.00873362445415,CEILING_DOWN_LOWERBOUND,True
NK,24,Xcl1,R2,0.4536082474226804,0.5327510917030568,7.914284428037638,MEASURABLE,True
NK,24,Prf1,K,0.865979381443299,0.9039301310043668,3.795074956106781,CEILING_UP_UNMEASURED,False
NK,24,Gzma,K,0.9690721649484536,0.925764192139738,-4.330797280871557,CEILING_DOWN_LOWERBOUND,True
NK,24,Gzmb,K,0.9587628865979382,0.9170305676855895,-4.173231891234863,CEILING_DOWN_LOWERBOUND,True
NK,24,Gzmk,K,0.030927835051546393,0.008733624454148471,-2.2194210597397923,FLOOR_UNMEASURED,False
NK,24,Nkg7,K,0.9896907216494846,0.9606986899563319,-2.8992031693152676,CEILING_DOWN_LOWERBOUND,True
NK,72,Ccl3,R1,0.3854166666666667,0.09263657957244656,-29.27800870942201,MEASURABLE,True
NK,72,Ccl4,R1,0.6805555555555556,0.2327790973871734,-44.777645816838216,MEASURABLE,True
NK,72,Ccl5,R1,0.8715277777777778,0.32779097387173395,-54.373680390604385,CEILING_DOWN_LOWERBOUND,True
NK,72,Xcl1,R2,0.5069444444444444,0.5961995249406176,8.925508049617314,MEASURABLE,True
NK,72,Prf1,K,0.90625,0.8693586698337292,-3.6891330166270775,CEILING_DOWN_LOWERBOUND,True
NK,72,Gzma,K,0.9583333333333334,0.7957244655581948,-16.26088677751386,CEILING_DOWN_LOWERBOUND,True
NK,72,Gzmb,K,0.8993055555555556,0.8978622327790974,-0.14433227764582002,CEILING_DOWN_LOWERBOUND,True
NK,72,Gzmk,K,0.027777777777777776,0.004750593824228029,-2.3027183953549746,FLOOR_UNMEASURED,False
NK,72,Nkg7,K,0.9791666666666666,0.9809976247030879,0.1830958036421304,CEILING_UP_UNMEASURED,False
CD8T,24,Ccl3,R1,0.12686567164179105,0.16595744680851063,3.909177516671958,MEASURABLE,True
CD8T,24,Ccl4,R1,0.35074626865671643,0.4595744680851064,10.882819942838996,MEASURABLE,True
CD8T,24,Ccl5,R1,0.6791044776119403,0.6382978723404256,-4.080660527151469,MEASURABLE,True
CD8T,24,Xcl1,R2,0.05223880597014925,0.06808510638297872,1.5846300412829473,MEASURABLE,True
CD8T,24,Prf1,K,0.3656716417910448,0.5446808510638298,17.900920927278502,MEASURABLE,True
CD8T,24,Gzma,K,0.40298507462686567,0.3148936170212766,-8.809145760558906,MEASURABLE,True
CD8T,24,Gzmb,K,0.6044776119402985,0.8978723404255319,29.33947284852334,CEILING_UP_UNMEASURED,False
CD8T,24,Gzmk,K,0.2537313432835821,0.30638297872340425,5.265163543982215,MEASURABLE,True
CD8T,24,Nkg7,K,0.753731343283582,0.8893617021276595,13.563035884407748,CEILING_UP_UNMEASURED,False
CD8T,72,Ccl3,R1,0.22633744855967078,0.29852744310575635,7.218999454608557,MEASURABLE,True
CD8T,72,Ccl4,R1,0.5102880658436214,0.607764390896921,9.747632505329962,MEASURABLE,True
CD8T,72,Ccl5,R1,0.7078189300411523,0.4779116465863454,-22.990728345480687,MEASURABLE,True
CD8T,72,Xcl1,R2,0.1522633744855967,0.06157965194109773,-9.068372254449898,MEASURABLE,True
CD8T,72,Prf1,K,0.4567901234567901,0.7791164658634538,32.23263424066637,MEASURABLE,True
CD8T,72,Gzma,K,0.36213991769547327,0.13520749665327977,-22.69324210421935,MEASURABLE,True
CD8T,72,Gzmb,K,0.6790123456790124,0.8554216867469879,17.640934106797555,CEILING_UP_UNMEASURED,False
CD8T,72,Gzmk,K,0.2551440329218107,0.12182061579651941,-13.332341712529129,MEASURABLE,True
CD8T,72,Nkg7,K,0.8477366255144033,0.9692101740294511,12.147354851504776,CEILING_UP_UNMEASURED,False
