batch,patient,condition,lineage,n_cells,mode
1,370,Normal,NK,311,single
1,370,Normal,CD8T,474,single
1,370,Normal,CD4T,528,single
1,370,Normal,B,400,single
1,370,Normal,Myeloid,896,single
1,370,Normal,unassigned,809,single
2,370,Tumor,NK,53,single
2,370,Tumor,CD8T,264,single
2,370,Tumor,CD4T,415,single
2,370,Tumor,B,203,single
2,370,Tumor,Myeloid,829,single
2,370,Tumor,unassigned,545,single
3,371,Normal,NK,746,single
3,371,Normal,CD8T,547,single
3,371,Normal,CD4T,687,single
3,371,Normal,B,337,single
3,371,Normal,Myeloid,1117,single
3,371,Normal,unassigned,425,single
4,371,Tumor,NK,341,single
4,371,Tumor,CD8T,797,single
4,371,Tumor,CD4T,654,single
4,371,Tumor,B,1239,single
4,371,Tumor,Myeloid,3057,single
4,371,Tumor,unassigned,525,single
5,377,Normal,NK,355,single
5,377,Normal,CD8T,235,single
5,377,Normal,CD4T,282,single
5,377,Normal,B,1098,single
5,377,Normal,Myeloid,2532,single
5,377,Normal,unassigned,547,single
6,377,Tumor,NK,85,single
6,377,Tumor,CD8T,217,single
6,377,Tumor,CD4T,223,single
6,377,Tumor,B,391,single
6,377,Tumor,Myeloid,766,single
6,377,Tumor,unassigned,393,single
7,378,Normal,NK,1360,single
7,378,Normal,CD8T,2340,single
7,378,Normal,CD4T,1500,single
7,378,Normal,B,2450,single
7,378,Normal,Myeloid,8804,single
7,378,Normal,unassigned,1787,single
8,378,Tumor,NK,312,single
8,378,Tumor,CD8T,852,single
8,378,Tumor,CD4T,996,single
8,378,Tumor,B,647,single
8,378,Tumor,Myeloid,1673,single
8,378,Tumor,unassigned,1298,single
9,393,Tumor,NK,165,single
9,393,Tumor,CD8T,378,single
9,393,Tumor,CD4T,907,single
9,393,Tumor,B,717,single
9,393,Tumor,Myeloid,2038,single
9,393,Tumor,unassigned,1190,single
10,403,Normal,NK,703,single
10,403,Normal,CD8T,280,single
10,403,Normal,CD4T,517,single
10,403,Normal,B,475,single
10,403,Normal,Myeloid,3563,single
10,403,Normal,unassigned,600,single
