dataset,sample,tissue,n_NK,NK_med_UMI,T_med_UMI,NK_over_T_UMI
E-MTAB-12305,H1,HSIL,583,5730,4573,1.253
E-MTAB-12305,H2,HSIL,520,3628,3009,1.206
E-MTAB-12305,L1,lymph_node,243,4042,3767,1.073
E-MTAB-12305,N1,normal_adj,15,3206,2996,1.07
E-MTAB-12305,N2,normal_adj,23,3205,2342,1.368
E-MTAB-12305,T2,tumor,21,4572,3335,1.371
E-MTAB-12305,T4,tumor,140,3640,3196,1.139
GSE208653,ADC_6,tumor,123,4187,3496,1.198
GSE208653,HSIL_1,HSIL,175,3082,3040,1.014
GSE208653,HSIL_2,HSIL,189,2366,1792,1.32
GSE208653,N_HPVneg_1,normal,373,4646,2486,1.869
GSE208653,N_HPVneg_2,normal,175,2530,1854,1.365
GSE208653,N_HPVpos_1,normal,258,3560,2836,1.256
GSE208653,N_HPVpos_2,normal,46,5356,5509,0.972
GSE208653,SCC_4,tumor,257,4706,2065,2.279
GSE208653,SCC_5,tumor,213,4561,3120,1.462
GSE197461,ADC_1,tumor,29,3184,3466,0.919
GSE197461,ADC_2,tumor,12,3196,3543,0.902
GSE197461,ADC_4,tumor,84,2790,2789,1.0
GSE197461,ADC_5,tumor,38,3637,3132,1.161
GSE197461,SCC_1,tumor,119,4765,4103,1.161
GSE197461,SCC_2,tumor,93,3248,3180,1.021
GSE197461,SCC_3,tumor,34,3870,3473,1.114
GSE173231,CX2,normal_healthy,37,2531,2737,0.925
GSE173231,CX3,normal_healthy,46,3887,3299,1.178
GSE173231,CX4,normal_healthy,15,2857,2829,1.01
GSE173231,CX5,normal_healthy,11,2140,1873,1.143
GSE173231,CX6A,normal_healthy,128,3404,3600,0.946
GSE173231,CX6B,normal_healthy,71,3265,3510,0.93
GSE173231,CX7A,normal_healthy,135,2642,2342,1.128
GSE173231,CX7B,normal_healthy,125,4840,4040,1.198
GSE173231,CX8,normal_healthy,28,3716,3773,0.985
