a,b,n_a,n_b,observed_overlap,expected_by_chance,ratio_obs_over_exp,jaccard
GSE197461:ADC_3,GSE173231:CX6B,3310,1487,11,6.7,1.65,0.0023
GSE197461:ADC_5,GSE173231:CX5,3562,3169,24,15.3,1.57,0.0036
GSE197461:ADC_2,GSE173231:CX6A,2049,1448,6,4.0,1.49,0.0017
GSE197461:SCC_1,GSE173231:CX6A,3428,1448,10,6.7,1.49,0.0021
GSE197461:ADC_2,GSE173231:CX6B,2049,1487,6,4.1,1.45,0.0017
GSE197461:SCC_3,GSE173231:CX7B,5970,1710,20,13.8,1.44,0.0026
GSE197461:SCC_3,GSE173231:CX5,5970,3169,37,25.7,1.44,0.0041
GSE197461:ADC_2,GSE173231:CX2,2049,1775,7,4.9,1.42,0.0018
GSE197461:ADC_3,GSE173231:CX1,3310,1880,12,8.4,1.42,0.0023
GSE197461:SCC_3,GSE173231:CX6B,5970,1487,17,12.0,1.41,0.0023
GSE197461:ADC_4,GSE173231:CX8,4406,1874,15,11.2,1.34,0.0024
GSE197461:ADC_2,GSE173231:CX8,2049,1874,7,5.2,1.34,0.0018
GSE197461:ADC_1,GSE173231:CX5,5753,3169,33,24.7,1.33,0.0037
GSE197461:ADC_3,GSE173231:CX8,3310,1874,11,8.4,1.31,0.0021
GSE197461:SCC_2,GSE173231:CX1,6914,1880,23,17.6,1.3,0.0026
GSE197461:ADC_5,GSE173231:CX6A,3562,1448,9,7.0,1.29,0.0018
GSE197461:SCC_1,GSE173231:CX3,3428,3211,18,14.9,1.21,0.0027
GSE197461:SCC_3,GSE173231:CX3,5970,3211,31,26.0,1.19,0.0034
GSE197461:ADC_1,GSE173231:CX4,5753,4266,39,33.3,1.17,0.0039
GSE197461:SCC_1,GSE173231:CX7A,3428,2606,14,12.1,1.16,0.0023
GSE197461:SCC_1,GSE173231:CX4,3428,4266,23,19.8,1.16,0.003
GSE197461:SCC_1,GSE173231:CX8,3428,1874,10,8.7,1.15,0.0019
GSE197461:SCC_3,GSE173231:CX7A,5970,2606,24,21.1,1.14,0.0028
GSE197461:ADC_1,GSE173231:CX7A,5753,2606,23,20.3,1.13,0.0028
GSE197461:ADC_5,GSE173231:CX7A,3562,2606,14,12.6,1.11,0.0023
GSE197461:ADC_3,GSE173231:CX3,3310,3211,16,14.4,1.11,0.0025
GSE197461:ADC_4,GSE173231:CX5,4406,3169,21,18.9,1.11,0.0028
GSE197461:ADC_5,GSE173231:CX8,3562,1874,10,9.1,1.1,0.0018
GSE197461:SCC_3,GSE173231:CX1,5970,1880,16,15.2,1.05,0.002
GSE197461:ADC_3,GSE173231:CX4,3310,4266,20,19.2,1.04,0.0026
GSE197461:ADC_1,GSE173231:CX3,5753,3211,26,25.1,1.04,0.0029
GSE197461:SCC_1,GSE173231:CX1,3428,1880,9,8.7,1.03,0.0017
GSE197461:SCC_1,GSE173231:CX5,3428,3169,15,14.7,1.02,0.0023
GSE197461:SCC_3,GSE173231:CX4,5970,4266,35,34.5,1.01,0.0034
GSE197461:ADC_4,GSE173231:CX7B,4406,1710,10,10.2,0.98,0.0016
GSE197461:ADC_4,GSE173231:CX1,4406,1880,11,11.2,0.98,0.0018
GSE197461:ADC_1,GSE173231:CX7B,5753,1710,13,13.3,0.97,0.0017
GSE197461:SCC_1,GSE173231:CX2,3428,1775,8,8.3,0.97,0.0015
GSE197461:ADC_1,GSE173231:CX8,5753,1874,14,14.6,0.96,0.0018
GSE197461:ADC_1,GSE173231:CX1,5753,1880,14,14.7,0.95,0.0018
GSE197461:SCC_2,GSE173231:CX5,6914,3169,28,29.7,0.94,0.0028
GSE197461:SCC_2,GSE173231:CX4,6914,4266,37,40.0,0.92,0.0033
GSE197461:ADC_3,GSE173231:CX5,3310,3169,13,14.2,0.91,0.002
GSE197461:ADC_5,GSE173231:CX3,3562,3211,14,15.5,0.9,0.0021
GSE197461:ADC_4,GSE173231:CX4,4406,4266,23,25.5,0.9,0.0027
GSE197461:ADC_5,GSE173231:CX1,3562,1880,8,9.1,0.88,0.0015
GSE197461:ADC_1,GSE173231:CX2,5753,1775,12,13.9,0.87,0.0016
GSE197461:SCC_1,GSE173231:CX6B,3428,1487,6,6.9,0.87,0.0012
GSE197461:SCC_2,GSE173231:CX6B,6914,1487,12,13.9,0.86,0.0014
GSE197461:ADC_3,GSE173231:CX7A,3310,2606,10,11.7,0.85,0.0017
GSE197461:ADC_4,GSE173231:CX7A,4406,2606,13,15.6,0.83,0.0019
GSE197461:SCC_3,GSE173231:CX2,5970,1775,12,14.4,0.83,0.0016
GSE197461:ADC_4,GSE173231:CX3,4406,3211,16,19.2,0.83,0.0021
GSE197461:ADC_4,GSE173231:CX6A,4406,1448,7,8.7,0.81,0.0012
GSE197461:SCC_3,GSE173231:CX8,5970,1874,12,15.2,0.79,0.0015
GSE197461:ADC_2,GSE173231:CX3,2049,3211,7,8.9,0.78,0.0013
GSE197461:ADC_3,GSE173231:CX7B,3310,1710,6,7.7,0.78,0.0012
GSE197461:SCC_2,GSE173231:CX2,6914,1775,13,16.6,0.78,0.0015
GSE197461:ADC_1,GSE173231:CX6B,5753,1487,9,11.6,0.78,0.0012
GSE197461:SCC_3,GSE173231:CX6A,5970,1448,9,11.7,0.77,0.0012
GSE197461:SCC_1,GSE173231:CX7B,3428,1710,6,8.0,0.75,0.0012
GSE197461:SCC_2,GSE173231:CX7B,6914,1710,12,16.0,0.75,0.0014
GSE197461:SCC_2,GSE173231:CX8,6914,1874,13,17.6,0.74,0.0015
GSE197461:ADC_5,GSE173231:CX4,3562,4266,15,20.6,0.73,0.0019
GSE197461:ADC_5,GSE173231:CX2,3562,1775,6,8.6,0.7,0.0011
GSE197461:ADC_4,GSE173231:CX6B,4406,1487,6,8.9,0.68,0.001
GSE197461:ADC_4,GSE173231:CX2,4406,1775,7,10.6,0.66,0.0011
GSE197461:SCC_2,GSE173231:CX3,6914,3211,20,30.1,0.66,0.002
GSE197461:SCC_2,GSE173231:CX7A,6914,2606,16,24.4,0.65,0.0017
GSE197461:ADC_1,GSE173231:CX6A,5753,1448,7,11.3,0.62,0.001
GSE197461:ADC_2,GSE173231:CX4,2049,4266,7,11.9,0.59,0.0011
GSE197461:ADC_2,GSE173231:CX5,2049,3169,5,8.8,0.57,0.001
GSE197461:ADC_2,GSE173231:CX1,2049,1880,3,5.2,0.57,0.0008
GSE197461:ADC_5,GSE173231:CX6B,3562,1487,4,7.2,0.56,0.0008
GSE197461:ADC_2,GSE173231:CX7A,2049,2606,4,7.2,0.55,0.0009
GSE197461:ADC_3,GSE173231:CX2,3310,1775,4,8.0,0.5,0.0008
GSE197461:ADC_5,GSE173231:CX7B,3562,1710,4,8.3,0.48,0.0008
GSE197461:ADC_3,GSE173231:CX6A,3310,1448,3,6.5,0.46,0.0006
GSE197461:ADC_2,GSE173231:CX7B,2049,1710,2,4.8,0.42,0.0005
E-MTAB-12305:T1,GSE208653:SCC_5,12732,6734,33,116.3,0.28,0.0017
E-MTAB-12305:H1,GSE208653:ADC_6,7084,10154,27,97.6,0.28,0.0016
E-MTAB-12305:L1,GSE208653:N_HPVpos_1,10283,16218,64,226.2,0.28,0.0024
E-MTAB-12305:T4,GSE208653:SCC_5,10630,6734,27,97.1,0.28,0.0016
E-MTAB-12305:N3,GSE208653:N_HPVpos_2,11465,7335,31,114.1,0.27,0.0017
E-MTAB-12305:T2,GSE208653:HSIL_2,8818,7371,24,88.2,0.27,0.0015
E-MTAB-12305:T2,GSE208653:SCC_4,8818,8979,29,107.4,0.27,0.0016
E-MTAB-12305:L1,GSE208653:ADC_6,10283,10154,38,141.6,0.27,0.0019
E-MTAB-12305:L1,GSE208653:HSIL_1,10283,6346,24,88.5,0.27,0.0014
E-MTAB-12305:L1,GSE208653:SCC_4,10283,8979,32,125.2,0.26,0.0017
E-MTAB-12305:H2,GSE208653:SCC_5,13302,6734,32,121.5,0.26,0.0016
E-MTAB-12305:H2,GSE208653:HSIL_1,13302,6346,29,114.5,0.25,0.0015
E-MTAB-12305:T3,GSE208653:SCC_5,14248,6734,31,130.1,0.24,0.0015
E-MTAB-12305:T3,GSE208653:N_HPVpos_2,14248,7335,34,141.7,0.24,0.0016
E-MTAB-12305:N2,GSE208653:HSIL_2,13955,7371,34,139.5,0.24,0.0016
E-MTAB-12305:H1,GSE208653:N_HPVpos_1,7084,16218,38,155.8,0.24,0.0016
E-MTAB-12305:N3,GSE208653:HSIL_1,11465,6346,24,98.7,0.24,0.0013
E-MTAB-12305:N2,GSE208653:ADC_6,13955,10154,44,192.2,0.23,0.0018
E-MTAB-12305:T4,GSE208653:HSIL_1,10630,6346,21,91.5,0.23,0.0012
E-MTAB-12305:T2,GSE208653:ADC_6,8818,10154,28,121.4,0.23,0.0015
E-MTAB-12305:T4,GSE208653:N_HPVneg_1,10630,11619,39,167.5,0.23,0.0018
E-MTAB-12305:L1,GSE208653:N_HPVneg_1,10283,11619,38,162.1,0.23,0.0017
E-MTAB-12305:H1,GSE208653:HSIL_1,7084,6346,14,61.0,0.23,0.001
E-MTAB-12305:H1,GSE208653:SCC_4,7084,8979,19,86.3,0.22,0.0012
E-MTAB-12305:T4,GSE208653:N_HPVpos_2,10630,7335,23,105.8,0.22,0.0013
E-MTAB-12305:T4,GSE208653:N_HPVpos_1,10630,16218,52,233.8,0.22,0.0019
E-MTAB-12305:T1,GSE208653:HSIL_2,12732,7371,28,127.3,0.22,0.0014
