a,b,pearson_log_cpm
E-MTAB-12305:H1,GSE208653:N_HPVpos_2,0.9689
E-MTAB-12305:L1,GSE208653:SCC_4,0.9628
E-MTAB-12305:H1,GSE208653:ADC_6,0.9577
E-MTAB-12305:T2,GSE208653:N_HPVpos_1,0.9572
E-MTAB-12305:H1,GSE208653:SCC_4,0.9554
E-MTAB-12305:H2,GSE208653:N_HPVpos_1,0.9443
E-MTAB-12305:H1,GSE208653:N_HPVneg_1,0.9439
E-MTAB-12305:H1,GSE208653:N_HPVpos_1,0.9437
E-MTAB-12305:L1,GSE208653:ADC_6,0.943
E-MTAB-12305:H2,GSE208653:N_HPVneg_1,0.9427
E-MTAB-12305:N2,GSE208653:N_HPVpos_1,0.9425
E-MTAB-12305:H2,GSE208653:ADC_6,0.9396
E-MTAB-12305:T2,GSE208653:N_HPVneg_1,0.9393
E-MTAB-12305:H2,GSE208653:N_HPVneg_2,0.939
E-MTAB-12305:H2,GSE208653:N_HPVpos_2,0.9385
E-MTAB-12305:H1,GSE208653:SCC_5,0.9376
E-MTAB-12305:L1,GSE208653:N_HPVpos_2,0.9371
E-MTAB-12305:T4,GSE208653:N_HPVneg_1,0.9363
E-MTAB-12305:T4,GSE208653:ADC_6,0.9346
E-MTAB-12305:N1,GSE208653:N_HPVpos_1,0.9322
GSE208653:N_HPVpos_1,GSE197461:SCC_3,0.932
E-MTAB-12305:H2,GSE208653:HSIL_1,0.9316
GSE208653:N_HPVpos_1,GSE197461:ADC_2,0.9302
E-MTAB-12305:L1,GSE208653:N_HPVneg_1,0.9299
GSE208653:HSIL_1,GSE197461:ADC_2,0.9286
E-MTAB-12305:T2,GSE208653:ADC_6,0.9285
E-MTAB-12305:L1,GSE197461:SCC_1,0.9271
E-MTAB-12305:T4,GSE208653:SCC_5,0.9264
E-MTAB-12305:H2,GSE208653:SCC_5,0.9259
E-MTAB-12305:N2,GSE208653:N_HPVneg_1,0.9245
E-MTAB-12305:H1,GSE208653:HSIL_1,0.9245
E-MTAB-12305:T4,GSE208653:SCC_4,0.9216
E-MTAB-12305:T2,GSE208653:N_HPVpos_2,0.9208
E-MTAB-12305:L1,GSE208653:SCC_5,0.9208
E-MTAB-12305:T3,GSE208653:SCC_5,0.9198
E-MTAB-12305:H2,GSE208653:HSIL_2,0.9194
GSE208653:N_HPVneg_1,GSE197461:SCC_1,0.9185
E-MTAB-12305:T2,GSE197461:SCC_3,0.9183
E-MTAB-12305:T2,GSE208653:HSIL_1,0.9182
E-MTAB-12305:T2,GSE208653:N_HPVneg_2,0.9174
GSE208653:ADC_6,GSE197461:SCC_1,0.9173
E-MTAB-12305:T4,GSE208653:N_HPVpos_2,0.9171
GSE208653:SCC_4,GSE197461:SCC_1,0.9169
E-MTAB-12305:H1,GSE208653:N_HPVneg_2,0.9157
E-MTAB-12305:N2,GSE197461:SCC_3,0.9141
E-MTAB-12305:H1,GSE197461:SCC_1,0.9131
E-MTAB-12305:N2,GSE208653:ADC_6,0.9118
E-MTAB-12305:T1,GSE208653:SCC_5,0.9118
E-MTAB-12305:L1,GSE208653:N_HPVpos_1,0.9097
E-MTAB-12305:T2,GSE208653:SCC_5,0.9084
E-MTAB-12305:N1,GSE197461:SCC_3,0.9083
GSE208653:N_HPVpos_2,GSE197461:SCC_1,0.9082
GSE208653:N_HPVpos_1,GSE197461:ADC_5,0.9057
GSE208653:N_HPVneg_1,GSE197461:SCC_3,0.9051
GSE208653:HSIL_1,GSE197461:SCC_3,0.9038
GSE208653:HSIL_2,GSE197461:ADC_1,0.9035
E-MTAB-12305:T1,GSE208653:N_HPVneg_1,0.9031
E-MTAB-12305:T4,GSE197461:SCC_1,0.9028
E-MTAB-12305:T2,GSE197461:ADC_2,0.9024
GSE208653:N_HPVpos_1,GSE197461:SCC_1,0.9021
GSE208653:N_HPVneg_2,GSE197461:ADC_2,0.902
E-MTAB-12305:N2,GSE208653:HSIL_1,0.9012
E-MTAB-12305:T1,GSE208653:ADC_6,0.9008
GSE208653:SCC_4,GSE197461:SCC_2,0.9007
E-MTAB-12305:N1,GSE208653:N_HPVneg_1,0.9005
GSE208653:ADC_6,GSE197461:SCC_2,0.9002
E-MTAB-12305:H2,GSE197461:ADC_2,0.9001
E-MTAB-12305:T4,GSE208653:N_HPVpos_1,0.9
E-MTAB-12305:T4,GSE208653:N_HPVneg_2,0.8998
GSE208653:N_HPVpos_2,GSE197461:SCC_2,0.8995
GSE208653:ADC_6,GSE197461:ADC_5,0.899
E-MTAB-12305:H1,GSE208653:HSIL_2,0.899
E-MTAB-12305:N2,GSE208653:N_HPVneg_2,0.8989
GSE208653:HSIL_2,GSE197461:ADC_3,0.8982
GSE208653:N_HPVpos_2,GSE197461:ADC_5,0.898
E-MTAB-12305:L1,GSE208653:N_HPVneg_2,0.8976
E-MTAB-12305:N1,GSE208653:HSIL_1,0.8972
E-MTAB-12305:H1,GSE197461:ADC_1,0.8959
GSE208653:HSIL_1,GSE197461:ADC_5,0.8958
GSE208653:N_HPVpos_2,GSE197461:ADC_1,0.8955
E-MTAB-12305:N2,GSE208653:N_HPVpos_2,0.8955
GSE208653:SCC_5,GSE197461:SCC_1,0.8953
GSE208653:N_HPVneg_1,GSE197461:ADC_2,0.8945
GSE208653:ADC_6,GSE197461:SCC_3,0.8943
E-MTAB-12305:H2,GSE197461:SCC_3,0.8941
E-MTAB-12305:H1,GSE197461:SCC_2,0.8938
GSE208653:N_HPVpos_1,GSE197461:ADC_1,0.8934
GSE208653:N_HPVneg_2,GSE197461:SCC_3,0.8933
E-MTAB-12305:L1,GSE197461:SCC_2,0.8922
E-MTAB-12305:N1,GSE208653:ADC_6,0.8921
GSE208653:N_HPVneg_1,GSE197461:ADC_5,0.8919
E-MTAB-12305:N2,GSE197461:ADC_2,0.8918
GSE208653:N_HPVpos_2,GSE197461:SCC_3,0.8913
GSE208653:N_HPVpos_2,GSE197461:ADC_2,0.8912
E-MTAB-12305:T3,GSE208653:N_HPVneg_1,0.8909
GSE208653:N_HPVneg_2,GSE197461:ADC_5,0.8909
GSE208653:SCC_4,GSE197461:ADC_5,0.8909
GSE208653:SCC_5,GSE197461:ADC_3,0.8909
E-MTAB-12305:T1,GSE208653:N_HPVpos_2,0.8909
E-MTAB-12305:N1,GSE197461:ADC_2,0.8907
E-MTAB-12305:H2,GSE208653:SCC_4,0.8904
GSE208653:ADC_6,GSE197461:ADC_1,0.8904
E-MTAB-12305:H1,GSE197461:ADC_5,0.8902
E-MTAB-12305:T2,GSE208653:HSIL_2,0.8899
GSE208653:N_HPVneg_2,GSE197461:ADC_1,0.8895
GSE208653:SCC_4,GSE197461:ADC_1,0.8895
E-MTAB-12305:T3,GSE208653:ADC_6,0.8881
GSE208653:N_HPVneg_1,GSE197461:ADC_1,0.8873
E-MTAB-12305:T1,GSE208653:N_HPVpos_1,0.8867
GSE208653:ADC_6,GSE197461:ADC_3,0.8866
GSE208653:HSIL_2,GSE197461:ADC_5,0.8863
E-MTAB-12305:T1,GSE197461:SCC_1,0.8846
E-MTAB-12305:L1,GSE197461:ADC_1,0.8838
E-MTAB-12305:L1,GSE197461:ADC_5,0.8837
GSE208653:N_HPVpos_1,GSE197461:ADC_3,0.8836
E-MTAB-12305:L1,GSE208653:HSIL_1,0.8832
E-MTAB-12305:T2,GSE197461:SCC_1,0.883
GSE208653:SCC_5,GSE197461:ADC_1,0.8824
E-MTAB-12305:T1,GSE208653:HSIL_2,0.8821
GSE208653:N_HPVneg_1,GSE197461:ADC_3,0.8819
E-MTAB-12305:H1,GSE197461:SCC_3,0.8818
E-MTAB-12305:T4,GSE208653:HSIL_2,0.8815
GSE208653:N_HPVpos_2,GSE197461:ADC_3,0.8796
GSE208653:ADC_6,GSE197461:ADC_2,0.8782
E-MTAB-12305:T4,GSE197461:ADC_3,0.8778
E-MTAB-12305:N1,GSE208653:N_HPVneg_2,0.8776
E-MTAB-12305:T2,GSE208653:SCC_4,0.8775
E-MTAB-12305:L1,GSE208653:HSIL_2,0.8772
E-MTAB-12305:H2,GSE197461:ADC_3,0.8772
E-MTAB-12305:T1,GSE208653:N_HPVneg_2,0.8772
E-MTAB-12305:N1,GSE208653:N_HPVpos_2,0.8772
E-MTAB-12305:H2,GSE197461:ADC_1,0.877
GSE208653:HSIL_1,GSE197461:ADC_1,0.8764
E-MTAB-12305:H2,GSE197461:ADC_5,0.8758
E-MTAB-12305:T1,GSE208653:SCC_4,0.8757
E-MTAB-12305:N2,GSE208653:SCC_5,0.8751
E-MTAB-12305:T2,GSE197461:ADC_3,0.8738
GSE208653:N_HPVneg_2,GSE197461:SCC_1,0.8738
E-MTAB-12305:H1,GSE197461:ADC_2,0.8737
GSE208653:N_HPVneg_1,GSE197461:SCC_2,0.8732
E-MTAB-12305:H1,GSE197461:ADC_3,0.8729
E-MTAB-12305:L1,GSE197461:ADC_3,0.8713
GSE208653:SCC_4,GSE197461:ADC_4,0.8709
GSE208653:HSIL_2,GSE197461:ADC_2,0.8705
E-MTAB-12305:T1,GSE197461:ADC_3,0.8699
E-MTAB-12305:T3,GSE197461:SCC_1,0.8698
E-MTAB-12305:N3,GSE208653:N_HPVpos_1,0.8695
GSE208653:SCC_5,GSE197461:ADC_5,0.8691
GSE208653:N_HPVpos_1,GSE197461:SCC_2,0.869
E-MTAB-12305:T3,GSE208653:HSIL_2,0.8689
GSE208653:N_HPVneg_2,GSE197461:SCC_2,0.8686
E-MTAB-12305:T2,GSE197461:ADC_5,0.8675
GSE208653:SCC_4,GSE197461:ADC_3,0.8673
E-MTAB-12305:L1,GSE197461:ADC_4,0.8666
GSE208653:N_HPVneg_2,GSE197461:ADC_3,0.8652
E-MTAB-12305:T3,GSE208653:N_HPVpos_2,0.8646
E-MTAB-12305:T4,GSE197461:SCC_2,0.8644
GSE208653:SCC_5,GSE197461:SCC_2,0.8643
E-MTAB-12305:T2,GSE197461:ADC_1,0.8641
E-MTAB-12305:T4,GSE197461:ADC_1,0.8634
E-MTAB-12305:L1,GSE197461:SCC_3,0.8622
E-MTAB-12305:T3,GSE208653:N_HPVneg_2,0.8621
GSE208653:HSIL_1,GSE197461:ADC_3,0.862
E-MTAB-12305:T4,GSE208653:HSIL_1,0.862
GSE208653:HSIL_1,GSE197461:SCC_2,0.8619
GSE208653:HSIL_1,GSE197461:SCC_1,0.8618
GSE208653:SCC_4,GSE197461:SCC_3,0.8604
E-MTAB-12305:T4,GSE197461:ADC_5,0.8603
E-MTAB-12305:T1,GSE197461:ADC_1,0.8602
GSE208653:N_HPVneg_2,GSE197461:ADC_4,0.8591
E-MTAB-12305:T4,GSE197461:SCC_3,0.8589
E-MTAB-12305:N2,GSE208653:HSIL_2,0.8586
E-MTAB-12305:H2,GSE197461:SCC_1,0.8583
E-MTAB-12305:N3,GSE208653:HSIL_1,0.8583
E-MTAB-12305:N3,GSE197461:SCC_3,0.857
GSE208653:N_HPVpos_2,GSE197461:ADC_4,0.857
E-MTAB-12305:N2,GSE197461:SCC_1,0.8567
E-MTAB-12305:H1,GSE197461:ADC_4,0.8559
GSE208653:HSIL_2,GSE197461:SCC_1,0.8553
GSE208653:SCC_5,GSE197461:SCC_3,0.8547
E-MTAB-12305:T3,GSE208653:SCC_4,0.8539
E-MTAB-12305:T3,GSE197461:ADC_3,0.8522
GSE208653:HSIL_2,GSE197461:SCC_3,0.8512
GSE208653:N_HPVneg_1,GSE197461:ADC_4,0.8511
E-MTAB-12305:N2,GSE197461:ADC_3,0.8508
GSE208653:N_HPVpos_1,GSE197461:ADC_4,0.85
E-MTAB-12305:N1,GSE208653:SCC_5,0.8488
E-MTAB-12305:T1,GSE197461:SCC_3,0.8475
E-MTAB-12305:N3,GSE197461:ADC_2,0.8471
E-MTAB-12305:T1,GSE197461:ADC_5,0.8471
E-MTAB-12305:T1,GSE208653:HSIL_1,0.847
GSE208653:ADC_6,GSE197461:ADC_4,0.8465
E-MTAB-12305:N1,GSE197461:SCC_1,0.8448
E-MTAB-12305:N2,GSE208653:SCC_4,0.8434
