,E-MTAB-12305:N1,E-MTAB-12305:N2,E-MTAB-12305:N3,E-MTAB-12305:H1,E-MTAB-12305:H2,E-MTAB-12305:T1,E-MTAB-12305:T2,E-MTAB-12305:T3,E-MTAB-12305:T4,E-MTAB-12305:L1,GSE208653:N_HPVneg_1,GSE208653:N_HPVneg_2,GSE208653:N_HPVpos_1,GSE208653:N_HPVpos_2,GSE208653:HSIL_1,GSE208653:HSIL_2,GSE208653:SCC_4,GSE208653:SCC_5,GSE208653:ADC_6,GSE197461:SCC_1,GSE197461:SCC_2,GSE197461:SCC_3,GSE197461:ADC_1,GSE197461:ADC_2,GSE197461:ADC_3,GSE197461:ADC_4,GSE197461:ADC_5
E-MTAB-12305:N1,1.0,0.9904,0.9582,0.9075,0.9246,0.9058,0.9731,0.8691,0.8934,0.8938,0.9005,0.8776,0.9322,0.8772,0.8972,0.8344,0.8327,0.8488,0.8921,0.8448,0.786,0.9083,0.8113,0.8907,0.8351,0.7711,0.8333
E-MTAB-12305:N2,0.9904,1.0,0.9484,0.9198,0.9392,0.9201,0.9822,0.8905,0.911,0.905,0.9245,0.8989,0.9425,0.8955,0.9012,0.8586,0.8434,0.8751,0.9118,0.8567,0.8005,0.9141,0.8263,0.8918,0.8508,0.7753,0.8427
E-MTAB-12305:N3,0.9582,0.9484,1.0,0.8627,0.876,0.8639,0.9277,0.8332,0.8497,0.854,0.82,0.8171,0.8695,0.8164,0.8583,0.7894,0.7871,0.7886,0.8278,0.7887,0.7415,0.857,0.7615,0.8471,0.8029,0.7257,0.7905
E-MTAB-12305:H1,0.9075,0.9198,0.8627,1.0,0.9549,0.9304,0.946,0.9066,0.9463,0.9665,0.9439,0.9157,0.9437,0.9689,0.9245,0.899,0.9554,0.9376,0.9577,0.9131,0.8938,0.8818,0.8959,0.8737,0.8729,0.8559,0.8902
E-MTAB-12305:H2,0.9246,0.9392,0.876,0.9549,1.0,0.9227,0.9563,0.9063,0.9357,0.9266,0.9427,0.939,0.9443,0.9385,0.9316,0.9194,0.8904,0.9259,0.9396,0.8583,0.8432,0.8941,0.877,0.9001,0.8772,0.8098,0.8758
E-MTAB-12305:T1,0.9058,0.9201,0.8639,0.9304,0.9227,1.0,0.936,0.9322,0.9335,0.9283,0.9031,0.8772,0.8867,0.8909,0.847,0.8821,0.8757,0.9118,0.9008,0.8846,0.8387,0.8475,0.8602,0.8332,0.8699,0.8047,0.8471
E-MTAB-12305:T2,0.9731,0.9822,0.9277,0.946,0.9563,0.936,1.0,0.9021,0.9239,0.9238,0.9393,0.9174,0.9572,0.9208,0.9182,0.8899,0.8775,0.9084,0.9285,0.883,0.8263,0.9183,0.8641,0.9024,0.8738,0.8061,0.8675
E-MTAB-12305:T3,0.8691,0.8905,0.8332,0.9066,0.9063,0.9322,0.9021,1.0,0.9396,0.9204,0.8909,0.8621,0.8428,0.8646,0.8028,0.8689,0.8539,0.9198,0.8881,0.8698,0.8103,0.8021,0.8197,0.7854,0.8522,0.757,0.8096
E-MTAB-12305:T4,0.8934,0.911,0.8497,0.9463,0.9357,0.9335,0.9239,0.9396,1.0,0.9723,0.9363,0.8998,0.9,0.9171,0.862,0.8815,0.9216,0.9264,0.9346,0.9028,0.8644,0.8589,0.8634,0.8368,0.8778,0.8228,0.8603
E-MTAB-12305:L1,0.8938,0.905,0.854,0.9665,0.9266,0.9283,0.9238,0.9204,0.9723,1.0,0.9299,0.8976,0.9097,0.9371,0.8832,0.8772,0.9628,0.9208,0.943,0.9271,0.8922,0.8622,0.8838,0.8367,0.8713,0.8666,0.8837
