_k,CD2,CD3D,CD3E,CD3G,CD6,FCGR3A,GNLY,IL7R,KLRD1,KLRF1,NCAM1,NKG7,PRF1,TRAC,neg_CD3D,neg_CD3G,neg_CD6,n_T_neg,cytotoxic,receptor,is_NK
0,1.6016554,1.9202641,1.3175851,1.3159782,0.35564438,0.025109265,0.29327273,0.5380674,0.30098894,0.0053606587,0.009664978,2.174436,0.46478027,1.2598726,False,False,False,0,False,False,False
1,1.8013839,2.1364205,1.3881694,1.5444816,0.4411624,0.02236388,1.1175358,1.5614413,0.69094586,0.002077224,0.05531406,1.9573145,0.5706819,1.3319743,False,False,False,0,False,True,False
10,0.972219,1.2614659,0.8833591,0.63567424,0.030655777,0.050303835,2.3282902,0.14877686,0.5062043,0.093603134,0.102016725,2.2595518,0.39624736,1.1474322,False,False,True,1,True,True,False
11,2.0964599,2.179087,1.424142,1.3281529,0.26516753,0.0026186854,0.16469888,1.0561637,0.0054661524,0.0,0.018400725,0.066613525,0.17574148,2.042766,False,False,False,0,False,False,False
12,1.2466862,1.2239847,1.2353522,0.9489337,0.2913998,1.2593614,3.4508104,0.40539047,1.6822298,0.7699137,0.13639964,3.6661139,1.7431182,0.6382979,False,False,False,0,True,True,False
13,1.2543938,0.056640122,0.49686617,0.02355513,0.017867459,0.07757886,3.6171548,1.4072026,1.6896914,0.64812696,0.525608,2.1633632,0.64614344,0.33862823,True,True,True,3,True,True,True
14,0.70512813,0.17135203,0.8549097,0.044706378,0.015619477,0.23838484,3.6150117,0.072288014,1.5719154,0.36003357,0.52349794,2.8349774,1.181712,0.5816594,True,True,True,3,True,True,True
15,2.0191422,2.5737247,1.4557017,1.738924,0.4115893,0.049985155,0.7159425,0.14152373,0.73650163,0.0008042353,0.0070505803,2.8968976,0.911211,1.892841,False,False,False,0,False,True,False
16,1.7430465,1.7603114,1.1443666,1.4025265,0.32001317,0.060900237,1.4387517,0.67749286,0.6488789,0.059185173,0.11454185,2.1281576,0.8314534,1.3470671,False,False,False,0,True,True,False
17,1.3982805,2.0502927,1.3951715,1.2798749,0.21691182,0.041375723,1.6858099,1.0287908,0.9393815,0.011112655,0.09965223,1.6785945,0.17637564,1.3999051,False,False,False,0,False,True,False
18,1.3654307,1.459391,1.1928378,0.9555248,0.30044204,0.071335144,1.5973195,0.17670691,0.5845963,0.05528627,0.17430596,2.1076045,0.61379445,1.4007956,False,False,False,0,False,True,False
19,0.99302715,0.17598242,0.9926911,0.041970838,0.004481632,0.20080376,3.2145028,0.08348198,1.2581494,0.25827184,0.5580162,2.6215706,1.0980238,0.92341584,True,True,True,3,True,True,True
2,1.5202876,1.8258861,1.2711141,1.352562,0.29582477,0.0585717,0.70334697,0.39116248,0.70338327,0.0076353815,0.008694195,2.3573987,0.40224358,1.218633,False,False,False,0,False,True,False
20,1.8252155,2.3764627,1.5288014,1.6456596,0.22755781,0.02953448,2.9450743,0.09066584,1.3204826,0.0020200901,0.14890087,2.8728683,0.82207566,1.9133221,False,False,False,0,True,True,False
3,1.4458399,1.376152,1.0469383,1.0344894,0.34476802,0.009916884,0.19789518,2.0810676,0.09060518,0.0010305244,0.0018835168,0.28848112,0.09733955,1.1773615,False,False,False,0,False,False,False
4,1.751293,1.7926459,1.2581203,1.1930015,0.46334466,0.0,0.18962684,2.6513267,0.03578563,0.002570624,0.0049041873,0.2638185,0.14389445,1.3176836,False,False,False,0,False,False,False
5,2.3536417,2.1887722,1.4394238,1.4075255,0.757038,0.0032820392,0.49685714,1.0931735,0.06685618,0.0025671318,0.0036894423,0.37973198,0.19850571,1.9449666,False,False,False,0,False,False,False
6,1.273286,1.6299087,1.1989007,1.1510841,0.26838943,0.09549781,0.32622933,0.69980234,0.45516416,0.030952347,0.02336097,1.8470013,0.31052282,1.2435709,False,False,False,0,False,True,False
7,1.6828076,1.6438335,1.1910573,1.2785139,0.3658108,0.05295354,0.39365053,0.7185448,0.39049104,0.018751185,0.01966304,1.7924463,0.4794438,1.4774802,False,False,False,0,False,False,False
8,1.3543923,1.805975,1.2925913,1.1694252,0.41481903,0.0017135246,0.1034946,1.8955098,0.057341054,0.0,0.003047353,0.14868863,0.04985018,1.57291,False,False,False,0,False,False,False
9,1.6484646,1.7408066,1.258973,1.2754724,0.41891912,0.0011844961,0.10774072,2.1284313,0.01898285,0.0012071097,0.0021513877,0.18346731,0.09751125,1.5388687,False,False,False,0,False,False,False
