_k,CD2,CD3D,CD3E,CD3G,CD6,FCGR3A,GNLY,IL7R,KLRD1,KLRF1,NCAM1,NKG7,PRF1,TRAC,neg_CD3D,neg_CD3G,neg_CD6,n_T_neg,cytotoxic,receptor,is_NK
0,1.2975823,1.4353623,1.8034716,0.8678088,0.42110988,1.6417478,3.950624,0.4153461,1.6481485,0.57320887,0.1793468,4.025711,2.5407698,0.44242442,False,False,False,0,True,True,False
1,1.1752689,0.0810848,1.5762701,0.035008337,0.019861532,0.16402134,3.076526,0.3422445,1.5246853,0.21911816,0.32022762,2.343954,1.5983201,0.85039854,True,True,True,3,True,True,True
10,1.6604096,1.8793303,2.403882,1.1641217,0.72235143,0.03869773,0.4001496,1.0773377,0.23498848,0.007586633,0.0,2.2679145,0.7031594,0.7325256,False,False,False,0,False,False,False
11,2.0969074,1.9813986,2.3143249,0.9619949,0.40351775,0.0,0.14696948,1.3362458,0.0039273766,0.0009917521,0.0214638,0.046288885,0.35176793,1.0425618,False,False,False,0,False,False,False
12,1.5977368,1.984323,2.3406568,1.1240528,0.36223844,0.06832722,1.578297,0.4787421,0.63320136,0.010527338,0.0,2.5457466,1.3761148,0.8240562,False,False,False,0,True,True,False
13,1.4948072,1.5454334,1.9015402,0.98755616,0.47319615,0.030681476,1.0856588,0.30331233,0.44949088,0.009783505,0.036361918,1.5416914,0.8426989,0.9803679,False,False,False,0,False,True,False
14,1.4796647,2.4924934,2.6012127,1.4311236,0.24623995,0.009722455,2.4997277,0.15681978,1.1434395,0.0,0.015102489,2.7803745,1.1875513,1.1023728,False,False,False,0,True,True,False
15,1.4900597,1.8950026,2.4729977,1.0869433,0.37277463,0.0128807,0.7441721,1.7454095,0.54418725,0.016719813,0.015227033,1.0523597,0.3036799,0.7046396,False,False,False,0,False,True,False
16,1.0843123,2.1081321,2.3190787,1.2565465,0.25302812,0.018722937,2.7451499,0.064737,1.2100967,0.00085410895,0.004517014,2.9159753,1.2579993,0.97643965,False,False,False,0,True,True,False
17,0.0,0.0,0.0,0.02445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074659935,0.0,0.0,True,True,True,3,False,False,False
2,1.8139497,1.8322504,2.2385938,0.98962367,0.61889464,0.0048546707,0.10881419,1.6795495,0.014306335,0.0,0.0,0.14010376,0.16505204,0.7855005,False,False,False,0,False,False,False
3,1.8166649,2.2540781,2.55076,1.3108759,0.49408084,0.04882751,1.1291258,0.19600806,0.56953907,0.0,0.011812936,2.950485,1.2200607,0.94660205,False,False,False,0,True,True,False
4,2.0578358,2.505821,2.580518,1.6060122,0.5590011,0.005100494,1.2660174,0.14928691,0.87300146,0.0011333812,0.0029466855,2.499204,1.3911413,1.1257265,False,False,False,0,True,True,False
5,1.3086407,1.6081544,1.819262,1.1590024,0.44530597,0.005745874,1.7433518,0.17376843,1.0085278,0.0,0.008492627,2.1317616,1.1819624,0.7243836,False,False,False,0,True,True,False
6,1.8653903,1.8191195,2.2952113,1.0601943,0.8926478,0.0033338594,0.11680161,2.7582557,0.007345658,0.0011483434,0.0013718149,0.13071454,0.1529599,0.66916585,False,False,False,0,False,False,False
7,1.0600281,0.797626,1.1648289,0.57648385,0.47302216,0.011138119,0.93549925,0.91068155,0.32958382,0.008510319,0.003183195,0.8000807,0.49730524,0.57899475,False,False,False,0,False,False,False
8,1.5463455,1.8330573,2.4059346,1.111315,0.8896353,0.009348722,0.87203234,2.8571208,0.006050444,0.06932415,0.014568802,2.0293746,1.2528721,0.49918854,False,False,False,0,False,False,False
9,2.2721217,2.1893945,2.4812627,1.226002,0.8427658,0.008669505,0.19368127,1.3838452,0.007122284,0.0017538609,0.0,0.15171923,0.37429988,0.95042074,False,False,False,0,False,False,False
