gene,axis,NK_detected,NK_frac_ge_floor,NK_detection_rate,NK_CPM,Myeloid_CPM,NK_soup_frac,NK_over_Myeloid,ratio_test_applies,gating_excluded,passes_witness_filter,verdict,quadrant,NK_log2FC,NK_SE,CD8T_log2FC,CD8T_SE,CD4T_log2FC,CD4T_SE,B_log2FC,B_SE,Myeloid_log2FC,Myeloid_SE
CCR1,receptor_inflammatory,False,0.224,0.845,9.88,36.67,0.289,0.269,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR2,receptor_inflammatory,False,0.0,0.517,2.32,5.41,0.373,0.429,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR3,receptor_inflammatory,False,0.0,0.121,0.18,0.08,0.121,2.255,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR5,receptor_inflammatory,False,0.069,0.776,6.83,7.26,0.262,0.94,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CXCR1,receptor_inflammatory,False,0.207,0.81,9.22,0.1,0.009,88.105,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CXCR2,receptor_inflammatory,False,0.448,0.879,18.34,1.51,0.013,12.118,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CXCR3,receptor_inflammatory,False,0.483,0.948,24.38,8.81,0.199,2.766,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CXCR6,receptor_inflammatory,False,0.31,1.0,25.85,2.5,0.262,10.352,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CX3CR1,receptor_inflammatory,True,0.638,0.983,75.85,8.8,0.013,8.618,False,False,True,MEASURABLE,,,,,,,,,,,
CCR4,receptor_homing,False,0.0,0.5,4.36,1.04,0.3,4.211,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR6,receptor_homing,False,0.103,0.845,8.84,9.01,0.331,0.981,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR7,receptor_homing,False,0.293,0.845,18.15,13.86,0.38,1.309,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR8,receptor_homing,False,0.0,0.034,0.02,0.06,0.847,0.343,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR9,receptor_homing,False,0.0,0.103,0.75,0.03,0.078,21.361,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCR10,receptor_homing,False,0.017,0.431,1.59,1.28,0.342,1.238,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CXCR4,receptor_homing,True,1.0,1.0,1585.76,511.5,0.131,3.1,False,False,True,MEASURABLE,unclassified,0.4952122832940542,0.1504629674411811,0.0348192360037613,0.0563079555306891,0.1050975520763893,0.0699953971906478,0.7070080536488458,0.1680803539001916,0.4296451364220356,0.1521230670687028
CXCR5,receptor_homing,False,0.017,0.259,0.98,0.41,0.539,2.379,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
XCR1,receptor_homing,False,0.0,0.138,0.17,1.47,0.376,0.112,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
ACKR1,receptor_atypical,False,0.19,0.328,46.91,14.02,0.093,3.345,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
ACKR2,receptor_atypical,False,0.0,0.172,0.61,0.38,0.068,1.621,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
ACKR3,receptor_atypical,False,0.086,0.448,1.98,7.72,0.256,0.257,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
ACKR4,receptor_atypical,False,0.017,0.362,1.16,0.61,0.14,1.887,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
CCRL2,receptor_atypical,False,0.207,0.845,12.4,54.98,0.439,0.226,True,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
S1PR1,retention_egress,False,0.397,0.81,18.68,2.43,0.058,7.676,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
S1PR5,retention_egress,True,0.845,0.983,147.94,0.56,0.009,264.403,False,False,False,MEASURABLE,,,,,,,,,,,
SELL,retention_egress,True,0.793,0.983,71.94,30.24,0.1,2.379,False,False,True,MEASURABLE,Q4,-0.0306839945646826,0.1375436786642661,0.5289750984332471,0.1616442692286799,0.817723348741952,0.1678674154546259,0.6774451767679903,0.1953265613482026,-0.270490424014599,0.1534002954695816
SELPLG,retention_egress,True,0.914,0.983,102.47,57.62,0.066,1.778,False,False,True,MEASURABLE,unclassified,-0.5212570121029737,0.1017869964517407,-0.0682969525858744,0.0644104596827127,-0.1406307004215591,0.0454417490483802,-0.1853876793488131,0.1618526255311897,-0.7908310921905941,0.1332277282315705
CD69,retention_egress,True,0.983,0.983,971.11,153.82,0.107,6.313,False,False,True,MEASURABLE,unclassified,0.6938477058954179,0.1423519672242768,0.1242004593749814,0.0655990981578632,0.1952825808165236,0.0729976090560565,0.029693726914515,0.1628663580633663,0.6058388459917974,0.1987442411259453
ITGAE,retention_egress,True,0.828,0.983,66.53,30.82,0.131,2.159,False,False,True,MEASURABLE,unclassified,0.1048872280184468,0.1412663025258411,0.4547897543659548,0.1196144216105902,0.1015580403703574,0.0995142698199587,0.4723105811780311,0.1016179292708076,0.0464435974578776,0.0784119523288442
ITGA1,retention_egress,False,0.328,0.931,29.77,4.95,0.075,6.014,False,False,False,BELOW DETECTION FLOOR,,,,,,,,,,,
KLRG1,retention_egress,True,0.81,0.983,79.18,5.0,0.046,15.822,False,False,True,MEASURABLE,unclassified,-0.3290532174911024,0.1596153049239152,-0.4900543664276123,0.1206418752564165,-0.3791636077722589,0.1192375164126655,-0.973356416899676,0.1635423836999855,0.3462896212562943,0.1568560441115151
CCL3,ligand_lymphoid,True,0.948,0.966,2293.61,995.81,0.046,2.303,False,False,True,MEASURABLE,unclassified,-0.2236155135149788,0.1696588525628017,0.0639714809452413,0.1738399583248471,-0.3448923304330897,0.1834636688205403,-0.7198790088984096,0.2710543613919615,0.4484730809687287,0.2033545978468048
