gene,expected,observed,status
TOX,Q4,unclassified,FAIL
CD3D,Q4,,excluded_by_gating
CD3E,Q4,,excluded_by_gating
LAT,Q4,unclassified,FAIL
ZAP70,Q4,unclassified,FAIL
ITK,Q4,,excluded_by_gating
CD28,Q4,,absent_from_panel
TNFRSF9,Q4,,absent_from_panel
PDCD1,Q4,,absent_from_panel
CTLA4,Q4,,absent_from_panel
LAG3,Q4,,absent_from_panel
TIGIT,Q4,Q4,pass
NR4A1,Q4,unclassified,FAIL
NR4A2,Q4,unclassified,FAIL
FOS,Q3,unclassified,FAIL
JUN,Q3,unclassified,FAIL
JUNB,Q3,unclassified,FAIL
JUND,Q3,unclassified,FAIL
EGR1,Q3,unclassified,FAIL
DUSP1,Q3,unclassified,FAIL
ZFP36,Q3,unclassified,FAIL
HSPA1A,Q3,unclassified,FAIL
HSPA1B,Q3,unclassified,FAIL
IER2,Q3,unclassified,FAIL
KLF6,Q3,unclassified,FAIL
SOCS3,Q3,unclassified,FAIL
GZMB,Q2,unclassified,FAIL
GZMA,Q2,unclassified,FAIL
GZMH,Q2,Q3,FAIL
GZMK,Q2,unclassified,FAIL
PRF1,Q2,unclassified,FAIL
GNLY,Q2,,excluded_by_gating
KLRG1,Q2,unclassified,FAIL
CTSW,Q2,Q3,FAIL
ACTB,unclassified,unclassified,pass
GAPDH,unclassified,unclassified,pass
B2M,unclassified,unclassified,pass
TPT1,unclassified,unclassified,pass
EEF1A1,unclassified,unclassified,pass
RPL13A,unclassified,unclassified,pass
