# E1 -- magnitude reference on public data only.
# section 1: the T3 gate on every candidate gene
gene	direction	det_NK	floor_B	floor_Erythroid	floor_used	gap	fold	in_5_85_window	gap_ge_0.05	fold_ge_3	passes
KLRC2	high	0.46058479532163743	0.0031691155286660906	0.007194244604316547	0.007194244604316547	0.4533905507173209	64.0212865497076	True	True	True	True
B3GAT1	high	0.05847953216374269	0.0002881014116969173	0.0	0.0002881014116969173	0.05819143075204577	202.98245614035088	True	True	True	True
ZEB2	high	0.847719298245614	0.547392682224143	0.5179856115107914	0.547392682224143	0.30032661602147104	1.5486493074792242	True	True	False	False
CX3CR1	high	0.5464327485380117	0.0036012676462114663	0.0035971223021582736	0.0036012676462114663	0.5428314808918002	151.7334456140351	True	True	True	True
FCER1G	low	0.8215204678362573	0.010947853644482858	0.0737410071942446	0.0737410071942446	0.7477794606420127	11.140619027242904	True	True	True	True
KLRC1	low	0.3672514619883041	0.0023048112935753384	0.0017985611510791368	0.0023048112935753384	0.36494665069472876	159.34122807017545	True	True	True	True
IL7R	low	0.07625730994152047	0.06323825986747335	0.05755395683453238	0.06323825986747335	0.01301905007404712	1.2058729968429045	True	False	False	False
GZMK	low	0.12608187134502924	0.013540766349755113	0.02158273381294964	0.02158273381294964	0.1044991375320796	5.841793372319688	True	True	True	True

# section 2: per-donor adaptive fraction and Delta = BM - PB
donor	group	n_NK_BM	n_NK_PB	frac_BM_score	frac_PB_score	frac_BM_strict	frac_PB_strict	delta_score	delta_strict
P1	GBM	174	146	0.09195402298850575	0.0821917808219178	0.05172413793103448	0.04794520547945205	0.009762242166587942	0.00377893245158243
P15	GBM	100	285	0.35	0.45964912280701753	0.18	0.15087719298245614	-0.10964912280701755	0.029122807017543856
P16	GBM	103	70	0.23300970873786409	0.3142857142857143	0.17475728155339806	0.17142857142857143	-0.0812760055478502	0.0033287101248266338
c9	control	54	104	0.018518518518518517	0.028846153846153848	0.0	0.0	-0.01032763532763533	0.0
