dataset	donor	compartment	n_libraries	n_preQC	n_postQC	n_lost_to_QC	median_genes_postQC	frac_postQC_under_1000_genes	n_postQC_ge1000genes	earlyNK_permissive_preQC_n	earlyNK_permissive_postQC_n	earlyNK_permissive_postQC_X_upper95	earlyNK_permissive_postQC_X_upper95_sensCorrected	earlyNK_permissive_n_ge1000genes	earlyNK_strict_preQC_n	earlyNK_strict_postQC_n	earlyNK_TFvariant_preQC_n	earlyNK_TFvariant_postQC_n	CLP_like_preQC_n	CLP_like_postQC_n	CLP_like_postQC_X_upper95	prog_anchor_any_n	CD34_any_postQC_n	proB_control_preQC_n	proB_control_postQC_n	eryProg_control_preQC_n	eryProg_control_postQC_n	matureNK_marker_postQC_n	det_NK_IL2RB	det_PROG_CD34	det_PROG_KIT
GSE233304	P1	BM	1	5317	3579	1738	2821.0	0.113160100586756		4	4	0.0025557223695117			1	1	24	24	25	25	0.0097422956520251		12	0	0	0	0	32			
GSE233304	P15	BM	1	5176	4829	347	1593.0	0.0979498861047836		1	1	0.0009819892286805			0	0	7	7	8	8	0.0029871678026203		5	0	0	4	4	30			
GSE233304	P16	BM	1	3802	3351	451	1933.0	0.0850492390331244		3	3	0.0023121929228686			0	0	20	20	21	21	0.0090118551509233		31	0	0	5	5	23			
GSE233304	P2	BM	1	2034	1450	584	2788.0	0.1393103448275862		1	1	0.0032674101020635			0	0	5	5	5	5	0.0072365926271984		6	1	1	0	0	3			
GSE233304	P21	BM	1	1229	567	662	923.0	0.5291005291005291		1	1	0.0083390327300775			0	0	1	1	0	0	0.005269545413484		6	0	0	3	2	0			
GSE233304	P21	BMMC	1	10668	9272	1396	2080.0	0.0775452976704055		11	11	0.0019629462302912			1	1	38	38	42	42	0.0058550281724409		290	21	21	34	34	68			
GSE233304	P22	BM	1	6172	5623	549	2221.0	0.0382358171794415		1	1	0.0008433728523276			0	0	8	8	9	9	0.0027913663218918		9	1	1	4	4	2			
GSE233304	P22	BMMC	1	8639	8295	344	2184.0	0.0394213381555153		10	10	0.0020440145703023			1	1	26	26	30	30	0.0049022635151065		164	37	37	24	24	78			
GSE233304	P24	BM	1	7481	5052	2429	1851.5	0.1045130641330166		5	5	0.0020798296775737			1	1	14	14	17	16	0.0048062578875099		22	3	3	24	24	79			
GSE233304	P24	BMMC	1	9026	8219	807	2262.0	0.0363791215476335		1	1	0.0005770512481474			0	0	17	17	18	18	0.0032458516346728		73	0	0	29	29	434			
GSE233304	P4	BM	1	1949	1679	270	1774.0	0.069088743299583		1	1	0.0028222625511308			0	0	4	4	6	6	0.0070409763610039		44	3	3	18	18	28			
GSE233304	P7	BM	1	1140	933	207	2387.0	0.052518756698821		0	0	0.0032057105880055			0	0	2	2	2	2	0.006732385306031		3	0	0	0	0	1			
GSE233304	P8	BM	1	2581	1783	798	2004.0	0.0650588895120583		1	1	0.0026578165735541			0	0	3	3	3	3	0.0043428636904417		3	1	1	1	1	24			
GSE233304	P9	BM	1	2433	2186	247	2728.5	0.0279048490393412		4	4	0.0041824032226709			0	0	19	19	19	19	0.0127276218466842		7	1	1	2	2	5			
GSE233304	c10	BM	1	2014	1716	298	3497.0	0.1089743589743589		1	1	0.002761475945852			0	0	4	4	4	4	0.0053262125924922		9	0	0	0	0	13			
GSE233304	c4	BM	1	565	215	350	2330.0	0.2558139534883721		0	0	0.0138370146354947			0	0	0	0	0	0	0.0138370146354947		6	1	1	0	0	1			
GSE233304	c5	BM	1	1513	1298	215	3306.5	0.049306625577812		1	1	0.0036494827170245			0	0	2	2	2	2	0.0048423602487879		2	0	0	0	0	9			
GSE233304	c8	BM	1	6848	6001	847	2690.0	0.05399100149975		11	11	0.003032257955618			1	1	42	42	45	45	0.0096040332434888		27	7	7	7	7	8			
GSE233304	c9	BM	1	7042	5037	2005	3007.0	0.058169545364304		4	4	0.0018163266194256			0	0	15	15	15	15	0.0045818070969954		28	13	13	14	14	34			
HCA_ICA	MantonBM1	BM	9	51101	44718	6383	776.0	0.8139228051343977	8321.0	5	5	0.0002350817762977	0.0005148230225134392	3.0	0	0	31	31	51	51	0.0014399638110201	1111.0	638	125	125	452	452	828	0.4566263861899519	0.5700663368010974	0.5558633492375274
HCA_ICA	MantonBM2	BM	9	57123	51340	5783	748.0	0.8340085703155434	8522.0	1	1	9.239757603414277e-05	0.0002460971994345079	0.0	0	0	7	7	16	16	0.0004732999418588	444.0	324	121	121	65	65	4045	0.37545155429016525	0.7268028460928162	0.34332631490029697
HCA_ICA	MantonBM3	BM	9	53326	45640	7686	716.0	0.8318580192813322	7674.0	1	1	0.0001039366773101	0.0009080672057418231	1.0	0	0	12	12	18	18	0.0005847771390253	713.0	436	40	40	195	195	2014	0.11445923457305288	0.6083182589536484	0.4670955813676968
