level,condition,gene,n,sd,iqr,se_mean,cv,spread_pp,patient
inter_donor,normal,CCL3,20,0.16141835330345897,0.270337010276348,0.0360942410802612,0.3259070254004227,,
inter_donor,normal,CCL4,20,0.14982050720930087,0.15076764837794254,0.033500883854349406,0.19331638788220926,,
inter_donor,normal,CCL5,20,0.18855531121005198,0.2150367150781124,0.042162249338430435,0.2545407848626206,,
inter_donor,normal,XCL1,20,0.06684327917328312,0.049883286234290045,0.014946611607045699,0.7186591942326704,,
inter_donor,tumor,CCL3,19,0.13776029853746058,0.174314974703432,0.03160437998719919,0.3732476747905594,,
inter_donor,tumor,CCL4,19,0.17417063111722006,0.17563616861447784,0.03995748315645594,0.2864408882102068,,
inter_donor,tumor,CCL5,19,0.1848963883326859,0.25913099866628564,0.04241814061935951,0.3202027244786096,,
inter_donor,tumor,XCL1,19,0.06286781404386065,0.0528218480803808,0.014422865695710298,0.6267546999033897,,
technical_single_donor,normal,CCL3,2,0.0066933704777631465,,,,0.9465855307640325,522.0
technical_single_donor,normal,CCL4,2,0.022629966853389548,,,,3.2003606040117094,522.0
technical_single_donor,normal,CCL5,2,0.01099625149918229,,,,1.5551048005409074,522.0
technical_single_donor,normal,XCL1,2,0.019442647578264378,,,,2.7496055893621896,522.0
technical_single_donor,tumor,CCL3,2,0.05819401847848722,,,,8.229877018126713,522.0
technical_single_donor,tumor,CCL4,2,0.019823883065263684,,,,2.8035204289794224,522.0
technical_single_donor,tumor,CCL5,2,0.045129214046702164,,,,6.382234656408459,522.0
technical_single_donor,tumor,XCL1,2,0.023739203005388534,,,,3.35723028501486,522.0
