batch,patient,mode,n_cells,n_droplets,has_adt,med_umi
1,370,single,3418,737280,False,1926.5
2,370,single,2309,737280,False,2331.0
3,371,single,3859,737280,False,2235.0
4,371,single,6613,737280,False,2620.0
5,377,single,5049,737280,False,2471.0
6,377,single,2075,737280,False,2115.0
7,378,single,18241,737280,False,1266.0
8,378,single,5778,737280,False,2200.5
9,393,single,5395,737280,False,3555.0
10,403,single,6138,737280,False,5449.5
11,403,single,4229,737280,False,5269.0
14,406,single,3077,737280,False,3293.0
15,406,single,4457,737280,False,3464.0
16,408,single,4226,737280,False,3124.0
17,408,single,5904,737280,False,4204.5
18,410,single,5378,737280,False,4356.0
19,410,single,6576,737280,False,3031.5
22,458,single,670,737280,False,1569.5
23,458,single,936,737280,False,1542.5
24,460,single,1031,737280,False,2398.0
25,460,single,768,737280,False,2230.5
26,464,single,415,737280,False,2479.0
27,464,single,321,737280,False,3979.0
28,514,single,3724,737280,False,3092.5
29,514,single,3663,737280,False,2817.0
30,522,single,4153,737280,False,2730.0
31,522,single,5840,737280,False,3491.0
32,532,single,3253,737280,False,1343.0
33,532,single,2301,737280,False,1207.0
36,558,single,4170,737280,False,1016.0
37,564,single,7990,737280,False,2803.0
38,564,single,11692,737280,False,2074.5
39,569,single,3558,737280,False,2109.5
40,569,single,3764,737280,False,2302.0
41,570,single,5240,737280,False,2461.0
42,570,single,2779,737280,False,3198.0
43,571,single,6628,737280,False,1932.0
44,572,single,5211,737280,False,2401.0
45,572,single,5923,737280,False,2835.0
46,578,single,4077,737280,False,2302.0
47,578,single,6484,737280,False,2233.0
48,581,hashed,5488,737280,True,2161.0
49,581,single,6008,737280,False,1910.0
50,581,single,5243,737280,False,1944.0
51,584,hashed,4727,737280,True,2302.0
52,584,hashed,4352,737280,True,2455.5
53,593,hashed,16415,737280,True,1617.0
54,596,hashed,8128,737280,True,1935.0
55,596,hashed,7538,737280,True,1875.0
56,630,hashed,16861,737280,True,2192.0
88,626,hashed,17571,737280,True,2927.0
89,626,hashed,7415,737280,True,3235.0
90,695|mouse_a20,hashed,14723,737280,True,2605.0
91,695|mouse_a20,hashed,14467,737280,True,2569.0
92,695|mouse_a20,hashed,14799,737280,True,2572.0
93,695|mouse_a20,hashed,14413,737280,True,2631.0
230,338,single,4685,737280,False,1261.0
231,338,single,1297,737280,False,1105.0
244,522,single,3886,737280,False,3545.5
245,522,single,5719,737280,False,4066.0
292,714,single,3068,737280,False,2836.5
293,714,single,2989,737280,False,2663.0
307,729,single,4860,737280,False,1867.0
308,729,single,5854,737280,False,2210.0
309,725,single,8301,6794880,False,3602.0
342,706|mouse_a20,hashed,10301,737280,True,2384.0
343,706|mouse_a20,hashed,10466,737280,True,2554.5
344,706|mouse_a20,hashed,10393,737280,True,2509.0
345,706|mouse_a20,hashed,10582,737280,True,2525.5
346,706|mouse_a20,hashed,10446,737280,True,2527.5
347,706|mouse_a20,hashed,9872,737280,True,2533.0
348,706|mouse_a20,hashed,10644,737280,True,2631.0
668,800,single,4694,6794880,False,4284.0
