grp,n,CP10k,nCPM,rel_to_neuron_census
OPC,443293,0.08425648066990325,8.95,4.858245705082066
astrocyte,1170979,0.0861312735403378,8.5,4.966346640918573
endothelial,85057,1.0952714639669587,118.9,63.15357398516576
ependymal/choroid,24398,0.09784396010612349,11.15,5.6417025156332254
fibroblast,11706,0.22996728163791427,23.2,13.259959939507377
lymphocyte/leukocyte,14228,0.14107393215679273,30.2,8.134351441581092
microglia/CNS macrophage,383556,0.3384741668065885,35.5,19.516488869404228
mural/perivascular,73197,0.2187156894419677,14.05,12.611190859352595
neuron,8775453,0.017342984646034898,0.3,1.0
oligodendrocyte,2136661,0.06053886994931389,7.5,3.490683477203839
