suspension,cell_type,n,pos,umi,tot,donors,datasets,pct_pos,CP10k
cell,glutamatergic neuron,277287,336,381.0,978831842.0,28,6,0.12117409038288848,0.003892394828733003
cell,forebrain neuroblast,11450,67,72.0,92533226.0,12,5,0.5851528384279476,0.007780988852587934
cell,astrocyte,54358,3074,3840.0,541359664.0,28,5,5.655101365024468,0.07093251040587316
cell,glioblast,132555,3142,3687.0,1100233385.0,32,4,2.370336841311154,0.03351107183499981
cell,GABAergic neuron,17507,17,17.0,62970835.0,13,5,0.09710401553664248,0.002699662470729505
cell,sst GABAergic cortical interneuron,32627,135,144.0,428704366.0,81,3,0.4137677383761915,0.0033589580937461224
nucleus,neuron,2750564,42659,52624.0,60034471440.0,58,113,1.5509182843954912,0.008765630601510964
nucleus,oligodendrocyte precursor cell,441139,16193,33798.0,4005019647.0,784,142,3.670725100251848,0.08438909912793244
nucleus,oligodendrocyte,2136661,52453,79922.0,13201766083.0,744,144,2.4549051066126073,0.06053886994931389
nucleus,Bergmann glial cell,11923,239,283.0,57807548.0,21,21,2.004529061477816,0.04895554469807299
nucleus,astrocyte,1027773,34919,53331.0,6099254711.0,745,133,3.397540118294604,0.08743855196573048
nucleus,pericyte,32913,2650,4624.0,179528066.0,497,112,8.051529790660226,0.25756418497818606
nucleus,fibroblast,11706,759,938.0,40788411.0,21,102,6.483854433623783,0.22996728163791427
nucleus,vascular associated smooth muscle cell,2460,81,109.0,7662207.0,42,97,3.292682926829268,0.14225666312591137
nucleus,endothelial cell,55126,12740,36957.0,305323848.0,537,122,23.110691869535245,1.2104196983656514
nucleus,central nervous system macrophage,111323,8740,11277.0,353028743.0,41,104,7.85102808943345,0.3194357463409148
nucleus,leukocyte,5211,286,359.0,13399514.0,58,104,5.488389944348493,0.26792016486568093
cell,oligodendrocyte precursor cell,22322,499,585.0,122308750.0,108,8,2.2354627721530327,0.047829775056976706
cell,neuron,740125,1006,1132.0,5088724388.0,67,7,0.13592298598209762,0.002224526057393541
cell,oligodendrocyte,75271,1508,1738.0,297047774.0,108,4,2.0034276148848824,0.05850910702330326
cell,pericyte,997,17,17.0,5582786.0,10,3,1.7051153460381143,0.030450746276142412
cell,endothelial cell,2830,25,29.0,9606824.0,21,5,0.8833922261484098,0.030186875496001592
cell,progenitor cell,53546,140,145.0,174999540.0,19,3,0.2614574384641243,0.008285736065363371
cell,macrophage,13165,668,962.0,80329330.0,33,3,5.074060007595898,0.11975700531798286
cell,microglial cell,11632,489,572.0,47105371.0,86,8,4.203920220082531,0.1214298895979399
cell,vascular associated smooth muscle cell,3,0,0.0,1513.0,1,1,0.0,0.0
cell,cerebral cortex endothelial cell,872,168,357.0,8302444.0,58,2,19.26605504587156,0.42999386686619023
cell,vascular leptomeningeal cell,637,53,77.0,3545143.0,59,1,8.320251177394034,0.2171985728079234
cell,L5 extratelencephalic projecting glutamatergic cortical neuron,563,47,62.0,19453950.0,71,1,8.348134991119005,0.03187013434289694
nucleus,choroid plexus epithelial cell,10243,779,1218.0,135220756.0,12,25,7.605193790881578,0.09007492902938659
nucleus,ependymal cell,14155,764,983.0,89729256.0,55,62,5.397386082656305,0.10955178319989636
cell,fibroblast,14665,161,194.0,205906143.0,23,4,1.097852028639618,0.00942176844136214
cell,neuron associated cell,253,13,17.0,3226760.0,2,1,5.138339920948616,0.05268442648353147
cell,radial glial cell,778388,5669,6593.0,5387195441.0,53,5,0.7283000251802443,0.012238278845098243
cell,thalamic excitatory neuron,312,0,0.0,2671380.0,2,1,0.0,0.0
cell,Cajal-Retzius cell,3747,2,2.0,27234295.0,15,4,0.05337603416066186,0.0007343681927510883
nucleus,microglial cell,247894,20466,58534.0,1723967037.0,783,39,8.255948106852122,0.33953085380251385
nucleus,GABAergic interneuron,5020,21,21.0,99095413.0,16,6,0.41832669322709165,0.0021191697339209836
nucleus,glutamatergic neuron,1626999,10020,90113.0,36043421115.0,177,21,0.615857784792738,0.025001233848608823
nucleus,T cell,3773,252,319.0,8219833.0,336,12,6.679035250463822,0.38808574334782714
nucleus,unknown,125598,1904,5754.0,2740372011.0,174,10,1.5159477061736653,0.020997149207856218
nucleus,mural cell,7117,479,661.0,30561965.0,60,7,6.730363917380919,0.21628190464847402
nucleus,pvalb GABAergic cortical interneuron,268157,10980,23885.0,10485653350.0,538,21,4.094616213636042,0.022778742728511048
cell,erythrocyte,8483,11,11.0,80346579.0,27,2,0.1296711069197218,0.001369068868507768
cell,unknown,420549,3682,4397.0,2773830063.0,54,3,0.8755222340321818,0.01585172811648195
nucleus,macrophage,1123,117,145.0,2001850.0,18,5,10.418521816562778,0.7243299947548517
nucleus,GABAergic neuron,487838,1843,2208.0,2040436264.0,550,15,0.3777893481032638,0.010821215241840066
nucleus,mature microglial cell,17492,698,834.0,27973174.0,12,3,3.9903956094214497,0.2981427849410296
nucleus,mature astrocyte,2847,8,9.0,1638723.0,3,2,0.2809975412715139,0.0549208133406317
cell,caudal ganglionic eminence derived cortical interneuron,18085,77,87.0,153082860.0,85,2,0.42576721039535526,0.005683196668784474
nucleus,sst GABAergic cortical interneuron,254320,1443,4323.0,7100728094.0,533,17,0.5673954073608053,0.006088108068316072
nucleus,TAC3-positive striatal interneuron,728,9,9.0,36030898.0,2,1,1.2362637362637363,0.0024978561455781647
nucleus,glial cell,42607,52,54.0,42979344.0,14,3,0.12204567324618021,0.012564175013932274
cell,chandelier pvalb GABAergic cortical interneuron,1875,32,41.0,29908654.0,78,1,1.7066666666666668,0.013708406938005301
nucleus,interneuron,28114,51,56.0,108832709.0,43,5,0.1814042825638472,0.005145511906719146
nucleus,VIP GABAergic cortical interneuron,270521,3380,12291.0,9613213795.0,537,17,1.2494408936829304,0.012785526528488073
cell,inhibitory interneuron,11754,74,76.0,63747723.0,12,2,0.6295729113493279,0.01192199445304109
cell,neural progenitor cell,151140,1184,1524.0,1303870742.0,31,4,0.7833796480084689,0.011688275155728588
cell,glial cell,28080,585,729.0,273034401.0,14,3,2.0833333333333335,0.02669993221843133
nucleus,direct pathway medium spiny neuron,7989,44,57.0,297252695.0,14,2,0.5507572912755038,0.0019175604110166268
nucleus,indirect pathway medium spiny neuron,7320,35,44.0,252512605.0,14,2,0.4781420765027322,0.0017424872710809823
nucleus,immature microglial cell,63,4,5.0,61847.0,4,1,6.349206349206349,0.8084466506055266
cell,sncg GABAergic cortical interneuron,4112,19,24.0,49672760.0,77,1,0.46206225680933855,0.004831621999663397
nucleus,forebrain neuroblast,5657,27,29.0,18917625.0,12,1,0.47728477991868484,0.015329619865072915
nucleus,caudal ganglionic eminence derived cortical interneuron,19126,62,71.0,838412471.0,100,12,0.32416605667677506,0.0008468385485167718
nucleus,lamp5 GABAergic cortical interneuron,150442,2863,8411.0,6578269161.0,524,16,1.903058986187368,0.01278603808105869
nucleus,chandelier cell,490,5,5.0,3480311.0,11,1,1.0204081632653061,0.014366532186347715
nucleus,sncg GABAergic cortical interneuron,37565,249,275.0,548739423.0,87,10,0.6628510581658459,0.005011486116608028
nucleus,sst chodl GABAergic cortical interneuron,99,4,6.0,1300680.0,12,1,4.040404040404041,0.04612971676353907
nucleus,inhibitory interneuron,150254,171,198.0,256838914.0,56,8,0.11380728632848376,0.007709112179161449
nucleus,radial glial cell,60997,310,375.0,369968384.0,20,3,0.5082217158220896,0.010136001242744028
nucleus,medial ganglionic eminence derived interneuron,2386,8,8.0,9831927.0,11,1,0.3352891869237217,0.00813675691448889
nucleus,neural progenitor cell,16624,189,216.0,71702703.0,49,4,1.1369104908565928,0.030124387360961832
cell,lamp5 GABAergic cortical interneuron,12776,212,235.0,208469351.0,78,2,1.6593613024420788,0.011272640264515429
nucleus,endothelial cell of artery,2930,371,536.0,6832832.0,25,2,12.662116040955631,0.7844477955846126
nucleus,capillary endothelial cell,3936,506,848.0,10153619.0,25,2,12.855691056910569,0.8351701989211925
nucleus,cerebellar granule cell,56124,83,85.0,207101147.0,33,2,0.14788682203691825,0.004104274709787098
nucleus,committed oligodendrocyte precursor,2154,34,35.0,10457825.0,48,4,1.5784586815227484,0.033467762178081964
cell,L2/3-6 intratelencephalic projecting glutamatergic neuron,168793,4576,5782.0,4197844617.0,78,5,2.711012897454278,0.013773735160621834
cell,cerebellar granule cell precursor,561,3,3.0,577069.0,5,1,0.5347593582887701,0.05198685079253954
nucleus,cerebellar granule cell precursor,4526,9,10.0,16862100.0,23,2,0.19885108263367213,0.005930459432692251
cell,Purkinje cell,1855,1,1.0,7654236.0,10,2,0.05390835579514825,0.0013064661188915523
nucleus,Purkinje cell,380123,367,381.0,796819874.0,33,4,0.09654769640353254,0.004781507244383817
cell,meningeal macrophage,107,0,0.0,191290.0,3,2,0.0,0.0
nucleus,meningeal macrophage,493,8,8.0,2297885.0,16,2,1.6227180527383367,0.03481462301203063
cell,interneuron,33109,53,56.0,100490287.0,24,3,0.16007732036606362,0.005572677884779054
cell,Bergmann glial cell,590,8,8.0,3237830.0,4,2,1.3559322033898304,0.024707906221141936
cell,ependymal cell,329,7,8.0,414231.0,5,1,2.127659574468085,0.19312895461710977
nucleus,granule cell,97265,26,27.0,85486274.0,13,2,0.02673109546085437,0.003158401780384065
cell,granule cell,579,0,0.0,472842.0,5,1,0.0,0.0
cell,choroid plexus epithelial cell,22905,435,544.0,261350535.0,14,3,1.8991486574983627,0.020814956433894423
cell,GABAergic interneuron,278,0,0.0,939611.0,3,2,0.0,0.0
nucleus,brainstem motor neuron,2412,4,4.0,5786693.0,8,1,0.16583747927031509,0.006912410940065422
cell,brainstem motor neuron,437,1,1.0,434933.0,4,1,0.2288329519450801,0.022992047050925085
cell,near-projecting glutamatergic cortical neuron,6133,69,77.0,126951093.0,78,1,1.1250611446274255,0.006065327850308465
nucleus,smooth muscle cell,7543,520,908.0,28936274.0,365,5,6.893808829378232,0.31379299214542966
nucleus,vein endothelial cell,1744,346,526.0,8505366.0,9,1,19.839449541284402,0.6184331162233347
nucleus,perivascular macrophage,5724,893,1359.0,24624664.0,410,5,15.600978336827394,0.5518857028871541
nucleus,vascular leptomeningeal cell,22487,1372,1825.0,126911943.0,499,17,6.101302975052253,0.14380049322860025
cell,corticothalamic-projecting glutamatergic cortical neuron,7156,307,372.0,190208637.0,78,1,4.290106204583566,0.01955747151481875
nucleus,dopaminergic neuron,17676,194,210.0,583886549.0,12,3,1.0975333785924417,0.003596589103819208
cell,L6b glutamatergic cortical neuron,24566,103,108.0,266213632.0,81,2,0.4192786778474314,0.004056892172974823
nucleus,macroglial cell,42294,112,117.0,82576850.0,28,2,0.264812975835816,0.014168619897707409
nucleus,neuroblast (sensu Vertebrata),12966,83,92.0,67204130.0,23,3,0.640135739626716,0.01368963484833447
nucleus,unipolar brush cell,56478,20,20.0,33533585.0,18,2,0.03541201883919402,0.0059641699508119995
nucleus,progenitor cell,2348,7,10.0,8789231.0,15,2,0.2981260647359455,0.011377559652260817
nucleus,glioblast,48231,686,888.0,194718066.0,18,3,1.4223217432771453,0.0456043970773621
nucleus,noradrenergic cell,138,0,0.0,885634.0,10,1,0.0,0.0
nucleus,brain vascular cell,9228,1634,2709.0,51701291.0,55,3,17.706978760294756,0.5239714420284012
nucleus,erythroid lineage cell,276,107,223.0,1949996.0,22,2,38.768115942028984,1.1435920894196705
nucleus,immature astrocyte,5073,188,224.0,20464918.0,34,2,3.705893948354031,0.10945560593010928
nucleus,medium spiny neuron,214,3,3.0,9855037.0,6,1,1.4018691588785046,0.003044128601445129
cell,forebrain radial glial cell,59413,1460,1612.0,329937662.0,17,3,2.4573746486459194,0.04885771421875445
cell,neuroblast (sensu Vertebrata),407504,1025,1126.0,2900378324.0,43,3,0.2515312733126546,0.0038822521554605304
cell,neuronal-restricted precursor,533,0,0.0,2342329.0,1,1,0.0,0.0
cell,glioblast (sensu Vertebrata),73,1,1.0,437711.0,1,1,1.36986301369863,0.022846124497670837
cell,epithelial cell,870,11,12.0,5968831.0,9,3,1.264367816091954,0.020104439210961073
cell,Schwann cell precursor,126,6,7.0,756511.0,1,1,4.761904761904762,0.0925300491334561
cell,Schwann cell,175,0,0.0,282693.0,1,1,0.0,0.0
cell,choroid plexus macrophage,254,14,16.0,1568670.0,1,1,5.511811023622047,0.10199723332504605
cell,pinealocyte,30,3,3.0,684674.0,1,1,10.0,0.04381647324127979
cell,fibrocyte,23,0,0.0,219095.0,1,1,0.0,0.0
cell,leptomeningeal cell,13072,122,129.0,109140599.0,1,1,0.9332925336597307,0.01181961627313407
cell,arachnoid barrier cell,123,8,8.0,1129080.0,1,1,6.504065040650406,0.07085414673893789
cell,fibroblast of choroid plexus,6194,52,59.0,37626167.0,3,2,0.8395221181788828,0.01568057676456919
cell,mesenchymal cell,3391,65,68.0,25009162.0,4,2,1.9168386906517252,0.027190035395828135
cell,perivascular cell,882,3,3.0,3785374.0,1,1,0.3401360544217687,0.007925240676350606
cell,mesothelial cell of dura mater,2,0,0.0,4744.0,1,1,0.0,0.0
cell,mesenchyme condensation cell,8,0,0.0,47733.0,1,1,0.0,0.0
cell,smooth muscle cell,536,2,2.0,1653145.0,3,2,0.373134328358209,0.012098152309688503
cell,vein endothelial cell,37,2,2.0,434250.0,1,1,5.405405405405405,0.04605641911341393
cell,capillary endothelial cell,1374,133,166.0,19832318.0,1,1,9.67976710334789,0.08370176395921042
cell,embryonic blood vessel endothelial progenitor cell,21,0,0.0,108572.0,1,1,0.0,0.0
cell,endothelial cell of arteriole,30,3,3.0,201999.0,1,1,10.0,0.1485155867108253
cell,tip cell,66,1,1.0,338308.0,1,1,1.5151515151515151,0.02955886352081535
cell,endothelial cell of artery,348,42,67.0,4231644.0,1,1,12.068965517241379,0.1583308992911502
cell,mucosa-associated lymphoid tissue macrophage,1460,161,192.0,13321686.0,1,1,11.027397260273972,0.14412590118097665
cell,monocyte,205,1,1.0,217158.0,4,2,0.4878048780487805,0.046049420237799205
cell,dendritic cell,37,3,4.0,189176.0,5,2,8.108108108108109,0.21144331204803993
cell,promyelocyte,3,0,0.0,28757.0,1,1,0.0,0.0
cell,metamyelocyte,7,0,0.0,20203.0,1,1,0.0,0.0
cell,B cell,17,0,0.0,22436.0,4,2,0.0,0.0
cell,innate lymphoid cell,27,2,2.0,152373.0,1,1,7.407407407407407,0.13125684996685766
cell,natural killer cell,37,1,1.0,161916.0,1,1,2.7027027027027026,0.06176041898268238
cell,mast cell,11,0,0.0,95783.0,1,1,0.0,0.0
cell,common myeloid progenitor,4,0,0.0,53041.0,1,1,0.0,0.0
cell,megakaryocyte,23,0,0.0,135433.0,1,1,0.0,0.0
cell,platelet,19,0,0.0,72580.0,1,1,0.0,0.0
cell,erythroid progenitor cell,16,0,0.0,23526.0,4,2,0.0,0.0
cell,erythroblast,407,0,0.0,3544642.0,1,1,0.0,0.0
cell,reticulocyte,3860,2,2.0,17256166.0,1,1,0.05181347150259067,0.0011590060039988026
nucleus,perivascular cell,4552,558,825.0,13533597.0,10,1,12.258347978910368,0.6095940347566134
nucleus,glycinergic neuron,2458,2,7.0,9856496.0,8,1,0.08136696501220504,0.007101915325689778
nucleus,sensory neuron of dorsal root ganglion,449,0,0.0,1414679.0,6,1,0.0,0.0
nucleus,serotonergic neuron,547,0,0.0,2096677.0,4,1,0.0,0.0
nucleus,neuroblast (sensu Nematoda and Protostomia),1889,5,5.0,7166988.0,8,1,0.2646903123345686,0.006976431382332439
nucleus,Schwann cell,1216,36,49.0,4374561.0,5,1,2.960526315789474,0.11201123952780634
nucleus,immature T cell,108,8,15.0,414215.0,7,1,7.407407407407407,0.3621307774947793
cell,astrocyte of the cerebral cortex,16319,1065,1458.0,147222501.0,78,1,6.526135179851707,0.09903377473528996
cell,neutrophil,154,5,5.0,91171.0,6,1,3.2467532467532467,0.548420001974312
cell,professional antigen presenting cell,42,0,0.0,22060.0,5,1,0.0,0.0
cell,stromal cell,16,0,0.0,9623.0,5,1,0.0,0.0
cell,T cell,61,1,1.0,39996.0,4,1,1.639344262295082,0.25002500250025
cell,plasma cell,27,0,0.0,32577.0,1,1,0.0,0.0
cell,enterocyte,1,0,0.0,8682.0,1,1,0.0,0.0
cell,goblet cell,1,0,0.0,3755.0,1,1,0.0,0.0
cell,endocrine cell,197,1,1.0,178860.0,4,1,0.5076142131979695,0.05590965000559096
cell,mesenchymal stem cell,607,0,0.0,382423.0,5,1,0.0,0.0
cell,primordial germ cell,49,0,0.0,26515.0,4,1,0.0,0.0
cell,erythroid lineage cell,86,1,1.0,59943.0,3,1,1.1627906976744187,0.16682515055969838
cell,embryonic stem cell,2,0,0.0,888.0,1,1,0.0,0.0
cell,cord blood hematopoietic stem cell,4,0,0.0,2543.0,3,1,0.0,0.0
nucleus,L4/5 intratelencephalic projecting glutamatergic neuron,7153,735,6419.0,1436036353.0,11,1,10.275408919334545,0.044699425516562814
nucleus,L2/3 intratelencephalic projecting glutamatergic neuron,268706,9318,18954.0,9219989119.0,469,6,3.467730530765967,0.020557507992000484
nucleus,L6 intratelencephalic projecting glutamatergic neuron,37513,2203,5256.0,1554018605.0,444,5,5.872630821315277,0.03382198889439937
nucleus,L6 corticothalamic-projecting glutamatergic cortical neuron,23119,1683,11834.0,3929793419.0,421,6,7.2797266317747304,0.030113542210092444
nucleus,near-projecting glutamatergic cortical neuron,39979,399,1994.0,2242429755.0,86,11,0.9980239625803546,0.008892140302517525
nucleus,L6b glutamatergic cortical neuron,47404,630,4728.0,3307729771.0,92,12,1.3290017720023626,0.014293791595226417
nucleus,L5 extratelencephalic projecting glutamatergic cortical neuron,12218,1599,3512.0,806593615.0,285,15,13.087248322147651,0.04354113316406553
nucleus,L3 intratelencephalic projecting glutamatergic neuron,912,77,423.0,141796753.0,11,1,8.442982456140351,0.02983143062521326
cell,pvalb GABAergic cortical interneuron,19711,552,634.0,368340441.0,78,1,2.8004667444574096,0.017212337539662118
nucleus,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,4206,149,181.0,82234981.0,4,1,3.5425582501188777,0.022010098111410765
nucleus,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,1215,13,13.0,16433403.0,4,1,1.0699588477366255,0.007910716970794181
nucleus,chandelier pvalb GABAergic cortical interneuron,22510,645,764.0,398553827.0,52,9,2.8653931585961794,0.019169305329490665
nucleus,B cell,321,34,41.0,922696.0,84,4,10.59190031152648,0.44435003511449056
nucleus,myeloid cell,81,13,19.0,162354.0,4,1,16.049382716049383,1.1702822227970977
nucleus,cortical interneuron,16416,133,142.0,100439463.0,12,1,0.8101851851851852,0.014137869295458102
cell,VIP GABAergic cortical interneuron,28718,196,215.0,346942841.0,78,1,0.6824987812521763,0.006196986206151462
nucleus,corticothalamic-projecting glutamatergic cortical neuron,61150,3029,4083.0,1945957513.0,75,9,4.953393295175797,0.02098195861278293
nucleus,astrocyte of the cerebral cortex,96271,5413,6908.0,919756946.0,48,8,5.622669339676538,0.07510679892163598
nucleus,cerebral cortex endothelial cell,2979,732,1199.0,19603215.0,48,8,24.57200402819738,0.6116343671178427
nucleus,L2/3-6 intratelencephalic projecting glutamatergic neuron,1327883,57532,113590.0,49007173655.0,479,12,4.3326106290991,0.02317823933280651
nucleus,intratelencephalic-projecting glutamatergic cortical neuron,14400,34,38.0,99729978.0,27,1,0.2361111111111111,0.003810288617530829
nucleus,forebrain radial glial cell,16662,209,241.0,96903126.0,27,1,1.2543512183411356,0.024870198717841158
nucleus,medial ganglionic eminence derived GABAergic cortical interneuron,4213,8,11.0,17449406.0,25,1,0.18988844054118206,0.006303939515190374
nucleus,L5 intratelencephalic projecting glutamatergic neuron,9638,86,89.0,111596778.0,24,1,0.8923013073251712,0.007975140644293511
nucleus,L4 intratelencephalic projecting glutamatergic neuron,20288,169,185.0,219218915.0,27,1,0.8330047318611987,0.00843905280709924
nucleus,Cajal-Retzius cell,865,4,4.0,5140075.0,26,1,0.4624277456647399,0.007781987616912204
nucleus,endothelial cell of vascular tree,18342,610,716.0,21927167.0,20,2,3.325700577908625,0.32653557114788245
nucleus,neural cell,518980,2151,2330.0,2647247991.0,103,1,0.414466838799183,0.00880159323161802
