suspension,cell_type,n,pos,umi,tot,donors,datasets,pct_pos,CP10k
nucleus,endothelial cell,55126,12740,36957.0,305323848.0,537,122,23.110691869535245,1.2104196983656514
nucleus,capillary endothelial cell,3936,506,848.0,10153619.0,25,2,12.855691056910567,0.8351701989211925
nucleus,endothelial cell of artery,2930,371,536.0,6832832.0,25,2,12.662116040955633,0.7844477955846126
nucleus,macrophage,1123,117,145.0,2001850.0,18,5,10.418521816562778,0.7243299947548517
nucleus,vein endothelial cell,1744,346,526.0,8505366.0,9,1,19.8394495412844,0.6184331162233347
nucleus,cerebral cortex endothelial cell,2979,732,1199.0,19603215.0,48,8,24.57200402819738,0.6116343671178427
nucleus,perivascular cell,4552,558,825.0,13533597.0,10,1,12.258347978910368,0.6095940347566134
nucleus,perivascular macrophage,5724,893,1359.0,24624664.0,410,5,15.600978336827394,0.5518857028871541
nucleus,brain vascular cell,9228,1634,2709.0,51701291.0,55,3,17.706978760294756,0.5239714420284012
nucleus,smooth muscle cell of the brain vasculature,677,64,91.0,2138479.0,9,1,9.453471196454949,0.4255360936441274
nucleus,T cell,3773,252,319.0,8219833.0,336,12,6.679035250463822,0.3880857433478271
nucleus,microglial cell,247894,20466,58534.0,1723967037.0,783,39,8.255948106852122,0.3395308538025138
nucleus,endothelial cell of vascular tree,18342,610,716.0,21927167.0,20,2,3.325700577908625,0.3265355711478824
nucleus,central nervous system macrophage,111323,8740,11277.0,353028743.0,41,104,7.85102808943345,0.3194357463409148
nucleus,smooth muscle cell,7543,520,908.0,28936274.0,365,5,6.893808829378232,0.3137929921454296
nucleus,natural killer cell,1170,100,115.0,3788257.0,283,3,8.547008547008547,0.3035696891736754
nucleus,mature microglial cell,17492,698,834.0,27973174.0,12,3,3.9903956094214497,0.2981427849410296
nucleus,leukocyte,5211,286,359.0,13399514.0,58,104,5.488389944348493,0.2679201648656809
nucleus,pericyte,32913,2650,4624.0,179528066.0,497,112,8.051529790660226,0.257564184978186
nucleus,fibroblast,11706,759,938.0,40788411.0,21,102,6.483854433623783,0.2299672816379142
nucleus,mural cell,7117,479,661.0,30561965.0,60,7,6.730363917380919,0.216281904648474
nucleus,vascular leptomeningeal cell,22487,1372,1825.0,126911943.0,499,17,6.101302975052253,0.1438004932286002
nucleus,hippocampal astrocyte,27092,852,985.0,69205229.0,9,1,3.144839805108519,0.1423302854759717
nucleus,vascular associated smooth muscle cell,2460,81,109.0,7662207.0,42,97,3.292682926829268,0.1422566631259113
nucleus,Schwann cell,1216,36,49.0,4374561.0,5,1,2.960526315789474,0.1120112395278063
nucleus,ependymal cell,14155,764,983.0,89729256.0,55,62,5.397386082656305,0.1095517831998963
nucleus,immature astrocyte,5073,188,224.0,20464918.0,34,2,3.705893948354031,0.1094556059301092
nucleus,choroid plexus epithelial cell,10243,779,1218.0,135220756.0,12,25,7.605193790881578,0.0900749290293865
nucleus,astrocyte,1027773,34919,53331.0,6099254711.0,745,133,3.397540118294604,0.0874385519657304
nucleus,oligodendrocyte precursor cell,441139,16193,33798.0,4005019647.0,784,142,3.670725100251848,0.0843890991279324
nucleus,astrocyte of the cerebral cortex,96271,5413,6908.0,919756946.0,48,8,5.622669339676538,0.0751067989216359
nucleus,oligodendrocyte,2136661,52453,79922.0,13201766083.0,744,144,2.4549051066126077,0.0605388699493138
nucleus,mature astrocyte,2847,8,9.0,1638723.0,3,2,0.2809975412715139,0.0549208133406317
nucleus,mesenchymal cell,4873,156,173.0,35094135.0,1,1,3.201313359326903,0.0492959863521354
