dataset,grp,n,umi,tot,CP10k
470565f2-5afc-456a-b617-18e4496c04fd,neuron,1731,46.0,24858510.0,0.018504729366321634
470565f2-5afc-456a-b617-18e4496c04fd,OPC,281,6.0,1067390.0,0.056211881317981244
470565f2-5afc-456a-b617-18e4496c04fd,oligodendrocyte,2139,35.0,7690363.0,0.045511505763772137
470565f2-5afc-456a-b617-18e4496c04fd,astrocyte,344,18.0,1361290.0,0.13222751948519418
470565f2-5afc-456a-b617-18e4496c04fd,mural,14,0.0,36428.0,0.0
470565f2-5afc-456a-b617-18e4496c04fd,endothelial,10,8.0,28935.0,2.764817694833247
470565f2-5afc-456a-b617-18e4496c04fd,microglia,157,7.0,346885.0,0.20179598425991324
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,microglia,400,21.0,748216.0,0.2806676146994985
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,endothelial,20,2.0,38182.0,0.5238070294903358
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,mural,22,1.0,56785.0,0.17610284406093157
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,astrocyte,182,2.0,527601.0,0.03790743383731267
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,OPC,380,7.0,1263212.0,0.055414293087779405
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,oligodendrocyte,3491,21.0,8977859.0,0.02339087749094745
f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,neuron,2309,20.0,41068522.0,0.004869909854559655
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,microglia,74,8.0,163640.0,0.48887802493277926
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,endothelial,66,10.0,125688.0,0.7956209025523518
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,mural,39,3.0,73891.0,0.4060034374957708
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,oligodendrocyte,5011,71.0,11678172.0,0.0607971864089688
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,OPC,194,1.0,466724.0,0.021425939098910704
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,neuron,7147,42.0,49544966.0,0.008477147809527208
0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,astrocyte,350,10.0,764572.0,0.13079212945281804
a5b5d1f3-dd8b-44f6-a685-15f0f741c062,microglia,836,41.0,1754860.0,0.23363687131737004
a5b5d1f3-dd8b-44f6-a685-15f0f741c062,mural,45,2.0,102122.0,0.19584418636532774
