细胞类型,键,队列,nMS,n对照,率MS,率对照,log2比值,lo,hi,p
少突胶质,oligodendrocyte,GSE180759,5,3,0.015153494448073155,0.010084033613445379,0.5828307037916414,-0.33175551366846445,2.6001104496173353,0.25
少突胶质,oligodendrocyte,GSE279180,7,6,0.036920659858601726,0.01042950474977376,1.8138930286387867,0.6224595892959259,2.301347914439863,0.004662004662004662
少突胶质,oligodendrocyte,Schirmer 2019,10,3,0.013095506886430346,0.01179245283018868,0.1500004677286748,-0.4069882170515653,1.005922667974926,0.8111888111888111
小胶质/巨噬,microglia,GSE180759,5,2,0.08130081300813008,0.023412698412698413,,,,
小胶质/巨噬,microglia,GSE279180,7,3,0.08374384236453201,0.06382978723404255,0.39121654129539474,-0.0681399626080137,1.7015461715507274,0.18333333333333335
小胶质/巨噬,microglia,Schirmer 2019,6,1,0.042195797737243135,0.02702702702702703,,,,
星形胶质,astrocyte,GSE180759,5,3,0.029205607476635514,0.02564102564102564,0.1871072049870559,-3.5537167894058,0.4963481218321881,0.7857142857142857
星形胶质,astrocyte,GSE279180,7,4,0.0391156462585034,0.03920338114754099,-0.00322405272163806,-1.7518349374674962,1.0835214145024974,0.7878787878787878
星形胶质,astrocyte,Schirmer 2019,11,5,0.020161290322580645,0.017467248908296942,0.2058377758171961,-0.8741326612060876,1.3397278139926945,0.6611721611721613
OPC,OPC,GSE180759,5,3,0.008797653958944282,0.0,6.475353086250828,-6.977279923499916,7.296916206879288,0.5252340496337509
OPC,OPC,GSE279180,7,4,0.014925373134328358,0.023821721311475412,-0.6709203851270686,-8.29232163280204,0.5345451747985805,0.25466858331364683
OPC,OPC,Schirmer 2019,11,5,0.01056338028169014,0.005681818181818182,0.8830696967212202,-1.2041363014366855,6.736521033368278,0.3633589315678787
神经元,neuron,GSE180759,4,0,0.0018181818181818182,,,,,
神经元,neuron,GSE279180,4,1,0.0024449877750611247,0.0,,,,
神经元,neuron,Schirmer 2019,12,9,0.004728988369541365,0.002617801047120419,0.8292811393627861,-1.6444238010815644,6.011049725731171,0.5871536918062479
内皮/血管,endothelial,GSE180759,5,0,0.0975609756097561,,,,,
内皮/血管,endothelial,GSE279180,5,2,0.10810810810810811,0.10677382319173365,,,,
内皮/血管,endothelial,Schirmer 2019,3,0,0.14285714285714285,,,,,
