区室,队列,细胞类型,供体,状态,核数,阳性,UMI中位,检出率
皮层下白质,GSE180759,OPC,09_034,MS,192,3,4043.0,0.015625
皮层下白质,GSE180759,OPC,09_067,MS,148,0,3315.5,0.0
皮层下白质,GSE180759,OPC,11_69,Control,32,0,4547.0,0.0
皮层下白质,GSE180759,OPC,12_002,Control,99,0,3943.0,0.0
皮层下白质,GSE180759,OPC,12_078,MS,341,3,3175.0,0.008797653958944282
皮层下白质,GSE180759,OPC,13_015,MS,230,0,4039.0,0.0
皮层下白质,GSE180759,OPC,13_047,MS,343,5,3247.0,0.014577259475218658
皮层下白质,GSE180759,OPC,14_043,Control,80,1,2995.5,0.0125
皮层下白质,GSE180759,astrocyte,09_034,MS,421,15,3594.0,0.035629453681710214
皮层下白质,GSE180759,astrocyte,09_067,MS,551,4,2706.0,0.007259528130671506
皮层下白质,GSE180759,astrocyte,11_69,Control,39,1,4487.0,0.02564102564102564
皮层下白质,GSE180759,astrocyte,12_002,Control,47,1,3512.0,0.02127659574468085
皮层下白质,GSE180759,astrocyte,12_078,MS,478,1,3246.0,0.0020920502092050207
皮层下白质,GSE180759,astrocyte,13_015,MS,732,22,3800.5,0.030054644808743168
皮层下白质,GSE180759,astrocyte,13_047,MS,2568,75,3255.0,0.029205607476635514
皮层下白质,GSE180759,astrocyte,14_043,Control,112,4,2822.0,0.03571428571428571
皮层下白质,GSE180759,endothelial,09_034,MS,85,11,3023.0,0.12941176470588237
皮层下白质,GSE180759,endothelial,09_067,MS,219,10,2873.0,0.045662100456621
皮层下白质,GSE180759,endothelial,12_078,MS,145,9,2857.0,0.06206896551724138
皮层下白质,GSE180759,endothelial,13_015,MS,123,12,3069.0,0.0975609756097561
皮层下白质,GSE180759,endothelial,13_047,MS,479,50,2915.0,0.10438413361169102
皮层下白质,GSE180759,lymphocyte,12_078,MS,70,5,2624.0,0.07142857142857142
皮层下白质,GSE180759,lymphocyte,13_015,MS,34,4,2058.0,0.11764705882352941
皮层下白质,GSE180759,lymphocyte,13_047,MS,78,7,2062.0,0.08974358974358974
皮层下白质,GSE180759,microglia,09_034,MS,446,28,2666.5,0.06278026905829596
皮层下白质,GSE180759,microglia,09_067,MS,369,30,2426.0,0.08130081300813008
皮层下白质,GSE180759,microglia,12_002,Control,105,2,2325.0,0.01904761904761905
皮层下白质,GSE180759,microglia,12_078,MS,846,27,2863.5,0.031914893617021274
皮层下白质,GSE180759,microglia,13_015,MS,309,37,2806.0,0.11974110032362459
皮层下白质,GSE180759,microglia,13_047,MS,1604,138,2760.0,0.08603491271820449
皮层下白质,GSE180759,microglia,14_043,Control,36,1,1757.0,0.027777777777777776
