细胞类型,状态,白质中位CPM,灰质中位CPM,白质比灰质,p,n白质供体,n灰质供体,q_BH
少突胶质,正常,4.262007026052413,3.313665866851806,1.286190942993776,0.4583879087179338,9,7,0.5729848858974173
少突胶质,MS,10.247388341266106,5.15535306930542,1.9877180483094896,0.026229387834857,12,12,0.08743129278285666
小胶质/巨噬,MS,36.111003285758514,15.399444580078123,2.344954916911381,0.0016481779776653,12,12,0.016481779776653
星形胶质,正常,9.67141371890036,2.8959195613861084,3.3396693222622584,0.0458110224742838,9,9,0.1145275561857095
星形胶质,MS,8.80357896110502,4.027528762817383,2.185851294814004,0.0225760625231335,12,12,0.08743129278285666
OPC,正常,3.5129011293977133,0.2066059559583664,17.00290348892752,0.1046108885151461,9,8,0.2092217770302922
OPC,MS,3.516984526958188,3.4851949214935303,1.0091213278398314,0.9264448963254216,12,11,0.9264448963254216
神经元,正常,0.0,0.7109375,0.0,0.1371545886179845,6,9,0.22859098102997413
神经元,MS,0.5071369667067399,1.027387112379074,0.4936181898684573,0.3389083450287465,11,12,0.484154778612495
内皮/血管,MS,41.33697658588218,33.809017181396484,1.2226612907466583,0.5743374272786037,12,5,0.6381526969762263
