区室,队列,细胞类型,供体,状态,核数,值
白质,GSE180759,OPC,09_034,MS,329,3.890009211541813
白质,GSE180759,OPC,09_067,MS,241,0.9916532545563987
白质,GSE180759,OPC,11_69,Control,58,3.5129011293977133
白质,GSE180759,OPC,12_002,Control,107,0.0
白质,GSE180759,OPC,12_078,MS,562,2.721851294376383
白质,GSE180759,OPC,13_015,MS,323,1.6165927075502962
白质,GSE180759,OPC,13_047,MS,425,5.526304518721047
白质,GSE180759,OPC,14_043,Control,130,3.260834121368246
白质,GSE180759,astrocyte,09_034,MS,718,14.62381988294893
白质,GSE180759,astrocyte,09_067,MS,816,4.183940919035164
白质,GSE180759,astrocyte,11_69,Control,57,11.13341918436571
白质,GSE180759,astrocyte,12_002,Control,67,9.466335344929593
白质,GSE180759,astrocyte,12_078,MS,1183,2.807434335670574
白质,GSE180759,astrocyte,13_015,MS,1042,7.971851686947156
白质,GSE180759,astrocyte,13_047,MS,4124,9.342905950197826
白质,GSE180759,astrocyte,14_043,Control,204,9.67141371890036
白质,GSE180759,endothelial,09_034,MS,161,49.46663330093754
白质,GSE180759,endothelial,09_067,MS,350,27.85771990991242
白质,GSE180759,endothelial,12_002,Control,37,18.555629778074668
白质,GSE180759,endothelial,12_078,MS,248,30.490851897462655
白质,GSE180759,endothelial,13_015,MS,181,37.10816101231063
白质,GSE180759,endothelial,13_047,MS,703,41.26263668248401
白质,GSE180759,lymphocyte,09_034,MS,61,23.712696963589153
白质,GSE180759,lymphocyte,09_067,MS,27,28.548182194498764
白质,GSE180759,lymphocyte,12_078,MS,108,44.346791912757766
白质,GSE180759,lymphocyte,13_015,MS,46,48.569624556802175
白质,GSE180759,lymphocyte,13_047,MS,148,43.38856829557871
白质,GSE180759,microglia,09_034,MS,681,26.84592586229114
白质,GSE180759,microglia,09_067,MS,472,37.60005674190381
白质,GSE180759,microglia,12_002,Control,142,13.68522611414847
白质,GSE180759,microglia,12_078,MS,1194,12.752155336673212
白质,GSE180759,microglia,13_015,MS,495,46.047351713431354
白质,GSE180759,microglia,13_047,MS,2301,34.62194982961322
白质,GSE180759,microglia,14_043,Control,137,11.909795211071346
白质,GSE180759,neuron,09_034,MS,666,0.8270395622645005
白质,GSE180759,neuron,09_067,MS,188,0.0
白质,GSE180759,neuron,12_078,MS,68,0.0
白质,GSE180759,neuron,13_015,MS,340,0.0
白质,GSE180759,neuron,13_047,MS,1507,4.703278311609916
白质,GSE180759,oligodendrocyte,09_034,MS,10127,4.841557215868979
白质,GSE180759,oligodendrocyte,09_067,MS,5439,14.777804660399175
白质,GSE180759,oligodendrocyte,11_69,Control,1075,2.2427303298065775
白质,GSE180759,oligodendrocyte,12_002,Control,1424,6.186423670543739
白质,GSE180759,oligodendrocyte,12_078,MS,9401,4.011579652126565
白质,GSE180759,oligodendrocyte,13_015,MS,5929,6.232120458823372
白质,GSE180759,oligodendrocyte,13_047,MS,10537,5.042265880287546
白质,GSE180759,oligodendrocyte,14_043,Control,1765,1.0713970034811475
白质,GSE279180,OPC,CO37 P5B3,Control,143,6.166596778569843
白质,GSE279180,OPC,CO41 A1C4,Control,286,4.365106213946951
白质,GSE279180,OPC,CO45 A1D4,Control,350,6.030490158240061
