细胞类型,状态,白质队列,IFIH1_log2_WM_GM,全基因组中位,去偏后,百分位,基因数
少突胶质,Control,GSE180759,0.3375600019001706,1.076115694485472,-0.7385556925853014,14.972473456547386,10172
少突胶质,Control,GSE279180,0.44759121754701975,0.4593143731971268,-0.011723155650107064,49.29936305732484,11775
少突胶质,MS,GSE180759,1.0440594312330316,1.0574996436417623,-0.013440212408730723,48.944003100174385,10322
少突胶质,MS,GSE279180,1.2775830422178558,0.5412189524054455,0.7363640898124103,91.35285913528591,12189
小胶质/巨噬,Control,GSE180759,-0.051333639388633216,0.652791126032889,-0.7041247654215222,22.767132185774603,9237
小胶质/巨噬,Control,GSE279180,0.9105445901293391,0.12388419079514393,0.7866603993341952,76.52659525771308,10923
小胶质/巨噬,MS,GSE180759,0.9602657410486892,0.5885022519862221,0.37176348906246715,72.69558481797056,10328
小胶质/巨噬,MS,GSE279180,1.2915703241920262,0.42496933300630413,0.8666009911857221,92.7105961863384,12429
星形胶质,Control,GSE180759,1.4364833012119629,1.1259845264151367,0.3104987747968262,66.29080118694361,10110
星形胶质,Control,GSE279180,1.1244408727160546,0.6223508603645656,0.5020900123514891,73.44385601350832,13029
星形胶质,MS,GSE180759,1.2223280091515702,1.1903534617642544,0.031974547387315866,52.320388349514566,10300
星形胶质,MS,GSE279180,1.3391520231580398,0.807337199634844,0.5318148235231959,78.69388348104025,13766
OPC,Control,GSE180759,0.6648880718331357,0.8825797644471378,-0.21769169261400212,35.71713544783563,10026
OPC,Control,GSE279180,1.7311410650843893,0.3696535408192601,1.3614875242651292,96.28677061565665,12442
OPC,MS,GSE180759,0.011659203067422273,0.6611179687732247,-0.6494587657058024,15.236801242236025,10304
OPC,MS,GSE279180,0.15909703566003444,0.37347353584239934,-0.2143765001823649,36.90575164386667,13231
神经元,Control,GSE279180,0.9781249594518043,0.33622844444557654,0.6418965150062278,83.74589919475098,13412
神经元,MS,GSE180759,1.495805016731007,0.7351472677691027,0.7606577489619044,88.07187955318115,10295
神经元,MS,GSE279180,0.1980563799984789,0.4904527379325768,-0.2923963579340979,30.6350114416476,13984
内皮/血管,Control,GSE180759,-2.477880504380434,0.9383675407377381,-3.4162480451181723,1.3011370296565468,8531
内皮/血管,Control,GSE279180,0.03925255033088899,0.39613923827384395,-0.35688668794295497,38.05916948850472,11222
内皮/血管,MS,GSE180759,-1.0419080111689905,0.791790575547558,-1.8336985867165485,4.2699724517906334,10164
内皮/血管,MS,GSE279180,-0.7023826246156402,0.45770555613095726,-1.1600881807465975,13.399218570443578,13053
