tissue,median_TPM_gtex_v8
Cells_EBV-transformed_lymphocytes,87.0302
Spleen,15.872
Lung,13.4309
Nerve_Tibial,11.6783
Uterus,11.0853
Small_Intestine_Terminal_Ileum,10.5827
Thyroid,10.360999999999999
Ovary,10.283
Pituitary,10.1484
Artery_Coronary,9.8782
Breast_Mammary_Tissue,9.77383
Fallopian_Tube,9.73137
Vagina,9.51005
Minor_Salivary_Gland,9.42804
Cervix_Endocervix,9.35422
Cervix_Ectocervix,9.29358
Adipose_Subcutaneous,9.26262
Adrenal_Gland,9.17635
Artery_Tibial,9.0323
Adipose_Visceral_Omentum,8.67026
Kidney_Medulla,7.97238
Artery_Aorta,7.96703
Colon_Transverse,7.842280000000001
Esophagus_Gastroesophageal_Junction,7.56358
Esophagus_Mucosa,7.537789999999999
Esophagus_Muscularis,6.954910000000001
Prostate,6.9377
Colon_Sigmoid,6.85531
Stomach,6.79771
Skin_Not_Sun_Exposed_Suprapubic,6.213830000000001
Skin_Sun_Exposed_Lower_leg,5.99581
Bladder,5.98883
Testis,5.26614
Brain_Spinal_cord_cervical_c-1,4.29995
Pancreas,4.27637
Kidney_Cortex,4.16213
Liver,4.07637
Cells_Cultured_fibroblasts,3.8688800000000003
Brain_Substantia_nigra,3.01614
Heart_Atrial_Appendage,2.9094
Whole_Blood,2.78545
Brain_Caudate_basal_ganglia,2.48968
Brain_Hypothalamus,2.46123
Brain_Amygdala,2.26892
Brain_Cortex,2.17329
Brain_Putamen_basal_ganglia,2.1690400000000003
Brain_Hippocampus,2.1431299999999998
Brain_Frontal_Cortex_BA9,2.12487
Brain_Nucleus_accumbens_basal_ganglia,1.96252
Heart_Left_Ventricle,1.9275
Brain_Anterior_cingulate_cortex_BA24,1.8196900000000003
Brain_Cerebellum,1.24171
Muscle_Skeletal,1.0647
Brain_Cerebellar_Hemisphere,0.955659
