grp,dataset_id,核数,计数,总计数,阳性核,CP10k,阳性率
OPC,00476f9f-ebc1-4b72-b541-32f912ce36ea,113,8.0,506198.0,4,0.1580409246974504,0.035398230088495575
OPC,03d38670-1444-4001-bc53-9936e61d9b20,134,12.0,526547.0,11,0.2278998835811428,0.08208955223880597
OPC,07b1d7c8-5c2e-42f7-9246-26f746cd6013,779,36.0,2665650.0,34,0.13505148837994485,0.043645699614890884
OPC,07dd8c34-4625-480a-8ee4-273a06c3082b,572,23.0,5426627.0,21,0.04238360218972116,0.03671328671328671
OPC,095940cb-7422-4510-96e2-cbafd961eb88,1729,35.0,11789547.0,31,0.029687315382007466,0.017929438982070563
OPC,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,1616,42.0,12093518.0,35,0.03472934839969643,0.021658415841584157
OPC,0bc7235a-ae5a-479d-a487-510435377e55,889,29.0,7763086.0,27,0.03735627816051503,0.030371203599550055
OPC,0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,194,1.0,466724.0,1,0.021425939098910704,0.005154639175257732
OPC,1185a7d3-a9c1-4280-9ba5-d61895b15cac,662,40.0,4096485.0,35,0.09764468806794117,0.052870090634441085
OPC,182f6a56-7360-4924-a74e-1772e07b3031,438,8.0,1886438.0,7,0.04240796676063565,0.01598173515981735
OPC,18500fcd-9960-49cb-8a8e-7d868dc14efe,1876,55.0,9308187.0,51,0.059087768649254684,0.027185501066098083
OPC,19b21f40-db42-4a71-a0d6-913e83b17784,3787,268.0,23829587.0,219,0.11246523072346995,0.05782941642461051
OPC,19f1bec6-eeb7-4133-accc-992d745fef89,4301,58.0,16618615.0,45,0.03490062198323988,0.010462683096954197
OPC,1a018108-b4b6-457b-ba15-046d5e98c169,925,22.0,3169036.0,19,0.06942174213230774,0.02054054054054054
OPC,1a38e762-2465-418f-b81c-6a4bce261c34,31344,490.0,87963491.0,448,0.055704928764139204,0.014293006636038795
OPC,1b767f95-d0a0-4a3d-b394-cc665d86c3dc,615,49.0,4326513.0,34,0.1132551780151822,0.055284552845528454
OPC,1cf24082-59de-4029-ac81-6e398768af3a,475,14.0,2908465.0,14,0.04813535662282338,0.029473684210526315
OPC,203025fe-fa99-4d57-81da-458ed8f0c334,209,12.0,1400468.0,9,0.08568564222816945,0.0430622009569378
OPC,22658f4f-9268-41ad-8828-cc53f4baa9fa,671,32.0,3826464.0,29,0.08362812246502255,0.043219076005961254
OPC,2727d83a-0af0-443a-bff8-58dc7028289a,894,2.0,431028.0,2,0.046400697866495914,0.0022371364653243847
OPC,27d91086-cfe3-4e33-9282-bd1246e5ce8e,622,30.0,3978564.0,25,0.0754040905211026,0.04019292604501608
OPC,2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,514,39.0,4904973.0,31,0.07951114103992009,0.06031128404669261
OPC,31f04740-c712-4c4b-a3f8-55c0506b3034,998,64.0,10618091.0,50,0.06027448813539082,0.050100200400801605
OPC,35c8a04c-8639-4d15-8228-765d8d93fc96,192,4.0,833803.0,3,0.04797296243836974,0.015625
OPC,364348b4-bc34-4fe1-a851-60d99e36cafa,436,19.0,2749377.0,19,0.06910656486905943,0.04357798165137615
OPC,367b55f4-d543-49aa-90e8-4765fcb8c687,815,65.0,5985872.0,43,0.10858902428919297,0.05276073619631902
OPC,37a17b78-4864-4a42-b67b-31c00962795a,66705,2678.0,535651548.0,2167,0.04999518828983203,0.03248632036578967
OPC,381aa407-317a-40ef-8048-7ce0eacc4266,1460,34.0,4523126.0,29,0.0751692524152544,0.01986301369863014
OPC,3b8b5de4-3aa1-4ac6-8890-8d03c8219981,1776,48.0,16870712.0,41,0.028451674120214963,0.023085585585585586
OPC,3c361813-5d5e-4868-bfe5-e7591e7b5381,9302,335.0,36762256.0,289,0.09112607234985796,0.031068587400559018
OPC,3f31f8ce-bbf6-4df8-8203-aa240ed03026,506,22.0,3063392.0,20,0.07181581723788533,0.039525691699604744
OPC,3f56901c-dd4a-47d6-b60b-7b0c0111cfb2,458,16.0,1414404.0,15,0.11312185203096145,0.03275109170305677
OPC,40318d39-3d8f-49f4-8455-a2e1365c5c5b,538,29.0,3587438.0,23,0.08083763398837834,0.04275092936802974
OPC,40569510-2282-461b-84df-6218ef208e0e,613,48.0,3885795.0,41,0.12352684585779744,0.06688417618270799
OPC,421e5f54-5de7-425f-b399-34ead0651ce1,580,26.0,3812979.0,21,0.06818815419649571,0.03620689655172414
OPC,43b7e156-65b3-4a7b-8c7a-08528e4b21d0,655,26.0,4028063.0,22,0.06454715330917118,0.03358778625954199
OPC,4593c820-512d-4805-a10f-c0b864a7cc8c,1060,89.0,7607236.0,69,0.11699387267596273,0.06509433962264151
OPC,46ff9dc2-3d87-4b36-91aa-ffa8aa13c52e,452,23.0,2356529.0,18,0.09760117528789164,0.03982300884955752
OPC,470565f2-5afc-456a-b617-18e4496c04fd,281,6.0,1067390.0,6,0.056211881317981244,0.021352313167259787
OPC,4724c395-0c46-46d2-81f7-60fd271fb488,1596,103.0,13551764.0,76,0.0760048654920496,0.047619047619047616
OPC,4976b234-9028-4b4b-8a2f-8ac59d636219,3862,97.0,21804082.0,79,0.04448708273982826,0.02045572242361471
OPC,4d43082e-59cd-43ac-b77d-54d55519c881,524,16.0,4229426.0,14,0.037830192560408905,0.026717557251908396
OPC,529bb209-9d7b-44da-bfa4-f6e4745c46c2,406,8.0,2739326.0,7,0.029204264114603373,0.017241379310344827
OPC,52ea546e-9229-40ef-b048-a2e694dd73e8,457,22.0,2724364.0,18,0.08075279221131977,0.03938730853391685
OPC,52f18bc3-52d9-487b-bf8f-f0b7aa684b09,3871,226.0,28917353.0,177,0.07815376462707357,0.04572461896150865
OPC,53ce2631-3646-4172-bbd9-38b0a44d8214,4896,167.0,19980831.0,145,0.08358010735389333,0.029616013071895424
OPC,56a4bc14-9407-45fd-8786-f7f6fc87c9dd,14090,841.0,110374387.0,636,0.07619521365948786,0.04513839602555004
OPC,5a73f63f-18a2-49b5-b431-2c469c41a41b,335,21.0,1830129.0,19,0.11474600970751242,0.056716417910447764
OPC,5bc23cb2-8cfc-4960-bab1-c3027fbeefc4,1073,71.0,9996802.0,47,0.07102271306363775,0.04380242311276794
OPC,5c97eeeb-7e52-44b3-b010-b832b1f5424c,65228,3597.0,484449754.0,2933,0.07424918622210715,0.044965352302692094
OPC,5e57cd50-8e42-42d6-940d-5c1660d06864,5398,215.0,41362892.0,175,0.05197895737077572,0.03241941459799926
OPC,5e5ab909-f73f-4b57-98a0-6d2c5662f6a4,803,48.0,6135458.0,40,0.07823376836741446,0.049813200498132
OPC,639ffc23-14db-4060-9027-3c90314200f8,276,5.0,1543337.0,4,0.032397331237441984,0.014492753623188406
OPC,64767efb-49b0-4562-a1bd-e619a5d9db41,314,33.0,2465128.0,24,0.1338672880272343,0.07643312101910828
OPC,64f4ad90-a422-400a-944d-4ce0f39594a7,2503,223.0,20914123.0,175,0.10662651262020406,0.06991610067918498
OPC,6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,901,3.0,820370.0,3,0.036568865268110734,0.003329633740288568
OPC,6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0,359,6.0,1781475.0,6,0.03367995621605692,0.016713091922005572
OPC,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,16790,636.0,166321272.0,500,0.03823924578931792,0.029779630732578916
OPC,70e4f35b-c98c-45a1-9aa9-2053b07315dd,1938,130.0,15111176.0,102,0.086029042345877,0.05263157894736842
OPC,715327a6-7978-4896-ba91-69d6b04dbbfb,1652,95.0,14898766.0,76,0.06376367009187205,0.04600484261501211
OPC,74014ef8-d2d0-4cbc-8ba2-037f30753ffd,18740,865.0,68723460.0,686,0.12586677096874924,0.03660618996798293
OPC,77044335-0ac5-4406-9b3f-8cdd3656d67b,785,28.0,3414093.0,22,0.0820129973026511,0.02802547770700637
OPC,77c1c785-809f-4065-8c54-6a0170783256,732,33.0,4649115.0,25,0.07098125127040308,0.03415300546448088
OPC,7b316f62-7fa0-4b95-bac9-e90866038a85,3032,871.0,69904487.0,499,0.12459858263461686,0.1645778364116095
OPC,7c1c3d47-3166-43e5-9a95-65ceb2d45f78,4199,192.0,21074718.0,162,0.09110442189546736,0.03858061443200762
OPC,7cd3c321-e487-4b51-a8af-9bf671b59fe5,1107,37.0,3264846.0,35,0.11332846939794404,0.031616982836495035
OPC,7d3ab174-e433-40fc-a352-6fe71b1a19f9,365,26.0,1808732.0,19,0.14374711123593764,0.052054794520547946
OPC,7db0c178-b0a4-442f-ba54-e9e1633a84bb,527,18.0,3106141.0,15,0.05794971960384284,0.028462998102466792
OPC,8039c63d-08b0-4fc9-af0f-5b57f08ca0da,6404,336.0,31976599.0,277,0.10507684072343028,0.04325421611492817
OPC,88a01d4a-5197-45be-b5ae-e019aef43376,1112,25.0,6013126.0,22,0.04157571286548793,0.019784172661870502
OPC,8d1dd010-5cbc-43fb-83f8-e0de8e8517da,2264,59.0,11320204.0,53,0.052119202092117775,0.023409893992932862
OPC,900fdf13-150d-4695-9f8c-4c09105ba2eb,2110,51.0,6277129.0,47,0.08124733456967348,0.02227488151658768
