grp,数据集数,中位CP10k,四分一,四分三,核数合计
endothelial,42,0.9026112464688245,0.6621346059707598,1.1171196225668116,82429
lymphocyte/leukocyte,18,0.35251013735434883,0.21573837057918346,0.38924481879122697,12386
microglia/CNS macrophage,139,0.2780341870836438,0.2280903690220718,0.3314602952088539,383756
fibroblast,28,0.2160957047859744,0.18842453198962456,0.30614074297696897,8650
mural/perivascular,36,0.16462571846922563,0.11854196148135922,0.20811156042346857,84063
ependymal/choroid,23,0.10234522344133622,0.07899250188907829,0.1381313678395973,23134
astrocyte,144,0.07958579337503124,0.06160036811030836,0.10045685846079645,1170969
OPC,141,0.06910656486905943,0.04519065153737727,0.09110442189546736,443290
oligodendrocyte,142,0.0521117936908663,0.040900124952458,0.05954829159344051,2136562
neuron,148,0.005489087230905156,0.0030368727160350567,0.011228226749210937,8854067
