cell_type,gene,cp10k_ctrl,cp10k_MS,ratio,donor_MW_p
oligodendrocytes,IFIH1,0.047294351362978694,0.11610625372324514,2.4549708448720025,0.013986013986013986
oligodendrocytes,DDX58,0.18272311750120238,0.259730413734328,1.4214425480816288,0.022144522144522144
oligodendrocytes,DHX58,0.013242418381634034,0.013083074743866708,0.9879671799232442,0.4452214452214452
oligodendrocytes,MAVS,0.6223936639367996,0.5319163008410457,0.8546300061548484,0.05128205128205128
oligodendrocytes,STAT1,0.20920795426447045,0.26774440047780357,1.2798002897123797,0.5337995337995338
oligodendrocytes,MX1,0.0014466507475734659,0.0027035136002086188,1.868808767246239,0.3524489752286811
oligodendrocytes,ISG15,0.00022256165347284092,0.0008689865143527702,3.9044754601394627,0.09103944500208998
oligodendrocytes,IFIT3,0.2687431965684554,0.3643467346566865,1.3557431008821037,0.10139860139860139
oligodendrocytes,OAS1,0.00011128082673642046,0.00033793920002607734,3.0368142467751382,0.4323469550368151
oligodendrocytes,BST2,0.00022256165347284092,0.0012552027429540015,5.639797886868113,0.27040309600581236
oligodendrocytes,IRF7,0.0030045823218833524,0.014917601829722555,4.964950276473638,0.011942103817533961
oligodendrocytes,XAF1,0.0008902466138913637,0.00197935817158131,2.223381859246083,0.21163360430310896
oligodendrocytes,EIF2AK2,0.3020161637626451,0.4047546075740903,1.3401753155575722,0.03496503496503496
microglia,IFIH1,0.2833445405349194,0.46362101694857005,1.6362447502016837,0.05345510556768995
microglia,DDX58,0.6221895580818334,0.6965880995920068,1.119575361790929,0.6282051282051282
microglia,DHX58,0.06134263248694132,0.07996884255278258,1.3036421703911456,0.22400125178257257
microglia,MAVS,0.914297331829173,0.6906400038649404,0.7553779058757871,0.013986013986013986
microglia,STAT1,0.5871366252321526,0.6513164821137788,1.1093099188902575,0.9452214452214451
microglia,MX1,0.8120596110176042,0.7038579943695326,0.8667565592721912,0.8356643356643356
microglia,ISG15,0.011684310949893585,0.06047230655850914,5.175513285964021,0.3105703793214408
microglia,IFIT3,0.06718478796188812,0.09318683305737474,1.3870228050766014,1.0
microglia,OAS1,0.28918669600986624,0.3717559829416545,1.2855224257238005,0.9452214452214451
microglia,BST2,0.3359239398094406,0.8859358135702896,2.637310737879694,0.004662004662004662
microglia,IRF7,0.11976418723640925,0.15861588605510593,1.324401640550569,0.1741431302176989
microglia,XAF1,0.9493502646788538,1.1882973463628352,1.2516953863859852,0.9452214452214451
microglia,EIF2AK2,1.364143303400076,1.3522004286197782,0.9912451464955839,0.23426573426573427
astrocytes,IFIH1,0.10303143748398028,0.11519625741036585,1.1180690110072182,0.6282051282051282
astrocytes,DDX58,0.27918195963401105,0.30878800945985463,1.1060457124975236,0.6282051282051282
astrocytes,DHX58,0.06846605200548367,0.06894855553692644,1.0070473397736461,0.36596736596736595
astrocytes,MAVS,0.7125787160182377,0.5091477178810663,0.7145143496933118,0.002331002331002331
astrocytes,STAT1,0.26721701850683915,0.2131906257092695,0.7978182935373672,0.13752913752913754
astrocytes,MX1,0.1469028882836106,0.10546732012601427,0.7179390504725759,0.36596736596736595
astrocytes,ISG15,0.06381301934491682,0.06443658462244455,1.0097717563583268,0.8356643356643356
astrocytes,IFIT3,0.09306065321133702,0.06824356008153865,0.7333234586969881,0.5180082295198487
astrocytes,OAS1,0.0059824705635859515,0.004793969096637012,0.8013360108810064,0.6521396492342297
astrocytes,BST2,0.026588758060382005,0.03130179821921814,1.177256874809008,0.6282051282051282
astrocytes,IRF7,0.023929882254343806,0.046106702782361855,1.9267417320447726,0.008133072234894984
astrocytes,XAF1,0.06381301934491682,0.2325075011868951,3.643574674474576,0.13752913752913754
astrocytes,EIF2AK2,0.5962528995040665,0.6029121134476431,1.0111684386761313,0.7307692307692307
OPC,IFIH1,0.05206824204527432,0.042781710114923044,0.8216469086419999,0.6282051282051282
OPC,DDX58,0.4404691827073206,0.43539867003035604,0.9884883826700454,0.9452214452214451
OPC,DHX58,0.029552245485155695,0.03574168186816356,1.2094404767352405,0.2833144813345012
OPC,MAVS,0.43343293378228354,0.3628322250252967,0.8371127266659204,0.7307692307692307
OPC,STAT1,0.6304479036833215,0.40182315069965696,0.6373613875976906,0.05128205128205128
OPC,MX1,0.11680173215561537,0.06660949802703209,0.5702783408921369,0.18065268065268064
OPC,ISG15,0.02392324634512604,0.07148336373632712,2.988029413110594,0.17235939896143682
OPC,IFIT3,0.08724948667045967,0.09476961101407004,1.0861910439887605,0.9452214452214451
OPC,OAS1,0.08584223688545226,0.054695604070977566,0.6371642451950931,0.022144522144522144
OPC,BST2,0.0,0.0,,1.0
OPC,IRF7,0.011257998280059313,0.012455434590420634,1.1063631633771234,0.3287100420434993
OPC,XAF1,0.09710023516551157,0.12563742717293858,1.29389415956392,0.8356643356643356
OPC,EIF2AK2,0.958337103590049,0.9298252692066186,0.970248637690619,0.18065268065268064
neurons,IFIH1,0.01744696371484285,0.015109641164469084,0.866032704109695,0.5714285714285714
neurons,DDX58,0.1254414606333005,0.13098112248708477,1.0441613309173607,0.7857142857142857
neurons,DHX58,0.013250858517602165,0.022525415969116485,1.6999212495699196,0.39285714285714285
neurons,MAVS,0.25905428401912234,0.20198716624158364,0.7797098087236178,0.5714285714285714
