grp,n,计数,总计数,阳性核,CP10k,阳性率
lymphocyte/leukocyte,14657,8020.0,59746001.0,2791,1.3423492561451935,0.19042095926860886
endothelial,85097,29217.0,372396757.0,17318,0.7845664456202555,0.20350893686028884
ependymal/choroid,24398,8210.0,224950012.0,2049,0.3649699738624597,0.08398229363062547
mural/perivascular,86977,15948.0,440973822.0,9301,0.36165412104666844,0.10693631649746485
fibroblast,11706,891.0,40788411.0,780,0.2184444007882533,0.06663249615581752
astrocyte,1170979,123868.0,7168128075.0,73405,0.17280383205206612,0.06268686287286108
OPC,443293,19646.0,4015477472.0,15092,0.04892568850651493,0.034045202608658384
oligodendrocyte,2136661,61329.0,13201766083.0,48234,0.0464551482085217,0.022574474846501155
neuron,8854070,290992.0,212605079539.0,192843,0.013686973078487562,0.021780153082141884
microglia/CNS macrophage,384112,2700.0,2133955200.0,2049,0.012652561778241643,0.005334381638688716
