grp,dataset_id,核数,计数,总计数,阳性核,CP10k,阳性率
OPC,00476f9f-ebc1-4b72-b541-32f912ce36ea,113,4.0,506198.0,4,0.0790204623487252,0.035398230088495575
OPC,03d38670-1444-4001-bc53-9936e61d9b20,134,0.0,526547.0,0,0.0,0.0
OPC,07b1d7c8-5c2e-42f7-9246-26f746cd6013,779,6.0,2665650.0,5,0.022508581396657474,0.006418485237483954
OPC,07dd8c34-4625-480a-8ee4-273a06c3082b,572,13.0,5426627.0,12,0.023955949063755443,0.02097902097902098
OPC,095940cb-7422-4510-96e2-cbafd961eb88,1729,72.0,11789547.0,68,0.06107104878584393,0.03932909196067091
OPC,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,1616,139.0,12093518.0,90,0.11493760541804295,0.055693069306930694
OPC,0bc7235a-ae5a-479d-a487-510435377e55,889,39.0,7763086.0,31,0.050237753388278836,0.03487064116985377
OPC,0ee5ae70-c3f5-473f-bd1c-287f4690ffc5,194,1.0,466724.0,1,0.021425939098910704,0.005154639175257732
OPC,1185a7d3-a9c1-4280-9ba5-d61895b15cac,662,10.0,4096485.0,10,0.024411172016985293,0.015105740181268883
OPC,182f6a56-7360-4924-a74e-1772e07b3031,438,8.0,1886438.0,8,0.04240796676063565,0.0182648401826484
OPC,18500fcd-9960-49cb-8a8e-7d868dc14efe,1876,33.0,9308187.0,33,0.035452661189552814,0.017590618336886993
OPC,19b21f40-db42-4a71-a0d6-913e83b17784,3787,58.0,23829587.0,53,0.024339490231198718,0.01399524689728017
OPC,19f1bec6-eeb7-4133-accc-992d745fef89,4301,2595.0,16618615.0,1310,1.5615019663190945,0.30458033015577773
OPC,1a018108-b4b6-457b-ba15-046d5e98c169,925,14.0,3169036.0,13,0.04417747226601402,0.014054054054054054
OPC,1a38e762-2465-418f-b81c-6a4bce261c34,31344,1497.0,87963491.0,1265,0.1701842415508498,0.04035860132720776
OPC,1b767f95-d0a0-4a3d-b394-cc665d86c3dc,615,10.0,4326513.0,9,0.023113301635751468,0.014634146341463415
OPC,1cf24082-59de-4029-ac81-6e398768af3a,475,7.0,2908465.0,7,0.02406767831141169,0.014736842105263158
OPC,203025fe-fa99-4d57-81da-458ed8f0c334,209,9.0,1400468.0,9,0.06426423167112708,0.0430622009569378
OPC,22658f4f-9268-41ad-8828-cc53f4baa9fa,671,19.0,3826464.0,19,0.04965419771360713,0.028315946348733235
OPC,2727d83a-0af0-443a-bff8-58dc7028289a,894,8.0,431028.0,8,0.18560279146598366,0.008948545861297539
OPC,27d91086-cfe3-4e33-9282-bd1246e5ce8e,622,13.0,3978564.0,13,0.03267510589247779,0.02090032154340836
OPC,2a8ca8f3-5599-4cda-b973-3a2dfc3c1fe6,514,13.0,4904973.0,13,0.026503713679973364,0.02529182879377432
OPC,31f04740-c712-4c4b-a3f8-55c0506b3034,998,21.0,10618091.0,21,0.01977756641942511,0.021042084168336674
OPC,35c8a04c-8639-4d15-8228-765d8d93fc96,192,3.0,833803.0,3,0.0359797218287773,0.015625
OPC,364348b4-bc34-4fe1-a851-60d99e36cafa,436,28.0,2749377.0,25,0.10184125349124548,0.05733944954128441
OPC,367b55f4-d543-49aa-90e8-4765fcb8c687,815,13.0,5985872.0,13,0.021717804857838592,0.015950920245398775
OPC,37a17b78-4864-4a42-b67b-31c00962795a,66705,2843.0,535651548.0,2557,0.05307554903211071,0.03833295854883442
OPC,381aa407-317a-40ef-8048-7ce0eacc4266,1460,13.0,4523126.0,13,0.028741184747009037,0.008904109589041096
OPC,3b8b5de4-3aa1-4ac6-8890-8d03c8219981,1776,89.0,16870712.0,81,0.05275414576456525,0.04560810810810811
OPC,3c361813-5d5e-4868-bfe5-e7591e7b5381,9302,174.0,36762256.0,169,0.047331153996642644,0.018168135884755965
OPC,3f31f8ce-bbf6-4df8-8203-aa240ed03026,506,6.0,3063392.0,6,0.01958613197396872,0.011857707509881422
OPC,3f56901c-dd4a-47d6-b60b-7b0c0111cfb2,458,3.0,1414404.0,3,0.021210347255805274,0.006550218340611353
OPC,40318d39-3d8f-49f4-8455-a2e1365c5c5b,538,13.0,3587438.0,12,0.03623756006375581,0.022304832713754646
OPC,40569510-2282-461b-84df-6218ef208e0e,613,16.0,3885795.0,16,0.04117561528593248,0.026101141924959218
OPC,421e5f54-5de7-425f-b399-34ead0651ce1,580,9.0,3812979.0,8,0.023603591837248517,0.013793103448275862
OPC,43b7e156-65b3-4a7b-8c7a-08528e4b21d0,655,17.0,4028063.0,17,0.04220390793291962,0.025954198473282442
OPC,4593c820-512d-4805-a10f-c0b864a7cc8c,1060,18.0,7607236.0,18,0.023661682114239652,0.016981132075471698
OPC,46ff9dc2-3d87-4b36-91aa-ffa8aa13c52e,452,7.0,2356529.0,7,0.029704705522401804,0.015486725663716814
OPC,470565f2-5afc-456a-b617-18e4496c04fd,281,4.0,1067390.0,3,0.03747458754532083,0.010676156583629894
OPC,4724c395-0c46-46d2-81f7-60fd271fb488,1596,57.0,13551764.0,53,0.04206094498103716,0.03320802005012531
OPC,4976b234-9028-4b4b-8a2f-8ac59d636219,3862,125.0,21804082.0,120,0.057328714870912706,0.031071983428275506
OPC,4d43082e-59cd-43ac-b77d-54d55519c881,524,11.0,4229426.0,10,0.026008257385281126,0.019083969465648856
OPC,529bb209-9d7b-44da-bfa4-f6e4745c46c2,406,7.0,2739326.0,6,0.025553731100277952,0.014778325123152709
OPC,52ea546e-9229-40ef-b048-a2e694dd73e8,457,6.0,2724364.0,5,0.022023488784905395,0.010940919037199124
OPC,52f18bc3-52d9-487b-bf8f-f0b7aa684b09,3871,128.0,28917353.0,121,0.04426407908082044,0.03125807284939292
OPC,53ce2631-3646-4172-bbd9-38b0a44d8214,4896,141.0,19980831.0,125,0.07056763555029318,0.025531045751633986
OPC,56a4bc14-9407-45fd-8786-f7f6fc87c9dd,14090,540.0,110374387.0,489,0.04892439402630612,0.03470546486870121
OPC,5a73f63f-18a2-49b5-b431-2c469c41a41b,335,9.0,1830129.0,9,0.04917686130321961,0.026865671641791045
OPC,5bc23cb2-8cfc-4960-bab1-c3027fbeefc4,1073,25.0,9996802.0,25,0.025007997557618924,0.023299161230195712
OPC,5c97eeeb-7e52-44b3-b010-b832b1f5424c,65228,2243.0,484449754.0,2069,0.046299951263882776,0.03171950696020114
OPC,5e57cd50-8e42-42d6-940d-5c1660d06864,5398,230.0,41362892.0,209,0.055605396257108905,0.03871804371989626
OPC,5e5ab909-f73f-4b57-98a0-6d2c5662f6a4,803,24.0,6135458.0,21,0.03911688418370723,0.026151930261519303
OPC,639ffc23-14db-4060-9027-3c90314200f8,276,5.0,1543337.0,4,0.032397331237441984,0.014492753623188406
OPC,64767efb-49b0-4562-a1bd-e619a5d9db41,314,8.0,2465128.0,8,0.03245267588539013,0.025477707006369428
OPC,64f4ad90-a422-400a-944d-4ce0f39594a7,2503,104.0,20914123.0,99,0.04972716283632835,0.039552536955653216
OPC,6c600df6-ddca-4628-a8bb-1d6de1e3f9b4,901,8.0,820370.0,8,0.09751697404829528,0.008879023307436182
