grp,数据集数,中位CP10k,四分一,四分三,核数合计
endothelial,42,0.6796260277783932,0.548080568643903,0.8709414451021605,82429
fibroblast,28,0.2411491383064609,0.17145961411593802,0.2842379311065574,8650
mural/perivascular,36,0.1634864381453459,0.10091391834308243,0.3259845566999554,84063
ependymal/choroid,23,0.06779542185783928,0.03736424095126271,0.1381240407747151,23134
OPC,141,0.03664095480593118,0.025553731100277952,0.04972716283632835,443290
oligodendrocyte,142,0.035095084227606085,0.02578197690146123,0.04728805827171688,2136562
astrocyte,144,0.021418921443340677,0.012600286976115106,0.03797843118629401,1170969
lymphocyte/leukocyte,18,0.012530461995296126,0.0,0.026661733029609076,12386
neuron,148,0.007582449542512392,0.0034605236023898854,0.011047554379620099,8854067
microglia/CNS macrophage,139,0.0,0.0,0.007078186469064168,383756
