细胞类型,层,log2FC,nMS,n对照,中位MS,中位对照
OPC,灰质|Schirmer 2019,3.032161948872198,11,8,3.4851949214935303,0.2066059559583664
OPC,白质|GSE180759,-0.24045190584519505,5,3,2.721851294376383,3.260834121368246
OPC,白质|GSE279180,-0.29709514801759873,7,6,3.673415234646961,4.570574790210359
astrocyte,灰质|Schirmer 2019,0.443295772987478,12,9,4.027528762817383,2.8959195613861084
endothelial,灰质|Schirmer 2019,,5,2,33.809017181396484,48.09335136413574
lymphocyte,灰质|Schirmer 2019,,1,0,35.2486686706543,
microglia,灰质|Schirmer 2019,,12,2,15.399444580078125,18.737991333007812
neuron,灰质|Schirmer 2019,0.4106812949375003,12,9,1.027387112379074,0.7109375
oligodendrocyte,灰质|Schirmer 2019,0.6010267810865322,12,7,5.15535306930542,3.3136658668518066
stromal,灰质|Schirmer 2019,,1,0,18.148296356201172,
astrocyte,白质|GSE180759,-0.27108235977469963,5,3,7.971851686947156,9.67141371890036
endothelial,白质|GSE180759,,5,1,37.10816101231063,18.555629778074668
lymphocyte,白质|GSE180759,,5,0,43.38856829557871,
microglia,白质|GSE180759,,5,2,34.62194982961322,12.797510662609909
neuron,白质|GSE180759,,5,0,0.0,
oligodendrocyte,白质|GSE180759,1.0861587268909108,5,3,5.042265880287546,2.2427303298065775
astrocyte,白质|GSE279180,-0.11858713279858435,7,6,10.626113674354727,11.557882481000181
endothelial,白质|GSE279180,-0.23423628480363856,7,6,53.860447580319395,63.399247577952636
lymphocyte,白质|GSE279180,,7,2,51.90351673172504,105.26845750478583
microglia,白质|GSE279180,0.9032397385842721,7,6,45.3160479366567,24.11346802419157
neuron,白质|GSE279180,2.2678446826918757,6,6,0.9540077534830229,0.0
oligodendrocyte,白质|GSE279180,1.2804718890759488,7,6,11.716837068237883,4.676278164358288
stromal,白质|GSE279180,,6,0,19.42223891756381,
