细胞类型,键,白质可算,灰质可算,白质层,灰质层,ΔWM,ΔGM,交互,ΔWM_lo,ΔWM_hi,ΔGM_lo,ΔGM_hi,交互_lo,交互_hi,层,单层log2FC,nMS,n对照,中位MS,中位对照,单层_lo,单层_hi
少突胶质,oligodendrocyte,True,True,GSE180759(MS 5/对照 3); GSE279180(MS 7/对照 6),Schirmer 2019(MS 12/对照 7),1.2064478272911725,0.6010267810865322,0.6054210462046403,0.13062427421654765,1.8351906913610552,-0.7950365592338644,4.644818146326062,-3.7596878974891297,2.082992970659332,,,,,,,,
少突胶质,oligodendrocyte,,,,,,,,,,,,,,白质|GSE180759,1.0861587268909108,5.0,3.0,5.042265880287546,2.2427303298065775,-0.33815233139854994,2.591835546478112
少突胶质,oligodendrocyte,,,,,,,,,,,,,,白质|GSE279180,1.2804718890759488,7.0,6.0,11.716837068237883,4.676278164358288,0.09771271476623111,1.6586305265094987
少突胶质,oligodendrocyte,,,,,,,,,,,,,,灰质|Schirmer 2019,0.6010267810865322,12.0,7.0,5.15535306930542,3.3136658668518066,-0.7950365592338644,4.644818146326062
小胶质/巨噬,microglia,True,False,GSE279180(MS 7/对照 6),,0.9032397385842721,,,-0.17244654519792846,7.628507755338439,,,,,,,,,,,,
小胶质/巨噬,microglia,,,,,,,,,,,,,,白质|GSE279180,0.9032397385842721,7.0,6.0,45.3160479366567,24.11346802419157,-0.17244654519792846,7.62850775533844
星形胶质,astrocyte,True,True,GSE180759(MS 5/对照 3); GSE279180(MS 7/对照 6),Schirmer 2019(MS 12/对照 9),-0.17668055259900922,0.443295772987478,-0.6199763255864872,-1.2359591236953584,0.8576543449499768,-1.2328807240715611,4.3684886105868,-4.909186086436599,1.2544791149342427,,,,,,,,
星形胶质,astrocyte,,,,,,,,,,,,,,白质|GSE180759,-0.27108235977469963,5.0,3.0,7.971851686947156,9.67141371890036,-1.698224192885965,0.5841575943920794
星形胶质,astrocyte,,,,,,,,,,,,,,白质|GSE279180,-0.11858713279858435,7.0,6.0,10.626113674354727,11.557882481000181,-1.4186611360147872,1.5522615478574702
星形胶质,astrocyte,,,,,,,,,,,,,,灰质|Schirmer 2019,0.443295772987478,12.0,9.0,4.027528762817383,2.8959195613861084,-1.2580924435242835,4.3684886105868
OPC,OPC,True,True,GSE180759(MS 5/对照 3); GSE279180(MS 7/对照 6),Schirmer 2019(MS 11/对照 8),-0.27551677004715924,3.032161948872198,-3.307678718919357,-1.3741609380238113,2.0158687893778393,0.3286364830410885,4.141795479979165,-4.765923508422834,0.4224730043383262,,,,,,,,
OPC,OPC,,,,,,,,,,,,,,白质|GSE180759,-0.24045190584519505,5.0,3.0,2.721851294376383,3.260834121368246,-1.4995514926797857,4.049633977732066
OPC,OPC,,,,,,,,,,,,,,白质|GSE279180,-0.29709514801759873,7.0,6.0,3.673415234646961,4.570574790210359,-2.089738390678762,1.9866212903579472
OPC,OPC,,,,,,,,,,,,,,灰质|Schirmer 2019,3.032161948872198,11.0,8.0,3.4851949214935303,0.2066059559583664,0.3286364830410885,4.141795479979165
神经元,neuron,True,True,GSE279180(MS 6/对照 6),Schirmer 2019(MS 12/对照 9),2.2678446826918757,0.4106812949375002,1.8571633877543754,-0.8460330936114216,3.782534088654152,-0.38600806729468423,1.572226502695706,-1.609587303408049,3.713563894180841,,,,,,,,
神经元,neuron,,,,,,,,,,,,,,白质|GSE279180,2.2678446826918757,6.0,6.0,0.9540077534830229,0.0,-0.8460330936114216,3.782534088654152
神经元,neuron,,,,,,,,,,,,,,灰质|Schirmer 2019,0.4106812949375003,12.0,9.0,1.027387112379074,0.7109375,-0.38669215591662937,1.572226502695706
内皮/血管,endothelial,True,False,GSE279180(MS 7/对照 6),,-0.23423628480363856,,,-1.2684345970957907,0.6152290397017497,,,,,,,,,,,,
内皮/血管,endothelial,,,,,,,,,,,,,,白质|GSE279180,-0.23423628480363856,7.0,6.0,53.860447580319395,63.399247577952636,-1.2684345970957907,0.6152290397017497
