供体,全部,少突,白质代理,状态
C1,2829,1196,0.42276422764227645,Control
C2,1247,114,0.09141940657578188,Control
C3,3007,822,0.2733621549717326,Control
C4,2810,670,0.23843416370106763,Control
C5,2526,143,0.05661124307205067,Control
C6,1897,10,0.005271481286241434,Control
C7,1296,18,0.013888888888888888,Control
C8,1395,44,0.031541218637992835,Control
C9,396,53,0.13383838383838384,Control
MS1,3279,1500,0.45745654162854527,MS
MS10,1750,34,0.019428571428571427,MS
MS11,588,43,0.07312925170068027,MS
MS12,3701,367,0.09916238854363686,MS
MS2,2377,1026,0.4316365166175852,MS
MS3,2385,960,0.4025157232704403,MS
MS4,3309,1368,0.4134179510426111,MS
MS5,3264,912,0.27941176470588236,MS
MS6,3337,1305,0.3910698231944861,MS
MS7,2785,862,0.3095152603231598,MS
MS8,1191,333,0.2795969773299748,MS
MS9,3550,614,0.17295774647887324,MS
