definition,tissue,assay,n_donors,n_nk,top_donor_share,median_umi,bright_frac,stress,insufficient,CCL3,CCL3_iqr,CCL3_bright,CCL3_floor,CCL4,CCL4_iqr,CCL4_bright,CCL4_floor,CCL5,CCL5_iqr,CCL5_bright,CCL5_floor,XCL1,XCL1_iqr,XCL1_bright,XCL1_floor,XCL2,XCL2_iqr,XCL2_bright,XCL2_floor
author,blood,10x 3' v3,2,3511,0.7294218171461122,3863.75,0.08173636942806055,1.2135720009742093,donors 2<3; one donor 73% of cells,0.4804332189317495,0.17517006103701277,0.2769338630521149,False,0.7025195750015414,0.02883536447522561,0.23101191867258702,False,0.7852711728559978,0.09999198503873907,0.6006076186024772,False,0.160756489035944,0.13444069956225982,0.5407805562047208,False,0.37013872048336377,0.18277029943073225,0.5867025005842487,False
author,bone marrow,10x 3' v3,2,6872,0.7258440046565774,4276.75,0.0643076291805215,1.562895189801006,donors 2<3; one donor 73% of cells,0.7351299168960921,0.02442422323129645,0.5040128410914928,False,0.9370989312779545,0.030523149401450955,0.7319422150882825,False,0.7923849510587618,0.09190379628731038,0.7576243980738363,False,0.15353515102913656,0.07020181769580326,0.5401284109149278,False,0.42667433687984924,0.07954057891806582,0.9125200642054574,False
author,jejunal epithelium,10x 3' v3,2,60,0.9333333333333333,3881.0,0.7321428571428572,1.5442312763008543,donors 2<3; NK 60<200; one donor 93% of cells,0.29464285714285715,0.2946428571428571,0.3125,False,0.9464285714285714,0.05357142857142849,0.9375,False,0.8660714285714286,0.1339285714285715,0.8625,False,0.5,0.0,0.6458333333333333,False,0.5803571428571428,0.0803571428571429,0.6958333333333333,False
author,jejunum lamina propria,10x 3' v3,2,72,0.6944444444444444,4411.5,0.36272727272727273,1.4022271182817878,donors 2<3; NK 72<200; one donor 69% of cells,0.6181818181818182,0.018181818181818077,0.25,False,0.7609090909090909,0.0790909090909091,0.39705882352941174,False,0.8145454545454546,0.09454545454545449,0.8382352941176471,False,0.29818181818181816,0.16181818181818186,0.29411764705882354,False,0.4390909090909091,0.12090909090909091,0.3235294117647059,False
author,lung,10x 3' v3,2,2880,0.7194444444444444,4101.0,0.1074343438204824,1.3293956429916314,donors 2<3; one donor 72% of cells,0.7777103482549028,0.026745097289651798,0.7279267495094834,False,0.911595913452349,0.02404765090408645,0.7305428384565076,False,0.7799156122175924,0.07528240758438787,0.632221495530848,False,0.1949615811001949,0.0811001949615811,0.6025724874645737,False,0.4337369547765587,0.07977655873695483,0.776106387617179,False
author,spleen,10x 3' v3,2,5098,0.7138093369949,4247.5,0.32388124161730514,1.6536418396283974,donors 2<3; one donor 71% of cells,0.6145033969631783,0.009294349670512125,0.6663229464233662,False,0.8584378621592559,0.05794322077425995,0.809898414271556,False,0.7399285706348162,0.11887883169554703,0.662005188596747,False,0.23334559483442352,0.14972667776793971,0.6134531860315979,False,0.3802381895469855,0.13006683930709523,0.7459992421150818,False
author,thoracic lymph node,10x 3' v3,2,377,0.9018567639257294,4401.25,0.7211844197138315,1.7513713913649844,donors 2<3; one donor 90% of cells,0.6708267090620033,0.07623211446740863,0.5929914529914531,False,0.7977742448330684,0.013990461049284475,0.7935042735042734,False,0.7480524642289348,0.06275834658187607,0.7011111111111111,False,0.5662162162162162,0.13378378378378375,0.7226495726495726,False,0.6558426073131955,0.088275039745628,0.7704273504273504,False
author,blood,10x 5' v1,2,206,0.6067961165048543,4461.0,0.11555555555555555,0.5696168881631081,donors 2<3; one donor 61% of cells,0.2056296296296296,0.05362962962962961,0.08888888888888885,False,0.7001975308641976,0.028197530864197518,0.4222222222222222,False,0.9171358024691358,0.021135802469135823,0.788888888888889,False,0.24918518518518515,0.12118518518518512,0.9,False,0.2679012345679012,0.13209876543209878,0.6666666666666666,False
author,bone marrow,10x 5' v1,5,601,0.30782029950083195,4302.0,0.1132075471698113,1.212909246358372,,0.8170731707317073,0.2204836415362731,0.7142857142857143,False,0.902439024390244,0.13788883222845472,0.9047619047619048,False,0.8378378378378378,0.14796872344042156,0.8888888888888888,False,0.3157894736842105,0.2513513513513514,0.8,False,0.3773584905660377,0.03243243243243249,0.5,False
author,caecum,10x 5' v1,1,2,1.0,5145.5,0.5,2.887111925630573,donors 1<3; NK 2<200; one donor 100% of cells,1.0,0.0,1.0,False,0.5,0.0,0.0,False,0.5,0.0,1.0,False,1.0,0.0,1.0,False,1.0,0.0,1.0,False
author,duodenum,10x 5' v1,2,5,0.8,4190.75,0.375,2.884581171559656,donors 2<3; NK 5<200; one donor 80% of cells,0.75,0.25,0.6666666666666666,False,0.875,0.125,0.6666666666666666,False,1.0,0.0,1.0,False,0.25,0.25,0.3333333333333333,False,0.125,0.125,0.0,False
author,ileum,10x 5' v1,1,1,1.0,3902.0,1.0,3.699590730074296,donors 1<3; NK 1<200; one donor 100% of cells,1.0,0.0,1.0,False,1.0,0.0,1.0,False,1.0,0.0,1.0,False,1.0,0.0,1.0,False,1.0,0.0,1.0,False
author,liver,10x 5' v1,5,1515,0.42112211221122114,4436.5,0.59375,2.152979449578895,,0.78125,0.034482758620689724,0.8663239074550129,False,0.875,0.01562951599635387,0.8894601542416453,False,0.7899686520376176,0.0514184397163121,0.7530864197530864,False,0.723404255319149,0.17432950191570884,0.9012345679012346,False,0.5073891625615764,0.3060515873015873,0.5838926174496645,False
