gene,condition,rho_NK_median,soup_share,mu_observed,mu_ambient_expected,ambient_fraction_of_signal,det_observed,det_ambient_adjusted,band_observed,band_ambient_adjusted
PIEZO1,Tumor,0.2446043835034839,1.7302380269747197e-05,0.02659081889138775,0.007777866912243569,0.2925019700977569,0.026240395948123885,0.01863709293406912,floor,floor
PIEZO1,Normal,0.0685234110097124,1.7302380269747197e-05,0.027664201826881254,0.002098242383890267,0.07584684340508999,0.027285052132025367,0.025241917654882706,floor,floor
PIEZO2,Tumor,0.2446043835034839,6.228975852911777e-07,0.0023812673634078583,0.00028000855621140814,0.11758803757789078,0.0023784343954107445,0.002099052708374405,floor,floor
PIEZO2,Normal,0.0685234110097124,6.228975852911777e-07,0.0008699434536755111,7.55381683851957e-05,0.08683112455878246,0.000869565162574415,0.0007940898289505727,floor,floor
TRPV4,Tumor,0.2446043835034839,1.788648296938165e-06,0.003042730519910041,0.000804043616514471,0.2642506824883864,0.0030381061068716075,0.002236182912768725,floor,floor
TRPV4,Normal,0.0685234110097124,1.788648296938165e-06,0.0013919095258808178,0.00021690759352173435,0.155834549220771,0.001390941269110768,0.0011743118878828618,floor,floor
TRPV2,Tumor,0.2446043835034839,3.559207778724711e-05,0.04153988622833708,0.015999558433209337,0.3851613445752528,0.040688928722062534,0.02521693267876246,floor,floor
TRPV2,Normal,0.0685234110097124,3.559207778724711e-05,0.06759460635058721,0.0043162157448648165,0.06385444013799364,0.065360706379469,0.06131788297193863,measurable,measurable
TRPM7,Tumor,0.2446043835034839,1.8297456495565877e-05,0.03783569255192486,0.008225179382047957,0.21739206625489688,0.03712886520639147,0.029176417078976224,floor,floor
TRPM7,Normal,0.0685234110097124,1.8297456495565877e-05,0.04515006524575903,0.002218914284499513,0.0491453173416607,0.04414596940016491,0.042022656384171464,floor,floor
TRPC1,Tumor,0.2446043835034839,7.529060594119332e-07,0.0006614631565021828,0.0003384507239022396,0.5116698043954059,0.0006612444379758831,0.0003229602697006895,floor,floor
TRPC1,Normal,0.0685234110097124,7.529060594119332e-07,0.0011309264897781644,9.130416626596334e-05,0.08073395317132681,0.0011302872334222336,0.0010390821034489406,floor,floor
TMEM63A,Tumor,0.2446043835034839,1.8100459516176937e-05,0.039820082021431405,0.008136624150691713,0.20433469088066,0.03903768200241464,0.03118679625833176,floor,floor
TMEM63A,Normal,0.0685234110097124,1.8100459516176937e-05,0.03732057416267943,0.002195024657453519,0.05881540428304942,0.03663274480898593,0.034515807414742805,floor,floor
TMEM63B,Tumor,0.2446043835034839,7.750788459443192e-06,0.01508135996824977,0.0034841796424916584,0.23102556068065302,0.014968205812707414,0.011530192237720782,floor,floor
TMEM63B,Normal,0.0685234110097124,7.750788459443192e-06,0.015050021748586342,0.0009399303795563194,0.06245375556647336,0.01493733618626869,0.01401101059019727,floor,floor
KCNK2,Tumor,0.2446043835034839,4.6758543134617304e-08,0.0,2.1019173075703495e-05,,0.0,0.0,floor,floor
KCNK2,Normal,0.0685234110097124,4.6758543134617304e-08,0.0002609830361026533,5.670361851054657e-06,0.02172693649262443,0.0002609489829925593,0.00025528008474440256,floor,floor
KCNK4,Tumor,0.2446043835034839,1.3397339565150978e-08,0.0,6.022450234669472e-06,,0.0,0.0,floor,floor
KCNK4,Normal,0.0685234110097124,1.3397339565150978e-08,0.0,1.6246819956974917e-06,,0.0,0.0,floor,floor
