dataset,gene,lineage,condition,n_donors,n_cells_total,det_pooled,det_pooled_lo95,det_pooled_hi95,det_donor_median,det_donor_q1,det_donor_q3,cpm_donor_median,cpm_donor_q1,cpm_donor_q3,donors_zero_count,umi_per_cell_median,band_pooled,band_donor_median,donors_in_floor_band,source
GSE154826,PIEZO1,NK,Tumor,27,7559,0.026240395948123885,0.02096069679007406,0.03017535601772521,0.022769403349913175,0.015566450489971961,0.03313005204060804,13.422668650238812,9.454129897047334,18.967305209800166,1,1684.3950617283951,floor,floor,26,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,NK,Normal,27,11495,0.027285052132025367,0.01985060656853616,0.03347166286874239,0.02225662251170657,0.013831850674644819,0.03780512907328998,13.007622466765525,9.162815196148893,19.979276106045504,0,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,CD8T,Tumor,27,7559,0.03022567623115613,0.025240206802885204,0.036028672785183055,0.028167124967018897,0.020124715795218573,0.0341443851693779,12.935005236656027,10.05011511341009,16.615061049362904,1,2210.1570512820513,floor,floor,22,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,CD8T,Normal,27,11495,0.030663997743966775,0.024212618650434864,0.03689136508920298,0.032215259488731385,0.020255342582261804,0.03834488457143109,16.36908509405928,11.85042655509803,19.337114313432302,0,2086.4798534798533,floor,floor,22,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,CD4T,Tumor,27,7559,0.03814737219564579,0.031181198914423953,0.04617423179571103,0.036171693247938896,0.02257825869573732,0.05503620949342353,13.290933146922722,9.656713255159804,18.728667929619487,0,2635.1960784313724,floor,floor,17,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,CD4T,Normal,27,11495,0.0359620514202168,0.028540077614650917,0.04343754306129974,0.04069194141254506,0.021707797130920248,0.05136658179789427,16.884048794901016,10.923983328450419,20.07695123416815,0,2618.294498381877,floor,floor,18,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,B,Tumor,27,7559,0.05829277538575417,0.03960209409772297,0.075455043659598,0.03703272398729207,0.030044658662543133,0.06535620220766208,8.21207295167633,5.361383874888643,10.648494606376953,0,5167.088607594937,measurable,floor,19,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,B,Normal,27,11495,0.0518480828095792,0.039777691616767794,0.0639266463560238,0.04175714249534501,0.030270603643438254,0.056093916141801925,15.82588078220135,10.103463213268437,18.787542665796632,0,3175.8724035608307,measurable,floor,18,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,Myeloid,Tumor,27,7559,0.07984400643350831,0.06827235372647483,0.09189012904826807,0.073412071954576,0.04841900618259115,0.09683566389252501,13.39305564707477,9.500526685972941,15.228602760348874,0,5761.231481481482,measurable,measurable,8,"pseudobulk_raw (balanced, raw counts)"
GSE154826,PIEZO1,Myeloid,Normal,27,11495,0.08650202433036214,0.07207435957339406,0.1025459525277185,0.09812067977387251,0.06434161393636001,0.12620953316253758,15.186028853454822,12.992131816483509,16.166891278567572,0,6278.738853503185,measurable,measurable,4,"pseudobulk_raw (balanced, raw counts)"
